n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,max_leaf_nodes,accuracy,f1_score,precision,recall,auc_roc
20,30,log2,2,1,10,0.7,0.7692307692307693,0.625,1.0,0.68
20,10,sqrt,10,2,20,0.7,0.7692307692307693,0.625,1.0,0.72
20,10,sqrt,10,2,10,0.7,0.7692307692307693,0.625,1.0,0.72
20,20,sqrt,10,2,10,0.7,0.7692307692307693,0.625,1.0,0.72
20,30,sqrt,10,2,10,0.7,0.7692307692307693,0.625,1.0,0.72
20,20,log2,10,2,20,0.7,0.7692307692307693,0.625,1.0,0.72
20,30,log2,10,2,20,0.7,0.7692307692307693,0.625,1.0,0.72
20,20,sqrt,10,2,20,0.7,0.7692307692307693,0.625,1.0,0.72
20,10,log2,10,2,30,0.7,0.7692307692307693,0.625,1.0,0.72
20,30,log2,10,2,30,0.7,0.7692307692307693,0.625,1.0,0.72
20,30,sqrt,10,2,20,0.7,0.7692307692307693,0.625,1.0,0.72
20,20,log2,2,1,10,0.7,0.7692307692307693,0.625,1.0,0.68
20,10,log2,2,1,10,0.7,0.7692307692307693,0.625,1.0,0.68
20,10,sqrt,10,2,30,0.7,0.7692307692307693,0.625,1.0,0.72
20,10,log2,10,2,10,0.7,0.7692307692307693,0.625,1.0,0.72
20,20,log2,10,2,10,0.7,0.7692307692307693,0.625,1.0,0.72
20,30,log2,10,2,10,0.7,0.7692307692307693,0.625,1.0,0.72
20,20,sqrt,10,2,30,0.7,0.7692307692307693,0.625,1.0,0.72
20,30,sqrt,10,2,30,0.7,0.7692307692307693,0.625,1.0,0.72
20,30,sqrt,2,1,10,0.7,0.7692307692307693,0.625,1.0,0.68
20,20,sqrt,2,1,10,0.7,0.7692307692307693,0.625,1.0,0.68
20,10,sqrt,2,1,10,0.7,0.7692307692307693,0.625,1.0,0.68
20,20,log2,10,2,30,0.7,0.7692307692307693,0.625,1.0,0.72
20,10,log2,10,2,20,0.7,0.7692307692307693,0.625,1.0,0.72
30,30,log2,10,4,30,0.7,0.7272727272727273,0.6666666666666666,0.8,0.7200000000000001
10,30,log2,10,2,30,0.7,0.7272727272727273,0.6666666666666666,0.8,0.64
20,10,sqrt,10,4,10,0.7,0.7272727272727273,0.6666666666666666,0.8,0.64
10,20,log2,10,2,30,0.7,0.7272727272727273,0.6666666666666666,0.8,0.64
30,10,sqrt,10,4,10,0.7,0.7272727272727273,0.6666666666666666,0.8,0.7200000000000001
20,20,sqrt,10,4,10,0.7,0.7272727272727273,0.6666666666666666,0.8,0.64
20,30,sqrt,10,4,10,0.7,0.7272727272727273,0.6666666666666666,0.8,0.64
30,20,log2,5,4,10,0.7,0.7272727272727273,0.6666666666666666,0.8,0.7200000000000001
30,20,sqrt,10,4,10,0.7,0.7272727272727273,0.6666666666666666,0.8,0.7200000000000001
30,30,sqrt,10,4,10,0.7,0.7272727272727273,0.6666666666666666,0.8,0.7200000000000001
10,10,log2,10,2,30,0.7,0.7272727272727273,0.6666666666666666,0.8,0.64
20,10,log2,10,4,10,0.7,0.7272727272727273,0.6666666666666666,0.8,0.64
20,20,log2,10,4,10,0.7,0.7272727272727273,0.6666666666666666,0.8,0.64
30,30,log2,5,4,10,0.7,0.7272727272727273,0.6666666666666666,0.8,0.7200000000000001
30,30,sqrt,5,4,10,0.7,0.7272727272727273,0.6666666666666666,0.8,0.7200000000000001
30,10,log2,5,4,10,0.7,0.7272727272727273,0.6666666666666666,0.8,0.7200000000000001
30,20,log2,2,4,10,0.7,0.7272727272727273,0.6666666666666666,0.8,0.7200000000000001
30,10,sqrt,2,4,10,0.7,0.7272727272727273,0.6666666666666666,0.8,0.7200000000000001
