n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,max_leaf_nodes,accuracy,f1_score,precision,recall,auc_roc
30,20,sqrt,5,1,30,0.8823529411764706,0.9,1.0,0.8181818181818182,0.9015151515151515
20,30,log2,5,1,30,0.8823529411764706,0.9,1.0,0.8181818181818182,0.9166666666666666
30,20,log2,5,1,30,0.8823529411764706,0.9,1.0,0.8181818181818182,0.9015151515151515
30,30,log2,5,1,30,0.8823529411764706,0.9,1.0,0.8181818181818182,0.9015151515151515
30,30,log2,5,1,20,0.8823529411764706,0.9,1.0,0.8181818181818182,0.9015151515151515
20,10,sqrt,2,2,30,0.8823529411764706,0.9,1.0,0.8181818181818182,0.9318181818181818
20,20,sqrt,2,2,30,0.8823529411764706,0.9,1.0,0.8181818181818182,0.9318181818181818
20,30,sqrt,2,2,30,0.8823529411764706,0.9,1.0,0.8181818181818182,0.9318181818181818
30,10,sqrt,2,2,30,0.8823529411764706,0.9,1.0,0.8181818181818182,0.9090909090909091
30,20,sqrt,2,2,30,0.8823529411764706,0.9,1.0,0.8181818181818182,0.9090909090909091
30,30,sqrt,2,2,30,0.8823529411764706,0.9,1.0,0.8181818181818182,0.9090909090909091
30,20,log2,5,1,20,0.8823529411764706,0.9,1.0,0.8181818181818182,0.9015151515151515
30,10,log2,5,1,20,0.8823529411764706,0.9,1.0,0.8181818181818182,0.9015151515151515
20,30,log2,5,1,20,0.8823529411764706,0.9,1.0,0.8181818181818182,0.9166666666666666
20,10,log2,2,2,30,0.8823529411764706,0.9,1.0,0.8181818181818182,0.9318181818181818
20,30,log2,2,2,30,0.8823529411764706,0.9,1.0,0.8181818181818182,0.9318181818181818
30,10,log2,2,2,30,0.8823529411764706,0.9,1.0,0.8181818181818182,0.9090909090909091
30,20,log2,2,2,30,0.8823529411764706,0.9,1.0,0.8181818181818182,0.9090909090909091
30,30,log2,2,2,30,0.8823529411764706,0.9,1.0,0.8181818181818182,0.9090909090909091
30,10,log2,5,1,30,0.8823529411764706,0.9,1.0,0.8181818181818182,0.9015151515151515
20,20,log2,5,1,30,0.8823529411764706,0.9,1.0,0.8181818181818182,0.9166666666666666
20,10,log2,5,1,20,0.8823529411764706,0.9,1.0,0.8181818181818182,0.9166666666666666
20,10,log2,5,1,30,0.8823529411764706,0.9,1.0,0.8181818181818182,0.9166666666666666
30,30,log2,2,2,20,0.8823529411764706,0.9,1.0,0.8181818181818182,0.9090909090909091
30,20,log2,2,2,20,0.8823529411764706,0.9,1.0,0.8181818181818182,0.9090909090909091
30,10,log2,2,2,20,0.8823529411764706,0.9,1.0,0.8181818181818182,0.9090909090909091
