n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,max_leaf_nodes,accuracy,f1_score,precision,recall,auc_roc
20,10,log2,5,1,20,0.8333333333333334,0.875,0.7777777777777778,1.0,0.9571428571428571
10,30,log2,5,1,10,0.8333333333333334,0.875,0.7777777777777778,1.0,0.967857142857143
20,20,log2,5,1,10,0.8333333333333334,0.875,0.7777777777777778,1.0,0.9678571428571427
20,30,log2,5,1,10,0.8333333333333334,0.875,0.7777777777777778,1.0,0.9678571428571427
30,10,log2,5,1,10,0.8333333333333334,0.875,0.7777777777777778,1.0,0.9464285714285714
30,20,log2,5,1,10,0.8333333333333334,0.875,0.7777777777777778,1.0,0.9464285714285714
30,30,log2,5,1,10,0.8333333333333334,0.875,0.7777777777777778,1.0,0.9464285714285714
20,30,sqrt,5,1,30,0.8333333333333334,0.875,0.7777777777777778,1.0,0.9571428571428571
30,10,sqrt,5,1,30,0.8333333333333334,0.875,0.7777777777777778,1.0,0.9714285714285714
30,30,sqrt,5,1,30,0.8333333333333334,0.875,0.7777777777777778,1.0,0.9714285714285714
20,10,log2,5,1,30,0.8333333333333334,0.875,0.7777777777777778,1.0,0.9571428571428571
20,20,log2,5,1,30,0.8333333333333334,0.875,0.7777777777777778,1.0,0.9571428571428571
20,30,log2,5,1,30,0.8333333333333334,0.875,0.7777777777777778,1.0,0.9571428571428571
30,10,log2,5,1,30,0.8333333333333334,0.875,0.7777777777777778,1.0,0.9714285714285714
30,20,log2,5,1,30,0.8333333333333334,0.875,0.7777777777777778,1.0,0.9714285714285714
30,30,log2,5,1,30,0.8333333333333334,0.875,0.7777777777777778,1.0,0.9714285714285714
30,30,log2,5,1,20,0.8333333333333334,0.875,0.7777777777777778,1.0,0.9714285714285714
30,20,log2,5,1,20,0.8333333333333334,0.875,0.7777777777777778,1.0,0.9714285714285714
30,10,log2,5,1,20,0.8333333333333334,0.875,0.7777777777777778,1.0,0.9714285714285714
20,30,log2,5,1,20,0.8333333333333334,0.875,0.7777777777777778,1.0,0.9571428571428571
20,20,log2,5,1,20,0.8333333333333334,0.875,0.7777777777777778,1.0,0.9571428571428571
30,30,sqrt,5,1,20,0.8333333333333334,0.875,0.7777777777777778,1.0,0.9714285714285714
30,20,sqrt,5,1,20,0.8333333333333334,0.875,0.7777777777777778,1.0,0.9714285714285714
30,10,sqrt,5,1,20,0.8333333333333334,0.875,0.7777777777777778,1.0,0.9714285714285714
20,30,sqrt,5,1,20,0.8333333333333334,0.875,0.7777777777777778,1.0,0.9571428571428571
20,20,sqrt,5,1,20,0.8333333333333334,0.875,0.7777777777777778,1.0,0.9571428571428571
20,10,sqrt,5,1,20,0.8333333333333334,0.875,0.7777777777777778,1.0,0.9571428571428571
20,10,log2,5,1,10,0.8333333333333334,0.875,0.7777777777777778,1.0,0.9678571428571427
30,20,sqrt,5,1,30,0.8333333333333334,0.875,0.7777777777777778,1.0,0.9714285714285714
10,20,log2,5,1,10,0.8333333333333334,0.875,0.7777777777777778,1.0,0.967857142857143
20,10,sqrt,5,1,10,0.8333333333333334,0.875,0.7777777777777778,1.0,0.9678571428571427
10,10,log2,5,1,10,0.8333333333333334,0.875,0.7777777777777778,1.0,0.967857142857143
20,10,sqrt,5,1,30,0.8333333333333334,0.875,0.7777777777777778,1.0,0.9571428571428571
20,20,sqrt,5,1,30,0.8333333333333334,0.875,0.7777777777777778,1.0,0.9571428571428571
10,20,sqrt,5,1,10,0.8333333333333334,0.875,0.7777777777777778,1.0,0.967857142857143
10,30,sqrt,5,1,10,0.8333333333333334,0.875,0.7777777777777778,1.0,0.967857142857143
10,10,sqrt,5,1,10,0.8333333333333334,0.875,0.7777777777777778,1.0,0.967857142857143
20,20,sqrt,5,1,10,0.8333333333333334,0.875,0.7777777777777778,1.0,0.9678571428571427
30,20,sqrt,5,1,10,0.8333333333333334,0.875,0.7777777777777778,1.0,0.9464285714285714
20,30,sqrt,5,1,10,0.8333333333333334,0.875,0.7777777777777778,1.0,0.9678571428571427
30,30,sqrt,5,1,10,0.8333333333333334,0.875,0.7777777777777778,1.0,0.9464285714285714
30,10,sqrt,5,1,10,0.8333333333333334,0.875,0.7777777777777778,1.0,0.9464285714285714
10,30,log2,5,2,10,0.8333333333333334,0.8666666666666667,0.8125,0.9285714285714286,0.9142857142857141
10,20,log2,5,2,10,0.8333333333333334,0.8666666666666667,0.8125,0.9285714285714286,0.9142857142857141
10,30,sqrt,5,2,10,0.8333333333333334,0.8666666666666667,0.8125,0.9285714285714286,0.9142857142857141
10,10,log2,5,2,10,0.8333333333333334,0.8666666666666667,0.8125,0.9285714285714286,0.9142857142857141
10,10,sqrt,5,2,10,0.8333333333333334,0.8666666666666667,0.8125,0.9285714285714286,0.9142857142857141
10,20,sqrt,5,2,10,0.8333333333333334,0.8666666666666667,0.8125,0.9285714285714286,0.9142857142857141
10,30,sqrt,10,4,10,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8857142857142857
10,20,log2,2,4,30,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8785714285714286
10,10,log2,10,4,10,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8857142857142857
10,20,sqrt,10,4,10,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8857142857142857
10,10,sqrt,10,4,10,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8857142857142857
10,10,sqrt,5,4,20,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8785714285714286
10,30,log2,2,4,30,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8785714285714286
10,10,sqrt,5,4,30,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8785714285714286
10,20,sqrt,5,4,30,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8785714285714286
10,30,sqrt,2,4,10,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8857142857142857
10,20,sqrt,2,4,30,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8785714285714286
10,10,log2,2,4,30,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8785714285714286
10,20,log2,5,4,30,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8785714285714286
10,30,log2,10,4,10,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8857142857142857
10,30,log2,2,4,10,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8857142857142857
10,10,sqrt,5,4,10,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8857142857142857
10,20,sqrt,5,4,10,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8857142857142857
10,20,log2,2,4,10,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8857142857142857
10,10,log2,2,4,10,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8857142857142857
10,10,log2,5,4,30,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8785714285714286
10,30,log2,5,4,10,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8857142857142857
10,30,sqrt,5,4,30,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8785714285714286
10,10,sqrt,2,4,30,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8785714285714286
10,30,sqrt,2,4,30,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8785714285714286
10,30,sqrt,5,4,10,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8857142857142857
