n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,max_leaf_nodes,accuracy,f1_score,precision,recall,auc_roc
10,10,sqrt,2,1,10,0.85,0.7272727272727273,1.0,0.5714285714285714,0.8021978021978022
10,30,sqrt,10,4,20,0.85,0.7272727272727273,1.0,0.5714285714285714,0.9340659340659341
20,10,log2,10,4,20,0.85,0.7272727272727273,1.0,0.5714285714285714,0.945054945054945
10,30,log2,10,4,20,0.85,0.7272727272727273,1.0,0.5714285714285714,0.9340659340659341
10,20,log2,10,4,20,0.85,0.7272727272727273,1.0,0.5714285714285714,0.9340659340659341
10,10,log2,10,4,20,0.85,0.7272727272727273,1.0,0.5714285714285714,0.9340659340659341
30,30,sqrt,10,4,20,0.85,0.7272727272727273,1.0,0.5714285714285714,0.956043956043956
30,20,sqrt,10,4,20,0.85,0.7272727272727273,1.0,0.5714285714285714,0.956043956043956
30,10,sqrt,10,4,20,0.85,0.7272727272727273,1.0,0.5714285714285714,0.956043956043956
20,30,sqrt,10,4,20,0.85,0.7272727272727273,1.0,0.5714285714285714,0.945054945054945
20,20,sqrt,10,4,20,0.85,0.7272727272727273,1.0,0.5714285714285714,0.945054945054945
20,10,sqrt,10,4,20,0.85,0.7272727272727273,1.0,0.5714285714285714,0.945054945054945
10,20,sqrt,10,4,20,0.85,0.7272727272727273,1.0,0.5714285714285714,0.9340659340659341
20,30,log2,10,4,20,0.85,0.7272727272727273,1.0,0.5714285714285714,0.945054945054945
10,10,sqrt,10,4,20,0.85,0.7272727272727273,1.0,0.5714285714285714,0.9340659340659341
10,30,log2,5,4,20,0.85,0.7272727272727273,1.0,0.5714285714285714,0.9340659340659342
10,20,log2,5,4,20,0.85,0.7272727272727273,1.0,0.5714285714285714,0.9340659340659342
10,10,log2,5,4,20,0.85,0.7272727272727273,1.0,0.5714285714285714,0.9340659340659342
10,30,sqrt,5,4,20,0.85,0.7272727272727273,1.0,0.5714285714285714,0.9340659340659342
10,20,sqrt,5,4,20,0.85,0.7272727272727273,1.0,0.5714285714285714,0.9340659340659342
