n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,max_leaf_nodes,accuracy,f1_score,precision,recall,auc_roc
10,10,log2,2,2,10,0.8888888888888888,0.8,1.0,0.6666666666666666,0.7222222222222222
10,20,sqrt,2,2,10,0.8888888888888888,0.8,1.0,0.6666666666666666,0.7222222222222222
10,10,sqrt,2,2,30,0.8888888888888888,0.8,1.0,0.6666666666666666,0.7222222222222222
10,20,sqrt,2,2,30,0.8888888888888888,0.8,1.0,0.6666666666666666,0.7222222222222222
10,30,sqrt,2,2,30,0.8888888888888888,0.8,1.0,0.6666666666666666,0.7222222222222222
10,30,log2,2,2,20,0.8888888888888888,0.8,1.0,0.6666666666666666,0.7222222222222222
10,30,sqrt,2,2,20,0.8888888888888888,0.8,1.0,0.6666666666666666,0.7222222222222222
10,10,log2,2,2,30,0.8888888888888888,0.8,1.0,0.6666666666666666,0.7222222222222222
10,20,log2,2,2,30,0.8888888888888888,0.8,1.0,0.6666666666666666,0.7222222222222222
10,30,log2,2,2,30,0.8888888888888888,0.8,1.0,0.6666666666666666,0.7222222222222222
10,20,sqrt,2,2,20,0.8888888888888888,0.8,1.0,0.6666666666666666,0.7222222222222222
10,10,sqrt,2,2,20,0.8888888888888888,0.8,1.0,0.6666666666666666,0.7222222222222222
10,10,log2,2,2,20,0.8888888888888888,0.8,1.0,0.6666666666666666,0.7222222222222222
10,10,sqrt,2,2,10,0.8888888888888888,0.8,1.0,0.6666666666666666,0.7222222222222222
10,20,log2,2,2,20,0.8888888888888888,0.8,1.0,0.6666666666666666,0.7222222222222222
10,30,sqrt,2,2,10,0.8888888888888888,0.8,1.0,0.6666666666666666,0.7222222222222222
10,30,log2,2,2,10,0.8888888888888888,0.8,1.0,0.6666666666666666,0.7222222222222222
10,20,log2,2,2,10,0.8888888888888888,0.8,1.0,0.6666666666666666,0.7222222222222222
20,30,sqrt,5,2,20,0.7777777777777778,0.5,1.0,0.3333333333333333,0.7777777777777778
20,30,log2,5,2,20,0.7777777777777778,0.5,1.0,0.3333333333333333,0.7777777777777778
20,20,log2,5,2,20,0.7777777777777778,0.5,1.0,0.3333333333333333,0.7777777777777778
20,10,log2,2,2,20,0.7777777777777778,0.5,1.0,0.3333333333333333,0.7777777777777778
20,20,log2,2,2,20,0.7777777777777778,0.5,1.0,0.3333333333333333,0.7777777777777778
