n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,max_leaf_nodes,accuracy,f1_score,precision,recall,auc_roc
10,10,sqrt,2,1,10,0.9090909090909091,0.75,1.0,0.6,0.7941176470588236
20,20,log2,5,4,20,0.9090909090909091,0.75,1.0,0.6,0.7058823529411764
10,30,log2,5,4,20,0.9090909090909091,0.75,1.0,0.6,0.6823529411764706
10,20,log2,5,4,20,0.9090909090909091,0.75,1.0,0.6,0.6823529411764706
10,10,log2,5,4,20,0.9090909090909091,0.75,1.0,0.6,0.6823529411764706
20,30,sqrt,5,4,20,0.9090909090909091,0.75,1.0,0.6,0.7058823529411764
20,20,sqrt,5,4,20,0.9090909090909091,0.75,1.0,0.6,0.7058823529411764
20,10,sqrt,5,4,20,0.9090909090909091,0.75,1.0,0.6,0.7058823529411764
10,30,sqrt,5,4,20,0.9090909090909091,0.75,1.0,0.6,0.6823529411764706
10,20,sqrt,5,4,20,0.9090909090909091,0.75,1.0,0.6,0.6823529411764706
10,10,sqrt,5,4,20,0.9090909090909091,0.75,1.0,0.6,0.6823529411764706
20,30,log2,2,4,20,0.9090909090909091,0.75,1.0,0.6,0.7058823529411764
20,20,log2,2,4,20,0.9090909090909091,0.75,1.0,0.6,0.7058823529411764
20,10,log2,2,4,20,0.9090909090909091,0.75,1.0,0.6,0.7058823529411764
10,30,log2,2,4,20,0.9090909090909091,0.75,1.0,0.6,0.6823529411764706
10,20,log2,2,4,20,0.9090909090909091,0.75,1.0,0.6,0.6823529411764706
10,10,log2,2,4,20,0.9090909090909091,0.75,1.0,0.6,0.6823529411764706
20,30,sqrt,2,4,20,0.9090909090909091,0.75,1.0,0.6,0.7058823529411764
20,20,sqrt,2,4,20,0.9090909090909091,0.75,1.0,0.6,0.7058823529411764
20,10,log2,5,4,20,0.9090909090909091,0.75,1.0,0.6,0.7058823529411764
20,30,log2,5,4,20,0.9090909090909091,0.75,1.0,0.6,0.7058823529411764
10,20,sqrt,2,1,30,0.9090909090909091,0.75,1.0,0.6,0.7176470588235294
10,10,sqrt,10,4,20,0.9090909090909091,0.75,1.0,0.6,0.6352941176470589
30,30,log2,10,4,20,0.9090909090909091,0.75,1.0,0.6,0.7411764705882353
30,20,log2,10,4,20,0.9090909090909091,0.75,1.0,0.6,0.7411764705882353
30,10,log2,10,4,20,0.9090909090909091,0.75,1.0,0.6,0.7411764705882353
20,30,log2,10,4,20,0.9090909090909091,0.75,1.0,0.6,0.7176470588235293
20,20,log2,10,4,20,0.9090909090909091,0.75,1.0,0.6,0.7176470588235293
20,10,log2,10,4,20,0.9090909090909091,0.75,1.0,0.6,0.7176470588235293
10,30,log2,10,4,20,0.9090909090909091,0.75,1.0,0.6,0.6352941176470589
10,20,log2,10,4,20,0.9090909090909091,0.75,1.0,0.6,0.6352941176470589
10,10,log2,10,4,20,0.9090909090909091,0.75,1.0,0.6,0.6352941176470589
30,30,sqrt,10,4,20,0.9090909090909091,0.75,1.0,0.6,0.7411764705882353
30,20,sqrt,10,4,20,0.9090909090909091,0.75,1.0,0.6,0.7411764705882353
30,10,sqrt,10,4,20,0.9090909090909091,0.75,1.0,0.6,0.7411764705882353
20,30,sqrt,10,4,20,0.9090909090909091,0.75,1.0,0.6,0.7176470588235293
20,20,sqrt,10,4,20,0.9090909090909091,0.75,1.0,0.6,0.7176470588235293
20,10,sqrt,10,4,20,0.9090909090909091,0.75,1.0,0.6,0.7176470588235293
10,30,sqrt,10,4,20,0.9090909090909091,0.75,1.0,0.6,0.6352941176470589
10,20,sqrt,10,4,20,0.9090909090909091,0.75,1.0,0.6,0.6352941176470589
20,10,sqrt,2,4,20,0.9090909090909091,0.75,1.0,0.6,0.7058823529411764
10,30,sqrt,2,4,20,0.9090909090909091,0.75,1.0,0.6,0.6823529411764706
10,20,sqrt,2,4,20,0.9090909090909091,0.75,1.0,0.6,0.6823529411764706
10,10,sqrt,2,4,20,0.9090909090909091,0.75,1.0,0.6,0.6823529411764706
20,10,log2,5,1,20,0.9090909090909091,0.75,1.0,0.6,0.711764705882353
