n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,max_leaf_nodes,accuracy,f1_score,precision,recall,auc_roc
10,10,sqrt,2,1,10,0.8055555555555556,0.0,0.0,0.0,0.6258064516129032
30,20,log2,5,4,20,0.8611111111111112,0.0,0.0,0.0,0.5806451612903226
30,30,sqrt,2,1,30,0.8611111111111112,0.0,0.0,0.0,0.5935483870967742
30,20,sqrt,2,1,30,0.8611111111111112,0.0,0.0,0.0,0.5935483870967742
30,10,sqrt,2,1,30,0.8611111111111112,0.0,0.0,0.0,0.5967741935483871
20,30,sqrt,2,1,30,0.8611111111111112,0.0,0.0,0.0,0.5580645161290323
20,20,sqrt,2,1,30,0.8611111111111112,0.0,0.0,0.0,0.5580645161290323
20,10,sqrt,2,1,30,0.8611111111111112,0.0,0.0,0.0,0.5612903225806452
10,30,sqrt,2,1,30,0.8611111111111112,0.0,0.0,0.0,0.6419354838709678
10,20,sqrt,2,1,30,0.8611111111111112,0.0,0.0,0.0,0.6419354838709678
10,10,sqrt,2,1,30,0.8611111111111112,0.0,0.0,0.0,0.6419354838709678
30,30,log2,10,4,20,0.8611111111111112,0.0,0.0,0.0,0.5741935483870968
30,20,log2,10,4,20,0.8611111111111112,0.0,0.0,0.0,0.5741935483870968
30,10,log2,10,4,20,0.8611111111111112,0.0,0.0,0.0,0.5741935483870968
20,30,log2,10,4,20,0.8611111111111112,0.0,0.0,0.0,0.5677419354838709
20,20,log2,10,4,20,0.8611111111111112,0.0,0.0,0.0,0.5677419354838709
20,10,log2,10,4,20,0.8611111111111112,0.0,0.0,0.0,0.5677419354838709
10,30,log2,10,4,20,0.8611111111111112,0.0,0.0,0.0,0.5483870967741936
10,20,log2,10,4,20,0.8611111111111112,0.0,0.0,0.0,0.5483870967741936
10,10,log2,10,4,20,0.8611111111111112,0.0,0.0,0.0,0.5483870967741936
30,30,sqrt,10,4,20,0.8611111111111112,0.0,0.0,0.0,0.5741935483870968
30,20,sqrt,10,4,20,0.8611111111111112,0.0,0.0,0.0,0.5741935483870968
30,10,sqrt,10,4,20,0.8611111111111112,0.0,0.0,0.0,0.5741935483870968
20,30,sqrt,10,4,20,0.8611111111111112,0.0,0.0,0.0,0.5677419354838709
