n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,max_leaf_nodes,accuracy,f1_score,precision,recall,auc_roc
20,10,log2,10,1,10,0.9047619047619048,0.92,0.8846153846153846,0.9583333333333334,0.9282407407407408
20,30,log2,5,1,10,0.9047619047619048,0.92,0.8846153846153846,0.9583333333333334,0.923611111111111
20,10,log2,5,1,10,0.9047619047619048,0.92,0.8846153846153846,0.9583333333333334,0.923611111111111
20,30,sqrt,2,1,20,0.9047619047619048,0.92,0.8846153846153846,0.9583333333333334,0.9247685185185185
20,20,sqrt,2,1,20,0.9047619047619048,0.92,0.8846153846153846,0.9583333333333334,0.9247685185185185
20,10,sqrt,2,1,20,0.9047619047619048,0.92,0.8846153846153846,0.9583333333333334,0.9236111111111112
20,30,sqrt,2,1,30,0.9047619047619048,0.92,0.8846153846153846,0.9583333333333334,0.923611111111111
20,20,sqrt,2,1,30,0.9047619047619048,0.92,0.8846153846153846,0.9583333333333334,0.923611111111111
20,10,sqrt,2,1,30,0.9047619047619048,0.92,0.8846153846153846,0.9583333333333334,0.9224537037037037
20,20,log2,5,1,10,0.9047619047619048,0.92,0.8846153846153846,0.9583333333333334,0.923611111111111
20,30,log2,10,1,10,0.9047619047619048,0.92,0.8846153846153846,0.9583333333333334,0.9282407407407408
20,20,log2,10,1,10,0.9047619047619048,0.92,0.8846153846153846,0.9583333333333334,0.9282407407407408
20,30,log2,10,1,30,0.9047619047619048,0.92,0.8846153846153846,0.9583333333333334,0.9259259259259259
20,20,log2,10,1,30,0.9047619047619048,0.92,0.8846153846153846,0.9583333333333334,0.9259259259259259
20,30,log2,10,1,20,0.9047619047619048,0.92,0.8846153846153846,0.9583333333333334,0.9259259259259259
20,20,log2,10,1,20,0.9047619047619048,0.92,0.8846153846153846,0.9583333333333334,0.9259259259259259
20,10,log2,10,1,20,0.9047619047619048,0.92,0.8846153846153846,0.9583333333333334,0.9259259259259259
20,10,log2,10,1,30,0.9047619047619048,0.92,0.8846153846153846,0.9583333333333334,0.9259259259259259
10,20,sqrt,2,1,30,0.9047619047619048,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9212962962962963
10,30,sqrt,2,1,20,0.9047619047619048,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9247685185185185
10,20,sqrt,2,1,20,0.9047619047619048,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9247685185185185
10,30,sqrt,2,1,30,0.9047619047619048,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9212962962962963
20,30,log2,2,1,30,0.8809523809523809,0.9019607843137255,0.8518518518518519,0.9583333333333334,0.9409722222222222
20,20,log2,2,1,30,0.8809523809523809,0.9019607843137255,0.8518518518518519,0.9583333333333334,0.9409722222222222
20,10,log2,2,1,30,0.8809523809523809,0.9019607843137255,0.8518518518518519,0.9583333333333334,0.9409722222222222
10,30,log2,2,1,30,0.8809523809523809,0.9019607843137255,0.8518518518518519,0.9583333333333334,0.9282407407407408
10,20,log2,2,1,30,0.8809523809523809,0.9019607843137255,0.8518518518518519,0.9583333333333334,0.9282407407407408
30,30,log2,10,2,10,0.8809523809523809,0.9019607843137255,0.8518518518518519,0.9583333333333334,0.9375
10,10,log2,2,1,30,0.8809523809523809,0.9019607843137255,0.8518518518518519,0.9583333333333334,0.9282407407407408
20,30,log2,10,2,10,0.8809523809523809,0.9019607843137255,0.8518518518518519,0.9583333333333334,0.951388888888889
30,10,log2,10,2,10,0.8809523809523809,0.9019607843137255,0.8518518518518519,0.9583333333333334,0.9375
10,30,log2,10,1,20,0.8809523809523809,0.9019607843137255,0.8518518518518519,0.9583333333333334,0.9259259259259259
20,20,log2,10,2,10,0.8809523809523809,0.9019607843137255,0.8518518518518519,0.9583333333333334,0.951388888888889
20,10,log2,10,2,10,0.8809523809523809,0.9019607843137255,0.8518518518518519,0.9583333333333334,0.951388888888889
10,30,log2,10,2,10,0.8809523809523809,0.9019607843137255,0.8518518518518519,0.9583333333333334,0.9537037037037037
10,20,log2,10,2,10,0.8809523809523809,0.9019607843137255,0.8518518518518519,0.9583333333333334,0.9537037037037037
