n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,max_leaf_nodes,accuracy,f1_score,precision,recall,auc_roc
20,30,log2,5,1,30,0.7758620689655172,0.48,0.5454545454545454,0.42857142857142855,0.7142857142857142
20,10,log2,5,1,30,0.7758620689655172,0.48,0.5454545454545454,0.42857142857142855,0.7077922077922078
20,20,sqrt,5,1,30,0.7758620689655172,0.48,0.5454545454545454,0.42857142857142855,0.7142857142857142
20,30,sqrt,5,1,30,0.7758620689655172,0.48,0.5454545454545454,0.42857142857142855,0.7142857142857142
20,10,sqrt,5,1,30,0.7758620689655172,0.48,0.5454545454545454,0.42857142857142855,0.7077922077922078
20,20,log2,5,1,30,0.7758620689655172,0.48,0.5454545454545454,0.42857142857142855,0.7142857142857142
10,10,sqrt,5,2,30,0.7931034482758621,0.45454545454545453,0.625,0.35714285714285715,0.6525974025974026
10,30,log2,5,2,30,0.7931034482758621,0.45454545454545453,0.625,0.35714285714285715,0.6574675324675325
10,20,log2,5,2,30,0.7931034482758621,0.45454545454545453,0.625,0.35714285714285715,0.6574675324675325
10,10,log2,5,2,30,0.7931034482758621,0.45454545454545453,0.625,0.35714285714285715,0.6525974025974026
10,20,sqrt,5,2,30,0.7931034482758621,0.45454545454545453,0.625,0.35714285714285715,0.6574675324675325
10,30,sqrt,5,2,30,0.7931034482758621,0.45454545454545453,0.625,0.35714285714285715,0.6574675324675325
10,10,sqrt,2,1,30,0.7758620689655172,0.43478260869565216,0.5555555555555556,0.35714285714285715,0.7142857142857143
10,20,sqrt,2,1,30,0.7758620689655172,0.43478260869565216,0.5555555555555556,0.35714285714285715,0.7142857142857142
20,10,log2,2,1,30,0.7758620689655172,0.43478260869565216,0.5555555555555556,0.35714285714285715,0.7370129870129869
10,30,log2,2,1,30,0.7758620689655172,0.43478260869565216,0.5555555555555556,0.35714285714285715,0.7142857142857142
10,20,log2,2,1,30,0.7758620689655172,0.43478260869565216,0.5555555555555556,0.35714285714285715,0.7142857142857142
10,10,sqrt,2,1,20,0.7758620689655172,0.43478260869565216,0.5555555555555556,0.35714285714285715,0.7159090909090908
10,20,sqrt,2,1,20,0.7758620689655172,0.43478260869565216,0.5555555555555556,0.35714285714285715,0.7159090909090908
10,30,sqrt,2,1,20,0.7758620689655172,0.43478260869565216,0.5555555555555556,0.35714285714285715,0.7159090909090908
10,10,log2,2,1,30,0.7758620689655172,0.43478260869565216,0.5555555555555556,0.35714285714285715,0.7142857142857143
10,20,log2,2,1,20,0.7758620689655172,0.43478260869565216,0.5555555555555556,0.35714285714285715,0.7159090909090908
