n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,max_leaf_nodes,accuracy,f1_score,precision,recall,auc_roc
20,30,log2,10,2,20,0.6521739130434783,0.6129032258064516,0.6551724137931034,0.5757575757575758,0.6178451178451179
20,20,log2,10,2,20,0.6521739130434783,0.6129032258064516,0.6551724137931034,0.5757575757575758,0.6178451178451179
20,30,sqrt,10,2,20,0.6521739130434783,0.6129032258064516,0.6551724137931034,0.5757575757575758,0.6178451178451179
20,20,sqrt,10,2,20,0.6521739130434783,0.6129032258064516,0.6551724137931034,0.5757575757575758,0.6178451178451179
20,10,log2,10,2,20,0.6376811594202898,0.6031746031746031,0.6333333333333333,0.5757575757575758,0.6228956228956228
20,10,sqrt,10,2,20,0.6376811594202898,0.6031746031746031,0.6333333333333333,0.5757575757575758,0.6228956228956228
20,20,sqrt,10,4,30,0.6231884057971014,0.59375,0.6129032258064516,0.5757575757575758,0.5774410774410774
20,30,sqrt,10,4,30,0.6231884057971014,0.59375,0.6129032258064516,0.5757575757575758,0.5774410774410774
20,20,log2,10,4,30,0.6231884057971014,0.59375,0.6129032258064516,0.5757575757575758,0.5774410774410774
20,30,log2,10,4,30,0.6231884057971014,0.59375,0.6129032258064516,0.5757575757575758,0.5774410774410774
10,20,sqrt,2,1,10,0.6376811594202898,0.5901639344262295,0.6428571428571429,0.5454545454545454,0.614057239057239
10,10,sqrt,2,1,10,0.6376811594202898,0.5901639344262295,0.6428571428571429,0.5454545454545454,0.614057239057239
20,20,sqrt,10,1,20,0.6376811594202898,0.5901639344262295,0.6428571428571429,0.5454545454545454,0.6035353535353535
10,30,log2,2,1,10,0.6376811594202898,0.5901639344262295,0.6428571428571429,0.5454545454545454,0.614057239057239
10,20,log2,2,1,10,0.6376811594202898,0.5901639344262295,0.6428571428571429,0.5454545454545454,0.614057239057239
10,10,log2,2,1,10,0.6376811594202898,0.5901639344262295,0.6428571428571429,0.5454545454545454,0.614057239057239
20,30,log2,10,1,20,0.6376811594202898,0.5901639344262295,0.6428571428571429,0.5454545454545454,0.6035353535353535
20,20,log2,10,1,20,0.6376811594202898,0.5901639344262295,0.6428571428571429,0.5454545454545454,0.6035353535353535
20,30,sqrt,10,1,20,0.6376811594202898,0.5901639344262295,0.6428571428571429,0.5454545454545454,0.6035353535353535
10,30,sqrt,2,1,10,0.6376811594202898,0.5901639344262295,0.6428571428571429,0.5454545454545454,0.614057239057239
10,20,log2,2,2,20,0.6086956521739131,0.5846153846153846,0.59375,0.5757575757575758,0.5942760942760943
20,30,log2,10,4,20,0.6086956521739131,0.5846153846153846,0.59375,0.5757575757575758,0.5740740740740742
20,20,log2,10,4,20,0.6086956521739131,0.5846153846153846,0.59375,0.5757575757575758,0.5740740740740742
20,10,log2,10,4,20,0.6086956521739131,0.5846153846153846,0.59375,0.5757575757575758,0.5698653198653199
20,30,sqrt,10,4,20,0.6086956521739131,0.5846153846153846,0.59375,0.5757575757575758,0.5740740740740742
20,10,sqrt,10,4,30,0.6086956521739131,0.5846153846153846,0.59375,0.5757575757575758,0.5723905723905724
20,10,sqrt,10,4,20,0.6086956521739131,0.5846153846153846,0.59375,0.5757575757575758,0.5698653198653199
20,20,sqrt,10,4,20,0.6086956521739131,0.5846153846153846,0.59375,0.5757575757575758,0.5740740740740742
10,30,log2,2,2,20,0.6086956521739131,0.5846153846153846,0.59375,0.5757575757575758,0.5942760942760943
20,10,log2,10,4,30,0.6086956521739131,0.5846153846153846,0.59375,0.5757575757575758,0.5723905723905724
10,20,sqrt,2,2,20,0.6086956521739131,0.5846153846153846,0.59375,0.5757575757575758,0.5942760942760943
10,30,sqrt,2,2,20,0.6086956521739131,0.5846153846153846,0.59375,0.5757575757575758,0.5942760942760943
10,10,sqrt,2,2,10,0.6231884057971014,0.5806451612903226,0.6206896551724138,0.5454545454545454,0.614057239057239
10,30,log2,2,2,10,0.6231884057971014,0.5806451612903226,0.6206896551724138,0.5454545454545454,0.614057239057239
10,10,log2,2,2,10,0.6231884057971014,0.5806451612903226,0.6206896551724138,0.5454545454545454,0.614057239057239
10,30,sqrt,2,2,10,0.6231884057971014,0.5806451612903226,0.6206896551724138,0.5454545454545454,0.614057239057239
10,20,sqrt,2,2,10,0.6231884057971014,0.5806451612903226,0.6206896551724138,0.5454545454545454,0.614057239057239
10,20,log2,2,2,10,0.6231884057971014,0.5806451612903226,0.6206896551724138,0.5454545454545454,0.614057239057239
20,20,log2,2,1,10,0.6086956521739131,0.5714285714285714,0.6,0.5454545454545454,0.6195286195286195
20,10,sqrt,2,1,10,0.6086956521739131,0.5714285714285714,0.6,0.5454545454545454,0.6195286195286195
20,30,sqrt,10,2,10,0.6086956521739131,0.5714285714285714,0.6,0.5454545454545454,0.5892255892255892
20,20,sqrt,10,2,10,0.6086956521739131,0.5714285714285714,0.6,0.5454545454545454,0.5892255892255892
20,30,log2,10,2,30,0.6086956521739131,0.5714285714285714,0.6,0.5454545454545454,0.6119528619528619
20,20,log2,10,2,30,0.6086956521739131,0.5714285714285714,0.6,0.5454545454545454,0.6119528619528619
20,10,sqrt,10,2,10,0.6086956521739131,0.5714285714285714,0.6,0.5454545454545454,0.5892255892255892
20,30,sqrt,2,1,10,0.6086956521739131,0.5714285714285714,0.6,0.5454545454545454,0.6195286195286195
20,30,sqrt,10,2,30,0.6086956521739131,0.5714285714285714,0.6,0.5454545454545454,0.6119528619528619
20,20,sqrt,10,2,30,0.6086956521739131,0.5714285714285714,0.6,0.5454545454545454,0.6119528619528619
20,30,log2,10,2,10,0.6086956521739131,0.5714285714285714,0.6,0.5454545454545454,0.5892255892255892
20,10,log2,10,2,10,0.6086956521739131,0.5714285714285714,0.6,0.5454545454545454,0.5892255892255892
20,30,log2,2,1,10,0.6086956521739131,0.5714285714285714,0.6,0.5454545454545454,0.6195286195286195
20,10,log2,2,1,10,0.6086956521739131,0.5714285714285714,0.6,0.5454545454545454,0.6195286195286195
20,20,sqrt,2,1,10,0.6086956521739131,0.5714285714285714,0.6,0.5454545454545454,0.6195286195286195
20,20,log2,10,2,10,0.6086956521739131,0.5714285714285714,0.6,0.5454545454545454,0.5892255892255892
30,20,log2,2,2,10,0.6231884057971014,0.5666666666666667,0.6296296296296297,0.5151515151515151,0.6102693602693603
30,30,log2,2,2,10,0.6231884057971014,0.5666666666666667,0.6296296296296297,0.5151515151515151,0.6102693602693603
20,10,log2,10,1,30,0.6231884057971014,0.5666666666666667,0.6296296296296297,0.5151515151515151,0.5984848484848486
30,10,log2,2,2,10,0.6231884057971014,0.5666666666666667,0.6296296296296297,0.5151515151515151,0.6102693602693603
20,20,log2,10,1,30,0.6231884057971014,0.5666666666666667,0.6296296296296297,0.5151515151515151,0.5959595959595959
20,10,sqrt,10,1,30,0.6231884057971014,0.5666666666666667,0.6296296296296297,0.5151515151515151,0.5984848484848486
20,30,sqrt,10,1,30,0.6231884057971014,0.5666666666666667,0.6296296296296297,0.5151515151515151,0.5959595959595959
20,20,sqrt,10,1,30,0.6231884057971014,0.5666666666666667,0.6296296296296297,0.5151515151515151,0.5959595959595959
30,10,sqrt,5,2,10,0.6231884057971014,0.5666666666666667,0.6296296296296297,0.5151515151515151,0.595117845117845
30,20,sqrt,5,2,10,0.6231884057971014,0.5666666666666667,0.6296296296296297,0.5151515151515151,0.595117845117845
20,30,log2,10,1,30,0.6231884057971014,0.5666666666666667,0.6296296296296297,0.5151515151515151,0.5959595959595959
30,20,log2,2,1,10,0.6231884057971014,0.5666666666666667,0.6296296296296297,0.5151515151515151,0.6060606060606061
30,30,sqrt,2,1,10,0.6231884057971014,0.5666666666666667,0.6296296296296297,0.5151515151515151,0.6060606060606061
30,20,sqrt,2,1,10,0.6231884057971014,0.5666666666666667,0.6296296296296297,0.5151515151515151,0.6060606060606061
30,30,sqrt,2,2,10,0.6231884057971014,0.5666666666666667,0.6296296296296297,0.5151515151515151,0.6102693602693603
30,20,sqrt,2,2,10,0.6231884057971014,0.5666666666666667,0.6296296296296297,0.5151515151515151,0.6102693602693603
30,10,sqrt,2,2,10,0.6231884057971014,0.5666666666666667,0.6296296296296297,0.5151515151515151,0.6102693602693603
30,10,log2,2,1,10,0.6231884057971014,0.5666666666666667,0.6296296296296297,0.5151515151515151,0.6060606060606061
30,10,sqrt,2,1,10,0.6231884057971014,0.5666666666666667,0.6296296296296297,0.5151515151515151,0.6060606060606061
30,10,log2,5,2,10,0.6231884057971014,0.5666666666666667,0.6296296296296297,0.5151515151515151,0.595117845117845
30,20,log2,5,2,10,0.6231884057971014,0.5666666666666667,0.6296296296296297,0.5151515151515151,0.595117845117845
30,30,log2,5,2,10,0.6231884057971014,0.5666666666666667,0.6296296296296297,0.5151515151515151,0.595117845117845
30,30,log2,2,1,10,0.6231884057971014,0.5666666666666667,0.6296296296296297,0.5151515151515151,0.6060606060606061
30,30,sqrt,5,2,10,0.6231884057971014,0.5666666666666667,0.6296296296296297,0.5151515151515151,0.595117845117845
20,10,sqrt,10,1,10,0.5942028985507246,0.5625,0.5806451612903226,0.5454545454545454,0.5909090909090908
30,10,log2,10,4,20,0.5942028985507246,0.5625,0.5806451612903226,0.5454545454545454,0.5749158249158248
30,10,sqrt,10,4,20,0.5942028985507246,0.5625,0.5806451612903226,0.5454545454545454,0.5749158249158248
30,10,sqrt,10,4,30,0.5942028985507246,0.5625,0.5806451612903226,0.5454545454545454,0.563973063973064
30,10,log2,10,4,30,0.5942028985507246,0.5625,0.5806451612903226,0.5454545454545454,0.563973063973064
10,10,log2,2,2,20,0.5942028985507246,0.5625,0.5806451612903226,0.5454545454545454,0.5951178451178452
10,10,sqrt,2,2,20,0.5942028985507246,0.5625,0.5806451612903226,0.5454545454545454,0.5951178451178452
20,30,log2,10,1,10,0.5942028985507246,0.5625,0.5806451612903226,0.5454545454545454,0.5909090909090908
20,20,log2,10,1,10,0.5942028985507246,0.5625,0.5806451612903226,0.5454545454545454,0.5909090909090908
20,10,log2,10,1,10,0.5942028985507246,0.5625,0.5806451612903226,0.5454545454545454,0.5909090909090908
20,30,sqrt,10,1,10,0.5942028985507246,0.5625,0.5806451612903226,0.5454545454545454,0.5909090909090908
20,20,sqrt,10,1,10,0.5942028985507246,0.5625,0.5806451612903226,0.5454545454545454,0.5909090909090908
20,10,log2,10,1,20,0.6086956521739131,0.5573770491803278,0.6071428571428571,0.5151515151515151,0.5976430976430976
20,10,sqrt,10,1,20,0.6086956521739131,0.5573770491803278,0.6071428571428571,0.5151515151515151,0.5976430976430976
10,30,log2,5,1,20,0.6086956521739131,0.5573770491803278,0.6071428571428571,0.5151515151515151,0.5942760942760943
10,20,log2,5,1,20,0.6086956521739131,0.5573770491803278,0.6071428571428571,0.5151515151515151,0.5942760942760943
10,10,log2,5,1,20,0.6086956521739131,0.5573770491803278,0.6071428571428571,0.5151515151515151,0.5951178451178452
10,30,sqrt,5,1,20,0.6086956521739131,0.5573770491803278,0.6071428571428571,0.5151515151515151,0.5942760942760943
30,20,log2,10,2,30,0.6086956521739131,0.5573770491803278,0.6071428571428571,0.5151515151515151,0.6035353535353535
20,20,sqrt,5,4,30,0.6086956521739131,0.5573770491803278,0.6071428571428571,0.5151515151515151,0.5572390572390572
10,20,sqrt,5,1,20,0.6086956521739131,0.5573770491803278,0.6071428571428571,0.5151515151515151,0.5942760942760943
20,30,sqrt,5,4,30,0.6086956521739131,0.5573770491803278,0.6071428571428571,0.5151515151515151,0.5572390572390572
20,30,log2,2,4,30,0.6086956521739131,0.5573770491803278,0.6071428571428571,0.5151515151515151,0.5572390572390572
20,30,sqrt,2,4,30,0.6086956521739131,0.5573770491803278,0.6071428571428571,0.5151515151515151,0.5572390572390572
20,20,sqrt,2,4,30,0.6086956521739131,0.5573770491803278,0.6071428571428571,0.5151515151515151,0.5572390572390572
30,30,log2,10,2,30,0.6086956521739131,0.5573770491803278,0.6071428571428571,0.5151515151515151,0.6035353535353535
20,20,log2,2,4,30,0.6086956521739131,0.5573770491803278,0.6071428571428571,0.5151515151515151,0.5572390572390572
10,10,sqrt,5,1,20,0.6086956521739131,0.5573770491803278,0.6071428571428571,0.5151515151515151,0.5951178451178452
20,20,log2,5,4,30,0.6086956521739131,0.5573770491803278,0.6071428571428571,0.5151515151515151,0.5572390572390572
30,20,sqrt,10,2,30,0.6086956521739131,0.5573770491803278,0.6071428571428571,0.5151515151515151,0.6035353535353535
20,30,log2,5,4,30,0.6086956521739131,0.5573770491803278,0.6071428571428571,0.5151515151515151,0.5572390572390572
30,30,sqrt,10,2,30,0.6086956521739131,0.5573770491803278,0.6071428571428571,0.5151515151515151,0.6035353535353535
30,20,log2,2,2,30,0.5797101449275363,0.5538461538461539,0.5625,0.5454545454545454,0.5681818181818181
30,30,log2,2,2,30,0.5797101449275363,0.5538461538461539,0.5625,0.5454545454545454,0.5681818181818181
10,20,log2,2,2,30,0.5797101449275363,0.5538461538461539,0.5625,0.5454545454545454,0.5715488215488215
30,30,sqrt,2,2,30,0.5797101449275363,0.5538461538461539,0.5625,0.5454545454545454,0.5681818181818181
30,20,sqrt,2,2,30,0.5797101449275363,0.5538461538461539,0.5625,0.5454545454545454,0.5681818181818181
10,30,log2,2,2,30,0.5797101449275363,0.5538461538461539,0.5625,0.5454545454545454,0.5715488215488215
30,30,sqrt,10,4,30,0.5797101449275363,0.5538461538461539,0.5625,0.5454545454545454,0.5723905723905723
30,20,sqrt,2,2,20,0.5797101449275363,0.5538461538461539,0.5625,0.5454545454545454,0.5774410774410774
30,20,sqrt,10,4,30,0.5797101449275363,0.5538461538461539,0.5625,0.5454545454545454,0.5723905723905723
10,30,sqrt,2,2,30,0.5797101449275363,0.5538461538461539,0.5625,0.5454545454545454,0.5715488215488215
10,20,sqrt,2,2,30,0.5797101449275363,0.5538461538461539,0.5625,0.5454545454545454,0.5715488215488215
30,20,log2,2,2,20,0.5797101449275363,0.5538461538461539,0.5625,0.5454545454545454,0.5774410774410774
30,30,log2,2,2,20,0.5797101449275363,0.5538461538461539,0.5625,0.5454545454545454,0.5774410774410774
30,30,log2,10,4,20,0.5797101449275363,0.5538461538461539,0.5625,0.5454545454545454,0.5791245791245792
30,20,log2,10,4,20,0.5797101449275363,0.5538461538461539,0.5625,0.5454545454545454,0.5791245791245792
30,30,sqrt,10,4,20,0.5797101449275363,0.5538461538461539,0.5625,0.5454545454545454,0.5791245791245792
30,20,sqrt,10,4,20,0.5797101449275363,0.5538461538461539,0.5625,0.5454545454545454,0.5791245791245792
30,20,log2,10,4,30,0.5797101449275363,0.5538461538461539,0.5625,0.5454545454545454,0.5723905723905723
30,30,sqrt,2,2,20,0.5797101449275363,0.5538461538461539,0.5625,0.5454545454545454,0.5774410774410774
30,30,log2,10,4,30,0.5797101449275363,0.5538461538461539,0.5625,0.5454545454545454,0.5723905723905723
