n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,max_leaf_nodes,accuracy,f1_score,precision,recall,auc_roc
10,30,log2,5,1,30,0.8484848484848485,0.8148148148148148,0.9166666666666666,0.7333333333333333,0.9092592592592593
10,20,log2,5,1,20,0.8484848484848485,0.8148148148148148,0.9166666666666666,0.7333333333333333,0.9092592592592593
10,30,sqrt,5,1,20,0.8484848484848485,0.8148148148148148,0.9166666666666666,0.7333333333333333,0.9092592592592593
10,10,log2,5,1,20,0.8484848484848485,0.8148148148148148,0.9166666666666666,0.7333333333333333,0.9092592592592593
10,20,log2,5,1,30,0.8484848484848485,0.8148148148148148,0.9166666666666666,0.7333333333333333,0.9092592592592593
10,10,log2,5,1,30,0.8484848484848485,0.8148148148148148,0.9166666666666666,0.7333333333333333,0.9092592592592593
10,30,sqrt,5,1,30,0.8484848484848485,0.8148148148148148,0.9166666666666666,0.7333333333333333,0.9092592592592593
10,20,sqrt,5,1,30,0.8484848484848485,0.8148148148148148,0.9166666666666666,0.7333333333333333,0.9092592592592593
10,10,sqrt,5,1,30,0.8484848484848485,0.8148148148148148,0.9166666666666666,0.7333333333333333,0.9092592592592593
10,30,log2,5,1,20,0.8484848484848485,0.8148148148148148,0.9166666666666666,0.7333333333333333,0.9092592592592593
10,20,sqrt,5,1,20,0.8484848484848485,0.8148148148148148,0.9166666666666666,0.7333333333333333,0.9092592592592593
10,10,sqrt,5,1,20,0.8484848484848485,0.8148148148148148,0.9166666666666666,0.7333333333333333,0.9092592592592593
20,10,log2,2,4,20,0.8181818181818182,0.75,1.0,0.6,0.9259259259259259
30,30,sqrt,2,4,20,0.8181818181818182,0.75,1.0,0.6,0.9111111111111111
30,20,sqrt,2,4,20,0.8181818181818182,0.75,1.0,0.6,0.9111111111111111
30,10,sqrt,2,4,20,0.8181818181818182,0.75,1.0,0.6,0.9111111111111111
20,30,sqrt,2,4,20,0.8181818181818182,0.75,1.0,0.6,0.9259259259259259
20,20,sqrt,2,4,20,0.8181818181818182,0.75,1.0,0.6,0.9259259259259259
20,10,sqrt,2,4,20,0.8181818181818182,0.75,1.0,0.6,0.9259259259259259
10,10,log2,5,2,20,0.8181818181818182,0.75,1.0,0.6,0.8925925925925925
20,20,log2,2,4,20,0.8181818181818182,0.75,1.0,0.6,0.9259259259259259
30,20,log2,10,2,20,0.8181818181818182,0.75,1.0,0.6,0.8740740740740741
20,30,log2,2,4,20,0.8181818181818182,0.75,1.0,0.6,0.9259259259259259
30,10,log2,2,4,20,0.8181818181818182,0.75,1.0,0.6,0.9111111111111111
30,20,log2,2,4,20,0.8181818181818182,0.75,1.0,0.6,0.9111111111111111
30,30,log2,2,4,20,0.8181818181818182,0.75,1.0,0.6,0.9111111111111111
20,10,sqrt,5,4,20,0.8181818181818182,0.75,1.0,0.6,0.9259259259259259
20,20,sqrt,5,4,20,0.8181818181818182,0.75,1.0,0.6,0.9259259259259259
20,30,sqrt,5,4,20,0.8181818181818182,0.75,1.0,0.6,0.9259259259259259
30,10,sqrt,5,4,20,0.8181818181818182,0.75,1.0,0.6,0.9111111111111111
30,20,sqrt,5,4,20,0.8181818181818182,0.75,1.0,0.6,0.9111111111111111
30,30,log2,10,2,20,0.8181818181818182,0.75,1.0,0.6,0.8740740740740741
30,10,sqrt,10,2,20,0.8181818181818182,0.75,1.0,0.6,0.8740740740740741
30,10,log2,10,2,20,0.8181818181818182,0.75,1.0,0.6,0.8740740740740741
30,30,sqrt,10,2,20,0.8181818181818182,0.75,1.0,0.6,0.8740740740740741
30,30,sqrt,2,4,10,0.8181818181818182,0.75,1.0,0.6,0.8999999999999999
30,10,log2,2,4,10,0.8181818181818182,0.75,1.0,0.6,0.8999999999999999
30,20,log2,2,4,10,0.8181818181818182,0.75,1.0,0.6,0.8999999999999999
30,30,log2,2,4,10,0.8181818181818182,0.75,1.0,0.6,0.8999999999999999
30,10,sqrt,5,4,10,0.8181818181818182,0.75,1.0,0.6,0.8999999999999999
30,20,sqrt,5,4,10,0.8181818181818182,0.75,1.0,0.6,0.8999999999999999
30,30,sqrt,5,4,10,0.8181818181818182,0.75,1.0,0.6,0.8999999999999999
30,10,log2,5,4,10,0.8181818181818182,0.75,1.0,0.6,0.8999999999999999
30,20,log2,5,4,10,0.8181818181818182,0.75,1.0,0.6,0.8999999999999999
30,30,log2,5,4,10,0.8181818181818182,0.75,1.0,0.6,0.8999999999999999
30,10,sqrt,10,4,10,0.8181818181818182,0.75,1.0,0.6,0.8703703703703703
30,20,sqrt,10,4,10,0.8181818181818182,0.75,1.0,0.6,0.8703703703703703
30,30,sqrt,10,4,10,0.8181818181818182,0.75,1.0,0.6,0.8703703703703703
30,10,log2,10,4,10,0.8181818181818182,0.75,1.0,0.6,0.8703703703703703
30,20,log2,10,4,10,0.8181818181818182,0.75,1.0,0.6,0.8703703703703703
30,30,log2,10,4,10,0.8181818181818182,0.75,1.0,0.6,0.8703703703703703
10,10,sqrt,5,2,20,0.8181818181818182,0.75,1.0,0.6,0.8925925925925925
10,20,sqrt,5,2,20,0.8181818181818182,0.75,1.0,0.6,0.8925925925925925
10,30,sqrt,5,2,20,0.8181818181818182,0.75,1.0,0.6,0.8925925925925925
10,20,log2,5,2,20,0.8181818181818182,0.75,1.0,0.6,0.8925925925925925
10,30,log2,5,2,20,0.8181818181818182,0.75,1.0,0.6,0.8925925925925925
20,10,log2,5,4,20,0.8181818181818182,0.75,1.0,0.6,0.9259259259259259
30,20,sqrt,10,2,20,0.8181818181818182,0.75,1.0,0.6,0.8740740740740741
30,30,sqrt,5,4,20,0.8181818181818182,0.75,1.0,0.6,0.9111111111111111
30,20,log2,5,4,20,0.8181818181818182,0.75,1.0,0.6,0.9111111111111111
20,20,log2,5,4,20,0.8181818181818182,0.75,1.0,0.6,0.9259259259259259
30,20,sqrt,2,4,30,0.8181818181818182,0.75,1.0,0.6,0.9111111111111111
20,10,log2,2,4,30,0.8181818181818182,0.75,1.0,0.6,0.9259259259259259
20,20,log2,2,4,30,0.8181818181818182,0.75,1.0,0.6,0.9259259259259259
20,30,log2,2,4,30,0.8181818181818182,0.75,1.0,0.6,0.9259259259259259
30,10,log2,2,4,30,0.8181818181818182,0.75,1.0,0.6,0.9111111111111111
30,20,log2,2,4,30,0.8181818181818182,0.75,1.0,0.6,0.9111111111111111
30,30,log2,2,4,30,0.8181818181818182,0.75,1.0,0.6,0.9111111111111111
20,10,sqrt,5,4,30,0.8181818181818182,0.75,1.0,0.6,0.9259259259259259
20,20,sqrt,5,4,30,0.8181818181818182,0.75,1.0,0.6,0.9259259259259259
20,30,sqrt,5,4,30,0.8181818181818182,0.75,1.0,0.6,0.9259259259259259
30,10,sqrt,5,4,30,0.8181818181818182,0.75,1.0,0.6,0.9111111111111111
30,20,sqrt,5,4,30,0.8181818181818182,0.75,1.0,0.6,0.9111111111111111
30,30,sqrt,5,4,30,0.8181818181818182,0.75,1.0,0.6,0.9111111111111111
