n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,max_leaf_nodes,accuracy,f1_score,precision,recall,auc_roc
10,30,log2,10,2,30,0.7258064516129032,0.2608695652173913,0.75,0.15789473684210525,0.7037943696450428
10,10,log2,10,2,10,0.7258064516129032,0.2608695652173913,0.75,0.15789473684210525,0.5354957160342717
10,10,log2,10,2,30,0.7258064516129032,0.2608695652173913,0.75,0.15789473684210525,0.6940024479804162
10,10,sqrt,10,2,20,0.7258064516129032,0.2608695652173913,0.75,0.15789473684210525,0.6572827417380661
10,20,sqrt,10,2,20,0.7258064516129032,0.2608695652173913,0.75,0.15789473684210525,0.653610771113831
10,30,sqrt,10,2,20,0.7258064516129032,0.2608695652173913,0.75,0.15789473684210525,0.653610771113831
20,30,sqrt,2,1,20,0.7258064516129032,0.2608695652173913,0.75,0.15789473684210525,0.631578947368421
10,10,log2,10,2,20,0.7258064516129032,0.2608695652173913,0.75,0.15789473684210525,0.6572827417380661
10,20,log2,10,2,20,0.7258064516129032,0.2608695652173913,0.75,0.15789473684210525,0.653610771113831
10,30,log2,10,2,20,0.7258064516129032,0.2608695652173913,0.75,0.15789473684210525,0.653610771113831
10,10,sqrt,10,2,10,0.7258064516129032,0.2608695652173913,0.75,0.15789473684210525,0.5354957160342717
10,20,sqrt,10,2,10,0.7258064516129032,0.2608695652173913,0.75,0.15789473684210525,0.5354957160342717
10,30,sqrt,10,2,10,0.7258064516129032,0.2608695652173913,0.75,0.15789473684210525,0.5354957160342717
10,20,log2,10,2,30,0.7258064516129032,0.2608695652173913,0.75,0.15789473684210525,0.7037943696450428
20,10,sqrt,2,1,20,0.7258064516129032,0.2608695652173913,0.75,0.15789473684210525,0.6303549571603427
20,20,sqrt,2,1,20,0.7258064516129032,0.2608695652173913,0.75,0.15789473684210525,0.631578947368421
10,20,log2,10,2,10,0.7258064516129032,0.2608695652173913,0.75,0.15789473684210525,0.5354957160342717
10,30,sqrt,10,2,30,0.7258064516129032,0.2608695652173913,0.75,0.15789473684210525,0.7037943696450428
10,10,sqrt,10,2,30,0.7258064516129032,0.2608695652173913,0.75,0.15789473684210525,0.6940024479804162
20,20,log2,2,1,20,0.7258064516129032,0.2608695652173913,0.75,0.15789473684210525,0.631578947368421
10,20,sqrt,10,2,30,0.7258064516129032,0.2608695652173913,0.75,0.15789473684210525,0.7037943696450428
20,30,log2,2,1,20,0.7258064516129032,0.2608695652173913,0.75,0.15789473684210525,0.631578947368421
20,10,log2,2,1,20,0.7258064516129032,0.2608695652173913,0.75,0.15789473684210525,0.6303549571603427
10,30,log2,10,2,10,0.7258064516129032,0.2608695652173913,0.75,0.15789473684210525,0.5354957160342717
30,30,sqrt,2,1,20,0.7096774193548387,0.25,0.6,0.15789473684210525,0.6107711138310893
10,10,log2,2,1,20,0.7096774193548387,0.25,0.6,0.15789473684210525,0.591187270501836
10,20,log2,2,1,20,0.7096774193548387,0.25,0.6,0.15789473684210525,0.591187270501836
10,30,log2,2,1,20,0.7096774193548387,0.25,0.6,0.15789473684210525,0.591187270501836
30,10,log2,2,1,20,0.7096774193548387,0.25,0.6,0.15789473684210525,0.6083231334149326
30,20,log2,2,1,20,0.7096774193548387,0.25,0.6,0.15789473684210525,0.6107711138310893
30,20,sqrt,2,1,20,0.7096774193548387,0.25,0.6,0.15789473684210525,0.6107711138310893
30,10,sqrt,2,1,20,0.7096774193548387,0.25,0.6,0.15789473684210525,0.6083231334149326
30,30,log2,2,1,20,0.7096774193548387,0.25,0.6,0.15789473684210525,0.6107711138310893
10,30,sqrt,2,2,30,0.7096774193548387,0.25,0.6,0.15789473684210525,0.6328029375764994
10,20,sqrt,2,2,30,0.7096774193548387,0.25,0.6,0.15789473684210525,0.6328029375764994
10,10,sqrt,10,1,20,0.7096774193548387,0.25,0.6,0.15789473684210525,0.7356181150550795
30,30,log2,10,4,30,0.7096774193548387,0.25,0.6,0.15789473684210525,0.7111383108935129
30,20,log2,10,4,10,0.7096774193548387,0.25,0.6,0.15789473684210525,0.6915544675642595
10,30,sqrt,2,1,20,0.7096774193548387,0.25,0.6,0.15789473684210525,0.591187270501836
10,30,sqrt,2,1,30,0.7096774193548387,0.25,0.6,0.15789473684210525,0.6181150550795593
10,10,log2,5,2,30,0.7096774193548387,0.25,0.6,0.15789473684210525,0.5716034271725825
