n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,max_leaf_nodes,accuracy,f1_score,precision,recall,auc_roc
10,10,sqrt,2,1,10,0.8709677419354839,0.9259259259259259,0.8620689655172413,1.0,0.8666666666666667
20,30,log2,2,1,10,0.8709677419354839,0.9259259259259259,0.8620689655172413,1.0,0.8866666666666667
30,10,sqrt,2,2,30,0.8709677419354839,0.9259259259259259,0.8620689655172413,1.0,0.8533333333333334
30,20,sqrt,2,2,30,0.8709677419354839,0.9259259259259259,0.8620689655172413,1.0,0.8533333333333334
30,30,sqrt,2,2,30,0.8709677419354839,0.9259259259259259,0.8620689655172413,1.0,0.8533333333333334
30,10,log2,2,2,30,0.8709677419354839,0.9259259259259259,0.8620689655172413,1.0,0.8533333333333334
30,20,log2,2,2,30,0.8709677419354839,0.9259259259259259,0.8620689655172413,1.0,0.8533333333333334
30,10,sqrt,2,2,20,0.8709677419354839,0.9259259259259259,0.8620689655172413,1.0,0.8533333333333334
30,20,sqrt,2,2,20,0.8709677419354839,0.9259259259259259,0.8620689655172413,1.0,0.8533333333333334
30,30,log2,2,2,30,0.8709677419354839,0.9259259259259259,0.8620689655172413,1.0,0.8533333333333334
30,10,log2,2,2,20,0.8709677419354839,0.9259259259259259,0.8620689655172413,1.0,0.8533333333333334
30,20,log2,2,2,20,0.8709677419354839,0.9259259259259259,0.8620689655172413,1.0,0.8533333333333334
30,30,log2,2,2,20,0.8709677419354839,0.9259259259259259,0.8620689655172413,1.0,0.8533333333333334
30,30,sqrt,2,2,20,0.8709677419354839,0.9259259259259259,0.8620689655172413,1.0,0.8533333333333334
20,20,log2,2,1,10,0.8709677419354839,0.9259259259259259,0.8620689655172413,1.0,0.8866666666666667
10,20,sqrt,2,1,10,0.8709677419354839,0.9259259259259259,0.8620689655172413,1.0,0.8666666666666667
20,10,log2,2,1,10,0.8709677419354839,0.9259259259259259,0.8620689655172413,1.0,0.8866666666666667
20,10,sqrt,2,1,10,0.8709677419354839,0.9259259259259259,0.8620689655172413,1.0,0.8866666666666667
20,20,sqrt,2,1,10,0.8709677419354839,0.9259259259259259,0.8620689655172413,1.0,0.8866666666666667
20,30,sqrt,2,1,10,0.8709677419354839,0.9259259259259259,0.8620689655172413,1.0,0.8866666666666667
10,30,sqrt,2,1,10,0.8709677419354839,0.9259259259259259,0.8620689655172413,1.0,0.8666666666666667
10,20,log2,2,1,10,0.8709677419354839,0.9259259259259259,0.8620689655172413,1.0,0.8666666666666667
10,30,log2,2,1,10,0.8709677419354839,0.9259259259259259,0.8620689655172413,1.0,0.8666666666666667
10,10,log2,2,1,10,0.8709677419354839,0.9259259259259259,0.8620689655172413,1.0,0.8666666666666667
20,30,log2,5,4,10,0.8709677419354839,0.9230769230769231,0.8888888888888888,0.96,0.8866666666666666
10,30,log2,10,1,30,0.8709677419354839,0.9230769230769231,0.8888888888888888,0.96,0.9333333333333333
20,10,log2,5,4,10,0.8709677419354839,0.9230769230769231,0.8888888888888888,0.96,0.8866666666666666
10,30,sqrt,10,1,30,0.8709677419354839,0.9230769230769231,0.8888888888888888,0.96,0.9333333333333333
20,30,sqrt,5,4,10,0.8709677419354839,0.9230769230769231,0.8888888888888888,0.96,0.8866666666666666
20,20,sqrt,5,4,10,0.8709677419354839,0.9230769230769231,0.8888888888888888,0.96,0.8866666666666666
20,10,sqrt,5,4,10,0.8709677419354839,0.9230769230769231,0.8888888888888888,0.96,0.8866666666666666
10,10,log2,10,1,30,0.8709677419354839,0.9230769230769231,0.8888888888888888,0.96,0.9333333333333333
10,20,log2,10,1,30,0.8709677419354839,0.9230769230769231,0.8888888888888888,0.96,0.9333333333333333
20,20,log2,2,4,10,0.8709677419354839,0.9230769230769231,0.8888888888888888,0.96,0.8866666666666666
20,30,log2,2,4,10,0.8709677419354839,0.9230769230769231,0.8888888888888888,0.96,0.8866666666666666
20,30,sqrt,2,4,10,0.8709677419354839,0.9230769230769231,0.8888888888888888,0.96,0.8866666666666666
20,20,sqrt,2,4,10,0.8709677419354839,0.9230769230769231,0.8888888888888888,0.96,0.8866666666666666
20,10,sqrt,2,4,10,0.8709677419354839,0.9230769230769231,0.8888888888888888,0.96,0.8866666666666666
20,20,sqrt,5,2,30,0.8709677419354839,0.9230769230769231,0.8888888888888888,0.96,0.9
20,10,sqrt,5,2,30,0.8709677419354839,0.9230769230769231,0.8888888888888888,0.96,0.9
20,10,log2,5,2,30,0.8709677419354839,0.9230769230769231,0.8888888888888888,0.96,0.9
20,30,sqrt,5,2,30,0.8709677419354839,0.9230769230769231,0.8888888888888888,0.96,0.9
20,20,log2,5,4,10,0.8709677419354839,0.9230769230769231,0.8888888888888888,0.96,0.8866666666666666
20,30,log2,2,4,20,0.8709677419354839,0.9230769230769231,0.8888888888888888,0.96,0.88
10,20,sqrt,10,1,30,0.8709677419354839,0.9230769230769231,0.8888888888888888,0.96,0.9333333333333333
10,10,sqrt,10,1,30,0.8709677419354839,0.9230769230769231,0.8888888888888888,0.96,0.9333333333333333
20,20,sqrt,5,2,20,0.8709677419354839,0.9230769230769231,0.8888888888888888,0.96,0.9
20,10,sqrt,5,2,20,0.8709677419354839,0.9230769230769231,0.8888888888888888,0.96,0.9
20,10,log2,5,2,20,0.8709677419354839,0.9230769230769231,0.8888888888888888,0.96,0.9
20,20,log2,5,2,20,0.8709677419354839,0.9230769230769231,0.8888888888888888,0.96,0.9
20,30,log2,5,2,20,0.8709677419354839,0.9230769230769231,0.8888888888888888,0.96,0.9
10,30,log2,10,1,20,0.8709677419354839,0.9230769230769231,0.8888888888888888,0.96,0.9333333333333333
10,20,log2,10,1,20,0.8709677419354839,0.9230769230769231,0.8888888888888888,0.96,0.9333333333333333
10,10,log2,10,1,20,0.8709677419354839,0.9230769230769231,0.8888888888888888,0.96,0.9333333333333333
10,30,sqrt,10,1,20,0.8709677419354839,0.9230769230769231,0.8888888888888888,0.96,0.9333333333333333
10,20,sqrt,10,1,20,0.8709677419354839,0.9230769230769231,0.8888888888888888,0.96,0.9333333333333333
