n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,max_leaf_nodes,accuracy,f1_score,precision,recall,auc_roc
10,30,sqrt,2,4,30,0.9577464788732394,0.9719626168224299,0.9454545454545454,1.0,0.972672064777328
10,20,sqrt,5,4,30,0.9577464788732394,0.9719626168224299,0.9454545454545454,1.0,0.972672064777328
10,10,log2,5,4,30,0.9577464788732394,0.9719626168224299,0.9454545454545454,1.0,0.972672064777328
10,30,log2,5,4,20,0.9577464788732394,0.9719626168224299,0.9454545454545454,1.0,0.972672064777328
10,20,log2,5,4,20,0.9577464788732394,0.9719626168224299,0.9454545454545454,1.0,0.972672064777328
10,10,log2,5,4,20,0.9577464788732394,0.9719626168224299,0.9454545454545454,1.0,0.972672064777328
10,30,log2,2,4,30,0.9577464788732394,0.9719626168224299,0.9454545454545454,1.0,0.972672064777328
10,30,sqrt,5,4,30,0.9577464788732394,0.9719626168224299,0.9454545454545454,1.0,0.972672064777328
10,20,log2,2,4,30,0.9577464788732394,0.9719626168224299,0.9454545454545454,1.0,0.972672064777328
10,10,log2,2,4,30,0.9577464788732394,0.9719626168224299,0.9454545454545454,1.0,0.972672064777328
10,10,log2,2,4,20,0.9577464788732394,0.9719626168224299,0.9454545454545454,1.0,0.972672064777328
10,30,sqrt,2,4,20,0.9577464788732394,0.9719626168224299,0.9454545454545454,1.0,0.972672064777328
10,30,log2,5,4,30,0.9577464788732394,0.9719626168224299,0.9454545454545454,1.0,0.972672064777328
10,20,sqrt,2,4,20,0.9577464788732394,0.9719626168224299,0.9454545454545454,1.0,0.972672064777328
10,10,sqrt,5,4,30,0.9577464788732394,0.9719626168224299,0.9454545454545454,1.0,0.972672064777328
10,20,log2,2,4,20,0.9577464788732394,0.9719626168224299,0.9454545454545454,1.0,0.972672064777328
10,10,sqrt,5,4,20,0.9577464788732394,0.9719626168224299,0.9454545454545454,1.0,0.972672064777328
10,20,sqrt,5,4,20,0.9577464788732394,0.9719626168224299,0.9454545454545454,1.0,0.972672064777328
10,30,sqrt,5,4,20,0.9577464788732394,0.9719626168224299,0.9454545454545454,1.0,0.972672064777328
10,30,log2,2,4,20,0.9577464788732394,0.9719626168224299,0.9454545454545454,1.0,0.972672064777328
10,20,log2,5,4,30,0.9577464788732394,0.9719626168224299,0.9454545454545454,1.0,0.972672064777328
10,10,sqrt,2,4,30,0.9577464788732394,0.9719626168224299,0.9454545454545454,1.0,0.972672064777328
10,20,sqrt,2,4,30,0.9577464788732394,0.9719626168224299,0.9454545454545454,1.0,0.972672064777328
10,10,sqrt,2,4,20,0.9577464788732394,0.9719626168224299,0.9454545454545454,1.0,0.972672064777328
20,10,sqrt,5,4,20,0.9436619718309859,0.9622641509433962,0.9444444444444444,0.9807692307692307,0.9807692307692307
20,20,sqrt,5,4,20,0.9436619718309859,0.9622641509433962,0.9444444444444444,0.9807692307692307,0.9807692307692307
20,20,sqrt,5,4,30,0.9436619718309859,0.9622641509433962,0.9444444444444444,0.9807692307692307,0.9807692307692307
20,30,sqrt,5,4,30,0.9436619718309859,0.9622641509433962,0.9444444444444444,0.9807692307692307,0.9807692307692307
20,30,sqrt,5,4,20,0.9436619718309859,0.9622641509433962,0.9444444444444444,0.9807692307692307,0.9807692307692307
20,30,log2,2,4,20,0.9436619718309859,0.9622641509433962,0.9444444444444444,0.9807692307692307,0.9807692307692307
20,10,log2,5,4,20,0.9436619718309859,0.9622641509433962,0.9444444444444444,0.9807692307692307,0.9807692307692307
20,20,log2,5,4,20,0.9436619718309859,0.9622641509433962,0.9444444444444444,0.9807692307692307,0.9807692307692307
20,20,log2,2,4,20,0.9436619718309859,0.9622641509433962,0.9444444444444444,0.9807692307692307,0.9807692307692307
20,10,sqrt,5,4,30,0.9436619718309859,0.9622641509433962,0.9444444444444444,0.9807692307692307,0.9807692307692307
20,30,log2,5,4,20,0.9436619718309859,0.9622641509433962,0.9444444444444444,0.9807692307692307,0.9807692307692307
20,10,log2,5,4,30,0.9436619718309859,0.9622641509433962,0.9444444444444444,0.9807692307692307,0.9807692307692307
20,10,sqrt,2,4,20,0.9436619718309859,0.9622641509433962,0.9444444444444444,0.9807692307692307,0.9807692307692307
10,10,log2,5,1,30,0.9436619718309859,0.9622641509433962,0.9444444444444444,0.9807692307692307,0.9711538461538461
10,30,sqrt,5,1,30,0.9436619718309859,0.9622641509433962,0.9444444444444444,0.9807692307692307,0.9746963562753037
10,20,sqrt,5,1,30,0.9436619718309859,0.9622641509433962,0.9444444444444444,0.9807692307692307,0.9746963562753037
10,10,sqrt,5,1,30,0.9436619718309859,0.9622641509433962,0.9444444444444444,0.9807692307692307,0.9711538461538461
10,20,log2,5,1,30,0.9436619718309859,0.9622641509433962,0.9444444444444444,0.9807692307692307,0.9746963562753037
10,30,log2,5,1,30,0.9436619718309859,0.9622641509433962,0.9444444444444444,0.9807692307692307,0.9746963562753037
20,10,sqrt,2,4,30,0.9436619718309859,0.9622641509433962,0.9444444444444444,0.9807692307692307,0.9807692307692307
20,20,sqrt,2,4,30,0.9436619718309859,0.9622641509433962,0.9444444444444444,0.9807692307692307,0.9807692307692307
20,20,log2,5,4,30,0.9436619718309859,0.9622641509433962,0.9444444444444444,0.9807692307692307,0.9807692307692307
20,30,sqrt,2,4,30,0.9436619718309859,0.9622641509433962,0.9444444444444444,0.9807692307692307,0.9807692307692307
20,10,log2,2,4,30,0.9436619718309859,0.9622641509433962,0.9444444444444444,0.9807692307692307,0.9807692307692307
20,20,log2,2,4,30,0.9436619718309859,0.9622641509433962,0.9444444444444444,0.9807692307692307,0.9807692307692307
20,30,log2,2,4,30,0.9436619718309859,0.9622641509433962,0.9444444444444444,0.9807692307692307,0.9807692307692307
20,20,sqrt,2,4,20,0.9436619718309859,0.9622641509433962,0.9444444444444444,0.9807692307692307,0.9807692307692307
20,30,sqrt,2,4,20,0.9436619718309859,0.9622641509433962,0.9444444444444444,0.9807692307692307,0.9807692307692307
20,30,log2,5,4,30,0.9436619718309859,0.9622641509433962,0.9444444444444444,0.9807692307692307,0.9807692307692307
20,10,log2,2,4,20,0.9436619718309859,0.9622641509433962,0.9444444444444444,0.9807692307692307,0.9807692307692307
10,30,log2,2,4,10,0.9295774647887324,0.9541284403669725,0.9122807017543859,1.0,0.9625506072874493
10,30,sqrt,5,4,10,0.9295774647887324,0.9541284403669725,0.9122807017543859,1.0,0.9625506072874493
10,20,log2,2,4,10,0.9295774647887324,0.9541284403669725,0.9122807017543859,1.0,0.9625506072874493
10,10,log2,2,4,10,0.9295774647887324,0.9541284403669725,0.9122807017543859,1.0,0.9625506072874493
10,10,log2,5,4,10,0.9295774647887324,0.9541284403669725,0.9122807017543859,1.0,0.9625506072874493
10,10,sqrt,5,4,10,0.9295774647887324,0.9541284403669725,0.9122807017543859,1.0,0.9625506072874493
10,20,sqrt,5,4,10,0.9295774647887324,0.9541284403669725,0.9122807017543859,1.0,0.9625506072874493
10,20,log2,5,4,10,0.9295774647887324,0.9541284403669725,0.9122807017543859,1.0,0.9625506072874493
10,30,sqrt,2,4,10,0.9295774647887324,0.9541284403669725,0.9122807017543859,1.0,0.9625506072874493
10,10,sqrt,2,4,10,0.9295774647887324,0.9541284403669725,0.9122807017543859,1.0,0.9625506072874493
10,30,log2,5,4,10,0.9295774647887324,0.9541284403669725,0.9122807017543859,1.0,0.9625506072874493
10,10,sqrt,10,4,10,0.9295774647887324,0.9541284403669725,0.9122807017543859,1.0,0.9696356275303644
10,30,log2,10,4,10,0.9295774647887324,0.9541284403669725,0.9122807017543859,1.0,0.9696356275303644
10,20,log2,10,4,10,0.9295774647887324,0.9541284403669725,0.9122807017543859,1.0,0.9696356275303644
10,10,log2,10,4,10,0.9295774647887324,0.9541284403669725,0.9122807017543859,1.0,0.9696356275303644
10,20,sqrt,10,4,10,0.9295774647887324,0.9541284403669725,0.9122807017543859,1.0,0.9696356275303644
10,30,sqrt,10,4,10,0.9295774647887324,0.9541284403669725,0.9122807017543859,1.0,0.9696356275303644
10,20,sqrt,2,4,10,0.9295774647887324,0.9541284403669725,0.9122807017543859,1.0,0.9625506072874493
10,10,sqrt,5,1,20,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9701417004048584
10,20,log2,5,1,20,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9736842105263158
10,10,log2,2,1,20,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9827935222672065
10,20,log2,2,1,20,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9772267206477733
10,30,log2,2,1,20,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9772267206477733
10,20,sqrt,2,1,10,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9665991902834009
10,10,log2,2,2,30,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9625506072874495
10,20,log2,2,2,30,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9615384615384616
10,30,log2,5,1,20,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9736842105263158
10,30,sqrt,5,1,20,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9736842105263158
10,30,log2,2,2,30,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9615384615384616
10,20,sqrt,5,1,20,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9736842105263158
10,20,sqrt,2,1,20,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9772267206477733
20,10,sqrt,2,4,10,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9676113360323887
20,20,sqrt,2,4,10,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9676113360323887
20,30,sqrt,2,4,10,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9676113360323887
10,10,log2,5,1,20,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9701417004048584
10,30,sqrt,2,1,20,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9772267206477733
10,10,sqrt,2,2,30,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9625506072874495
10,10,sqrt,2,1,20,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9827935222672065
10,30,sqrt,2,2,30,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9615384615384616
20,10,log2,5,4,10,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9676113360323887
20,30,log2,5,4,10,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9676113360323887
20,20,sqrt,5,4,10,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9676113360323887
20,10,sqrt,5,4,10,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9676113360323887
10,30,log2,2,2,20,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9640688259109312
10,20,log2,2,2,20,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9640688259109312
10,10,log2,2,2,20,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9630566801619432
20,30,log2,2,4,10,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9676113360323887
20,20,log2,2,4,10,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9676113360323887
20,10,log2,2,4,10,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9676113360323887
10,30,sqrt,2,2,20,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9640688259109312
10,20,sqrt,2,2,20,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9640688259109312
10,10,sqrt,2,2,20,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9630566801619432
20,30,sqrt,5,4,10,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9676113360323887
10,20,sqrt,2,2,30,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9615384615384616
20,20,log2,5,4,10,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9676113360323887
10,10,sqrt,2,1,10,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9665991902834009
10,30,sqrt,10,4,30,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9736842105263158
10,10,log2,2,2,10,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9615384615384615
10,10,log2,10,4,30,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9736842105263158
10,30,log2,2,2,10,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9615384615384615
10,20,sqrt,5,1,10,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9686234817813766
10,10,sqrt,10,4,20,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9736842105263158
10,10,sqrt,5,1,10,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9686234817813766
10,20,log2,2,2,10,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9615384615384615
10,30,sqrt,2,2,10,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9615384615384615
10,10,sqrt,5,2,10,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9615384615384616
10,20,sqrt,2,2,10,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9615384615384615
10,10,sqrt,2,2,10,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9615384615384615
10,20,sqrt,10,4,20,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9736842105263158
10,30,sqrt,10,4,20,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9736842105263158
10,30,log2,5,1,10,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9686234817813766
10,20,log2,5,1,10,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9686234817813766
10,20,log2,10,4,30,0.9295774647887324,0.9532710280373832,0.9272727272727272,0.9807692307692307,0.9736842105263158
