n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,max_leaf_nodes,accuracy,f1_score,precision,recall,auc_roc
10,20,sqrt,2,1,20,0.9230769230769231,0.9090909090909091,0.8333333333333334,1.0,1.0
30,20,sqrt,2,1,30,0.9230769230769231,0.9090909090909091,0.8333333333333334,1.0,1.0
20,30,log2,2,1,30,0.9230769230769231,0.9090909090909091,0.8333333333333334,1.0,1.0
20,20,log2,2,1,30,0.9230769230769231,0.9090909090909091,0.8333333333333334,1.0,1.0
20,10,log2,2,1,30,0.9230769230769231,0.9090909090909091,0.8333333333333334,1.0,1.0
10,30,log2,2,1,30,0.9230769230769231,0.9090909090909091,0.8333333333333334,1.0,0.975
10,20,log2,2,1,30,0.9230769230769231,0.9090909090909091,0.8333333333333334,1.0,0.975
10,10,log2,2,1,30,0.9230769230769231,0.9090909090909091,0.8333333333333334,1.0,0.975
30,30,sqrt,2,1,30,0.9230769230769231,0.9090909090909091,0.8333333333333334,1.0,1.0
30,10,sqrt,2,1,30,0.9230769230769231,0.9090909090909091,0.8333333333333334,1.0,1.0
30,20,log2,2,1,30,0.9230769230769231,0.9090909090909091,0.8333333333333334,1.0,1.0
20,30,sqrt,2,1,30,0.9230769230769231,0.9090909090909091,0.8333333333333334,1.0,1.0
20,20,sqrt,2,1,30,0.9230769230769231,0.9090909090909091,0.8333333333333334,1.0,1.0
20,10,sqrt,2,1,30,0.9230769230769231,0.9090909090909091,0.8333333333333334,1.0,1.0
10,30,sqrt,2,1,30,0.9230769230769231,0.9090909090909091,0.8333333333333334,1.0,0.975
10,20,sqrt,2,1,30,0.9230769230769231,0.9090909090909091,0.8333333333333334,1.0,0.975
10,10,sqrt,2,1,30,0.9230769230769231,0.9090909090909091,0.8333333333333334,1.0,0.975
10,10,sqrt,2,1,20,0.9230769230769231,0.9090909090909091,0.8333333333333334,1.0,1.0
30,10,log2,2,1,30,0.9230769230769231,0.9090909090909091,0.8333333333333334,1.0,1.0
30,30,log2,2,1,30,0.9230769230769231,0.9090909090909091,0.8333333333333334,1.0,1.0
10,20,log2,2,1,20,0.9230769230769231,0.9090909090909091,0.8333333333333334,1.0,1.0
30,30,sqrt,2,1,20,0.9230769230769231,0.9090909090909091,0.8333333333333334,1.0,1.0
30,30,log2,2,1,20,0.9230769230769231,0.9090909090909091,0.8333333333333334,1.0,1.0
20,30,log2,2,1,20,0.9230769230769231,0.9090909090909091,0.8333333333333334,1.0,1.0
20,20,log2,2,1,20,0.9230769230769231,0.9090909090909091,0.8333333333333334,1.0,1.0
20,10,log2,2,1,20,0.9230769230769231,0.9090909090909091,0.8333333333333334,1.0,1.0
10,30,log2,2,1,20,0.9230769230769231,0.9090909090909091,0.8333333333333334,1.0,1.0
10,10,log2,2,1,20,0.9230769230769231,0.9090909090909091,0.8333333333333334,1.0,1.0
30,20,sqrt,2,1,20,0.9230769230769231,0.9090909090909091,0.8333333333333334,1.0,1.0
30,10,log2,2,1,20,0.9230769230769231,0.9090909090909091,0.8333333333333334,1.0,1.0
30,10,sqrt,2,1,20,0.9230769230769231,0.9090909090909091,0.8333333333333334,1.0,1.0
20,30,sqrt,2,1,20,0.9230769230769231,0.9090909090909091,0.8333333333333334,1.0,1.0
20,20,sqrt,2,1,20,0.9230769230769231,0.9090909090909091,0.8333333333333334,1.0,1.0
20,10,sqrt,2,1,20,0.9230769230769231,0.9090909090909091,0.8333333333333334,1.0,1.0
10,30,sqrt,2,1,20,0.9230769230769231,0.9090909090909091,0.8333333333333334,1.0,1.0
30,20,log2,2,1,20,0.9230769230769231,0.9090909090909091,0.8333333333333334,1.0,1.0
10,30,log2,5,1,20,0.8846153846153846,0.8695652173913043,0.7692307692307693,1.0,0.9625
10,30,sqrt,5,1,20,0.8846153846153846,0.8695652173913043,0.7692307692307693,1.0,0.9625
10,10,sqrt,5,1,20,0.8846153846153846,0.8695652173913043,0.7692307692307693,1.0,0.9625
10,20,log2,5,1,20,0.8846153846153846,0.8695652173913043,0.7692307692307693,1.0,0.9625
10,20,sqrt,5,1,20,0.8846153846153846,0.8695652173913043,0.7692307692307693,1.0,0.9625
10,30,log2,5,1,30,0.8846153846153846,0.8695652173913043,0.7692307692307693,1.0,0.9625
10,20,log2,5,1,30,0.8846153846153846,0.8695652173913043,0.7692307692307693,1.0,0.9625
10,10,log2,5,1,30,0.8846153846153846,0.8695652173913043,0.7692307692307693,1.0,0.9625
10,10,log2,5,1,20,0.8846153846153846,0.8695652173913043,0.7692307692307693,1.0,0.9625
10,30,sqrt,5,1,30,0.8846153846153846,0.8695652173913043,0.7692307692307693,1.0,0.9625
10,20,sqrt,5,1,30,0.8846153846153846,0.8695652173913043,0.7692307692307693,1.0,0.9625
10,10,sqrt,5,1,30,0.8846153846153846,0.8695652173913043,0.7692307692307693,1.0,0.9625
10,20,sqrt,2,2,20,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.9750000000000001
30,30,sqrt,2,2,20,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.9625
10,10,log2,2,2,20,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.9750000000000001
10,20,log2,2,2,20,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.9750000000000001
30,20,sqrt,2,2,20,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.9625
30,10,sqrt,2,2,20,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.9625
10,30,sqrt,2,2,20,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.9750000000000001
20,20,sqrt,5,1,20,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.96875
10,10,sqrt,2,2,20,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.9750000000000001
20,30,log2,5,1,20,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.96875
20,20,log2,5,1,20,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.96875
20,10,log2,5,1,20,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.96875
20,30,sqrt,5,1,20,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.96875
20,10,sqrt,5,1,20,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.96875
30,10,log2,2,2,20,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.9625
10,30,log2,2,2,20,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.9750000000000001
10,10,sqrt,2,1,10,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,1.0
30,20,log2,2,2,20,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.9625
20,10,sqrt,5,2,30,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.96875
10,30,sqrt,2,2,30,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.9750000000000001
10,10,log2,2,2,30,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.9750000000000001
10,20,log2,2,2,30,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.9750000000000001
10,30,log2,2,2,30,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.9750000000000001
10,10,sqrt,5,2,30,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.98125
10,20,sqrt,5,2,30,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.98125
10,30,sqrt,5,2,30,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.98125
20,20,sqrt,5,2,30,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.96875
30,30,log2,2,2,20,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.9625
20,30,sqrt,5,2,30,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.96875
10,10,log2,5,2,30,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.98125
10,20,log2,5,2,30,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.98125
10,30,log2,5,2,30,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.98125
20,10,log2,5,2,30,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.96875
20,20,log2,5,2,30,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.96875
20,30,log2,5,2,30,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.96875
10,20,sqrt,2,2,30,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.9750000000000001
10,10,sqrt,2,2,30,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.9750000000000001
20,30,log2,5,1,30,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.96875
20,20,log2,5,1,30,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.96875
10,10,sqrt,5,2,20,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.98125
10,20,sqrt,5,2,20,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.98125
10,30,sqrt,5,2,20,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.98125
20,10,sqrt,5,2,20,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.96875
20,20,sqrt,5,2,20,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.96875
20,30,sqrt,5,2,20,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.96875
10,20,sqrt,2,1,10,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,1.0
10,20,log2,5,2,20,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.98125
10,30,log2,5,2,20,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.98125
20,10,log2,5,2,20,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.96875
20,30,log2,5,2,20,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.96875
20,10,sqrt,5,1,30,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.96875
20,20,sqrt,5,1,30,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.96875
20,30,sqrt,5,1,30,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.96875
20,10,log2,5,1,30,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.96875
20,20,log2,5,2,20,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.96875
10,10,log2,5,2,20,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.98125
10,30,log2,2,1,10,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,1.0
10,20,log2,2,1,10,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,1.0
30,10,sqrt,2,2,10,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.9375
30,20,sqrt,2,1,10,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.9375
30,20,sqrt,2,2,10,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.9375
30,30,sqrt,2,2,10,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.9375
10,30,sqrt,2,1,10,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,1.0
30,30,sqrt,2,1,10,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.9375
10,10,log2,2,1,10,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,1.0
30,10,sqrt,2,1,10,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.9375
30,30,log2,2,2,10,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.9375
30,20,log2,2,1,10,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.9375
30,30,log2,2,1,10,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.9375
30,20,log2,2,2,10,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.9375
30,10,log2,2,2,10,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.9375
30,10,log2,2,1,10,0.8461538461538461,0.8333333333333334,0.7142857142857143,1.0,0.9375
30,20,log2,5,2,30,0.8461538461538461,0.8181818181818182,0.75,0.9,0.98125
30,10,log2,5,2,20,0.8461538461538461,0.8181818181818182,0.75,0.9,0.98125
30,30,log2,5,2,30,0.8461538461538461,0.8181818181818182,0.75,0.9,0.98125
30,20,sqrt,5,1,20,0.8461538461538461,0.8181818181818182,0.75,0.9,0.98125
30,10,log2,5,2,30,0.8461538461538461,0.8181818181818182,0.75,0.9,0.98125
30,10,sqrt,5,1,20,0.8461538461538461,0.8181818181818182,0.75,0.9,0.98125
30,30,log2,5,1,20,0.8461538461538461,0.8181818181818182,0.75,0.9,0.98125
30,20,sqrt,5,2,30,0.8461538461538461,0.8181818181818182,0.75,0.9,0.98125
30,30,sqrt,5,2,30,0.8461538461538461,0.8181818181818182,0.75,0.9,0.98125
30,10,log2,5,1,20,0.8461538461538461,0.8181818181818182,0.75,0.9,0.98125
30,10,sqrt,5,2,30,0.8461538461538461,0.8181818181818182,0.75,0.9,0.98125
30,20,log2,5,2,20,0.8461538461538461,0.8181818181818182,0.75,0.9,0.98125
30,30,log2,5,2,20,0.8461538461538461,0.8181818181818182,0.75,0.9,0.98125
20,20,sqrt,2,2,30,0.8461538461538461,0.8181818181818182,0.75,0.9,0.975
