n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
20,5,2,1,0.85,0.8333333333333334
30,5,2,1,0.85,0.8333333333333334
30,5,2,2,0.85,0.8333333333333334
30,5,5,1,0.825,0.8108108108108109
30,5,5,2,0.825,0.8108108108108109
20,5,2,2,0.825,0.8108108108108109
20,5,5,2,0.8,0.7894736842105263
30,5,10,2,0.8,0.7894736842105263
20,5,10,2,0.8,0.7894736842105263
30,5,10,4,0.8,0.7894736842105263
20,5,5,1,0.8,0.7894736842105263
10,5,5,1,0.8,0.7777777777777778
20,5,10,1,0.775,0.7692307692307693
20,5,10,4,0.775,0.7692307692307693
20,5,2,4,0.75,0.75
30,5,2,4,0.75,0.75
30,5,10,1,0.75,0.75
20,5,5,4,0.75,0.75
30,5,5,4,0.75,0.75
10,5,10,1,0.725,0.7317073170731707
10,5,2,1,0.775,0.7272727272727273
10,5,5,2,0.75,0.7058823529411765
20,3,2,1,0.725,0.7027027027027027
20,3,5,1,0.725,0.7027027027027027
10,5,10,2,0.725,0.6857142857142857
10,5,2,2,0.725,0.6857142857142857
20,3,5,4,0.7,0.6842105263157895
20,3,2,4,0.7,0.6842105263157895
30,3,2,1,0.7,0.6842105263157895
20,3,10,1,0.7,0.6842105263157895
20,3,10,2,0.7,0.6842105263157895
20,3,10,4,0.7,0.6842105263157895
20,3,5,2,0.7,0.6842105263157895
20,3,2,2,0.7,0.6842105263157895
10,5,5,4,0.7,0.6666666666666666
10,5,2,4,0.7,0.6666666666666666
10,5,10,4,0.7,0.6666666666666666
30,3,5,4,0.675,0.6486486486486487
30,3,2,4,0.675,0.6486486486486487
30,3,10,4,0.675,0.6486486486486487
30,3,5,1,0.675,0.6486486486486487
30,3,10,2,0.675,0.6486486486486487
30,3,5,2,0.675,0.6486486486486487
30,3,2,2,0.675,0.6486486486486487
30,3,10,1,0.675,0.6486486486486487
10,3,5,1,0.675,0.6285714285714286
10,3,5,2,0.675,0.6285714285714286
10,3,2,4,0.65,0.6111111111111112
10,3,5,4,0.65,0.6111111111111112
10,3,10,2,0.65,0.6111111111111112
10,3,10,4,0.65,0.6111111111111112
10,3,2,2,0.65,0.6111111111111112
10,3,10,1,0.65,0.6111111111111112
10,3,2,1,0.65,0.6111111111111112
