n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,max_leaf_nodes,accuracy,f1_score,precision,recall,auc_roc
30,30,log2,10,4,30,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9631410256410255
30,10,log2,10,2,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9711538461538461
30,20,sqrt,5,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9615384615384615
30,30,sqrt,5,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9615384615384615
10,10,log2,5,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.967948717948718
10,20,log2,5,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.967948717948718
10,30,log2,5,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.967948717948718
20,10,log2,5,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9647435897435898
20,20,log2,5,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9647435897435898
20,30,log2,5,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9647435897435898
30,10,log2,5,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9615384615384615
30,20,log2,5,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9615384615384615
30,30,log2,5,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9615384615384615
10,10,sqrt,10,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9647435897435898
10,20,sqrt,10,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9647435897435898
10,30,sqrt,10,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9647435897435898
20,10,sqrt,10,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.971153846153846
20,20,sqrt,10,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.971153846153846
20,30,sqrt,10,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.971153846153846
30,20,sqrt,10,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.969551282051282
30,30,sqrt,10,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.969551282051282
10,10,log2,10,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9647435897435898
10,20,log2,10,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9647435897435898
10,30,log2,10,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9647435897435898
20,10,log2,10,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.971153846153846
30,10,sqrt,5,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9615384615384615
20,30,sqrt,5,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9647435897435898
20,20,sqrt,5,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9647435897435898
10,10,log2,2,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.967948717948718
30,30,log2,10,2,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9711538461538461
10,10,sqrt,2,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.967948717948718
10,20,sqrt,2,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.967948717948718
10,30,sqrt,2,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.967948717948718
20,10,sqrt,2,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9647435897435898
20,20,sqrt,2,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9647435897435898
20,30,sqrt,2,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9647435897435898
30,10,sqrt,2,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9615384615384615
30,20,sqrt,2,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9615384615384615
30,30,sqrt,2,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9615384615384615
10,20,log2,2,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.967948717948718
20,10,sqrt,5,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9647435897435898
10,30,log2,2,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.967948717948718
20,10,log2,2,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9647435897435898
20,20,log2,2,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9647435897435898
20,30,log2,2,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9647435897435898
30,10,log2,2,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9615384615384615
30,20,log2,2,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9615384615384615
30,30,log2,2,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9615384615384615
10,10,sqrt,5,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.967948717948718
10,20,sqrt,5,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.967948717948718
10,30,sqrt,5,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.967948717948718
20,20,log2,10,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.971153846153846
20,30,log2,10,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.971153846153846
30,10,log2,10,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.969551282051282
30,10,sqrt,10,4,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9631410256410255
10,30,sqrt,2,4,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9599358974358975
20,10,log2,10,4,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9559294871794872
10,30,log2,10,4,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9575320512820513
10,20,log2,10,4,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9575320512820513
10,10,log2,10,4,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9575320512820513
30,30,sqrt,10,4,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9631410256410255
30,20,sqrt,10,4,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9631410256410255
10,10,log2,2,4,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9599358974358975
10,20,log2,2,4,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9599358974358975
10,30,log2,2,4,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9599358974358975
20,30,sqrt,10,4,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9559294871794872
10,10,sqrt,2,4,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9599358974358975
20,20,sqrt,10,4,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9559294871794872
20,10,sqrt,10,4,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9559294871794872
10,30,sqrt,10,4,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9575320512820513
10,20,sqrt,10,4,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9575320512820513
10,10,sqrt,5,4,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9599358974358975
10,20,sqrt,5,4,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9599358974358975
10,30,sqrt,5,4,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9599358974358975
10,10,sqrt,10,4,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9575320512820513
10,10,log2,5,4,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9599358974358975
10,20,log2,5,4,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9599358974358975
10,20,sqrt,2,4,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9599358974358975
30,30,log2,10,2,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9599358974358974
30,20,log2,10,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.969551282051282
30,20,log2,10,1,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9583333333333334
30,30,log2,10,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.969551282051282
30,30,log2,10,1,30,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9583333333333334
30,20,log2,10,1,30,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9583333333333334
30,10,log2,10,1,30,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9583333333333334
30,10,sqrt,10,1,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9583333333333334
30,20,sqrt,10,1,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9583333333333334
30,30,sqrt,10,1,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9583333333333334
30,30,sqrt,10,1,30,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9583333333333334
30,20,sqrt,10,1,30,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9583333333333334
30,10,log2,10,1,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9583333333333334
30,30,log2,10,1,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9583333333333334
30,20,log2,10,2,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9599358974358974
30,10,sqrt,10,1,30,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9583333333333334
30,10,sqrt,10,2,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9599358974358974
30,20,sqrt,10,2,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9599358974358974
30,30,sqrt,10,2,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9599358974358974
30,30,log2,10,4,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9631410256410255
30,20,log2,10,4,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9631410256410255
30,10,log2,10,4,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9631410256410255
20,30,log2,10,4,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9559294871794872
20,20,log2,10,4,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9559294871794872
30,10,log2,10,2,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9599358974358974
30,20,log2,10,2,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9711538461538461
30,10,sqrt,10,4,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.969551282051282
20,30,log2,10,2,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.971153846153846
30,30,sqrt,10,1,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9711538461538461
10,10,sqrt,10,1,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9719551282051282
10,20,sqrt,10,1,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9719551282051282
10,30,sqrt,10,1,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9719551282051282
20,10,sqrt,10,1,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9631410256410255
20,20,sqrt,10,1,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9631410256410255
20,30,sqrt,10,1,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9631410256410255
30,10,sqrt,10,1,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9711538461538461
30,20,sqrt,10,1,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9711538461538461
10,10,log2,10,1,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9719551282051282
10,30,sqrt,5,4,30,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9599358974358975
20,20,log2,10,2,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.971153846153846
10,20,log2,10,1,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9719551282051282
10,30,log2,10,1,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9719551282051282
20,10,log2,10,1,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9631410256410255
20,20,log2,10,1,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9631410256410255
20,30,log2,10,1,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9631410256410255
30,10,log2,10,1,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9711538461538461
30,20,log2,10,1,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9711538461538461
10,20,sqrt,5,4,30,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9599358974358975
10,10,log2,5,4,30,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9599358974358975
10,10,sqrt,5,4,30,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9599358974358975
30,30,sqrt,10,4,30,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9631410256410255
30,20,log2,10,4,30,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9631410256410255
30,10,log2,10,4,30,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9631410256410255
20,30,log2,10,4,30,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9559294871794872
20,20,log2,10,4,30,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9559294871794872
20,10,log2,10,4,30,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9559294871794872
10,30,log2,10,4,30,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9575320512820513
10,20,log2,10,4,30,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9575320512820513
10,10,log2,10,4,30,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9575320512820513
30,20,sqrt,10,4,30,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9631410256410255
10,20,log2,5,4,30,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9599358974358975
30,10,sqrt,10,4,30,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9631410256410255
20,30,sqrt,10,4,30,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9559294871794872
20,20,sqrt,10,4,30,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9559294871794872
20,10,sqrt,10,4,30,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9559294871794872
10,30,sqrt,10,4,30,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9575320512820513
10,20,sqrt,10,4,30,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9575320512820513
10,10,sqrt,10,4,30,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9575320512820513
10,30,log2,5,4,30,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9599358974358975
30,30,log2,10,1,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9711538461538461
10,30,log2,5,4,20,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9599358974358975
20,30,sqrt,10,2,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.971153846153846
30,30,sqrt,10,2,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9711538461538461
30,10,log2,10,2,30,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9599358974358974
30,20,log2,10,2,30,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9599358974358974
30,30,log2,10,2,30,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9599358974358974
10,10,sqrt,2,4,30,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9599358974358975
10,10,sqrt,10,2,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9703525641025641
10,20,sqrt,10,2,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9703525641025641
10,30,sqrt,10,2,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9703525641025641
20,10,sqrt,10,2,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.971153846153846
20,20,sqrt,10,2,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.971153846153846
30,20,sqrt,10,2,30,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9599358974358974
30,10,sqrt,10,2,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9711538461538461
30,20,sqrt,10,2,10,0.92,0.92,0.8846153846153846,0.9583333333333334,0.9711538461538461
