n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,max_leaf_nodes,accuracy,f1_score,precision,recall,auc_roc
10,10,sqrt,5,2,30,0.7311827956989247,0.5901639344262295,0.75,0.4864864864864865,0.7782335907335907
10,10,log2,5,2,30,0.7311827956989247,0.5901639344262295,0.75,0.4864864864864865,0.7782335907335907
30,10,log2,10,2,30,0.7204301075268817,0.5806451612903226,0.72,0.4864864864864865,0.7422779922779923
30,10,sqrt,10,2,30,0.7204301075268817,0.5806451612903226,0.72,0.4864864864864865,0.7422779922779923
20,10,log2,10,2,30,0.7204301075268817,0.5806451612903226,0.72,0.4864864864864865,0.7292471042471043
20,10,sqrt,10,2,30,0.7204301075268817,0.5806451612903226,0.72,0.4864864864864865,0.7292471042471043
30,10,sqrt,10,2,20,0.7204301075268817,0.5666666666666667,0.7391304347826086,0.4594594594594595,0.7596525096525096
10,30,log2,2,1,30,0.7204301075268817,0.5666666666666667,0.7391304347826086,0.4594594594594595,0.7480694980694981
10,20,log2,2,1,30,0.7204301075268817,0.5666666666666667,0.7391304347826086,0.4594594594594595,0.7480694980694981
10,30,sqrt,2,1,30,0.7204301075268817,0.5666666666666667,0.7391304347826086,0.4594594594594595,0.7480694980694981
10,20,sqrt,2,1,30,0.7204301075268817,0.5666666666666667,0.7391304347826086,0.4594594594594595,0.7480694980694981
30,10,log2,10,2,20,0.7204301075268817,0.5666666666666667,0.7391304347826086,0.4594594594594595,0.7596525096525096
30,10,sqrt,2,1,30,0.7096774193548387,0.5573770491803278,0.7083333333333334,0.4594594594594595,0.7393822393822393
30,20,sqrt,10,2,20,0.7096774193548387,0.5573770491803278,0.7083333333333334,0.4594594594594595,0.7582046332046333
30,30,sqrt,10,2,20,0.7096774193548387,0.5573770491803278,0.7083333333333334,0.4594594594594595,0.7582046332046333
30,20,log2,10,2,20,0.7096774193548387,0.5573770491803278,0.7083333333333334,0.4594594594594595,0.7582046332046333
30,30,log2,2,1,20,0.7096774193548387,0.5573770491803278,0.7083333333333334,0.4594594594594595,0.7543436293436293
30,20,log2,2,1,20,0.7096774193548387,0.5573770491803278,0.7083333333333334,0.4594594594594595,0.7543436293436293
30,10,log2,2,1,30,0.7096774193548387,0.5573770491803278,0.7083333333333334,0.4594594594594595,0.7393822393822393
30,30,log2,10,2,20,0.7096774193548387,0.5573770491803278,0.7083333333333334,0.4594594594594595,0.7582046332046333
30,20,sqrt,2,1,20,0.7096774193548387,0.5573770491803278,0.7083333333333334,0.4594594594594595,0.7543436293436293
30,30,sqrt,2,1,20,0.7096774193548387,0.5573770491803278,0.7083333333333334,0.4594594594594595,0.7543436293436293
20,30,sqrt,10,2,20,0.7096774193548387,0.5423728813559322,0.7272727272727273,0.43243243243243246,0.7514478764478766
20,30,sqrt,5,2,20,0.7096774193548387,0.5423728813559322,0.7272727272727273,0.43243243243243246,0.7471042471042472
20,20,sqrt,5,2,20,0.7096774193548387,0.5423728813559322,0.7272727272727273,0.43243243243243246,0.7471042471042472
20,10,sqrt,5,2,20,0.7096774193548387,0.5423728813559322,0.7272727272727273,0.43243243243243246,0.7514478764478765
30,30,log2,2,2,20,0.7096774193548387,0.5423728813559322,0.7272727272727273,0.43243243243243246,0.7427606177606177
30,20,log2,2,2,20,0.7096774193548387,0.5423728813559322,0.7272727272727273,0.43243243243243246,0.7427606177606177
30,10,log2,2,2,20,0.7096774193548387,0.5423728813559322,0.7272727272727273,0.43243243243243246,0.7480694980694981
20,30,log2,5,2,20,0.7096774193548387,0.5423728813559322,0.7272727272727273,0.43243243243243246,0.7471042471042472
20,10,sqrt,10,2,20,0.7096774193548387,0.5423728813559322,0.7272727272727273,0.43243243243243246,0.7519305019305019
20,20,sqrt,10,2,20,0.7096774193548387,0.5423728813559322,0.7272727272727273,0.43243243243243246,0.7514478764478766
30,30,sqrt,2,2,20,0.7096774193548387,0.5423728813559322,0.7272727272727273,0.43243243243243246,0.7427606177606177
30,20,sqrt,2,2,20,0.7096774193548387,0.5423728813559322,0.7272727272727273,0.43243243243243246,0.7427606177606177
30,10,sqrt,2,2,20,0.7096774193548387,0.5423728813559322,0.7272727272727273,0.43243243243243246,0.7480694980694981
20,10,log2,5,2,20,0.7096774193548387,0.5423728813559322,0.7272727272727273,0.43243243243243246,0.7514478764478765
20,20,log2,5,2,20,0.7096774193548387,0.5423728813559322,0.7272727272727273,0.43243243243243246,0.7471042471042472
30,20,sqrt,2,1,30,0.7096774193548387,0.5423728813559322,0.7272727272727273,0.43243243243243246,0.737934362934363
30,30,sqrt,2,1,30,0.7096774193548387,0.5423728813559322,0.7272727272727273,0.43243243243243246,0.737934362934363
20,10,log2,10,2,20,0.7096774193548387,0.5423728813559322,0.7272727272727273,0.43243243243243246,0.7519305019305019
20,20,log2,10,2,20,0.7096774193548387,0.5423728813559322,0.7272727272727273,0.43243243243243246,0.7514478764478766
20,30,log2,10,2,20,0.7096774193548387,0.5423728813559322,0.7272727272727273,0.43243243243243246,0.7514478764478766
30,20,log2,2,1,30,0.7096774193548387,0.5423728813559322,0.7272727272727273,0.43243243243243246,0.737934362934363
30,30,log2,2,1,30,0.7096774193548387,0.5423728813559322,0.7272727272727273,0.43243243243243246,0.737934362934363
20,20,sqrt,2,1,20,0.6881720430107527,0.5396825396825397,0.6538461538461539,0.4594594594594595,0.7456563706563706
20,10,sqrt,2,1,20,0.6881720430107527,0.5396825396825397,0.6538461538461539,0.4594594594594595,0.7446911196911197
30,20,sqrt,2,2,30,0.6881720430107527,0.5396825396825397,0.6538461538461539,0.4594594594594595,0.7388996138996139
30,30,sqrt,2,2,30,0.6881720430107527,0.5396825396825397,0.6538461538461539,0.4594594594594595,0.7388996138996139
30,30,log2,2,2,30,0.6881720430107527,0.5396825396825397,0.6538461538461539,0.4594594594594595,0.7388996138996139
20,30,sqrt,2,1,20,0.6881720430107527,0.5396825396825397,0.6538461538461539,0.4594594594594595,0.7456563706563706
20,30,log2,2,1,20,0.6881720430107527,0.5396825396825397,0.6538461538461539,0.4594594594594595,0.7456563706563706
30,10,sqrt,2,1,20,0.6881720430107527,0.5396825396825397,0.6538461538461539,0.4594594594594595,0.7495173745173745
20,10,sqrt,2,1,30,0.6881720430107527,0.5396825396825397,0.6538461538461539,0.4594594594594595,0.7369691119691121
20,10,log2,2,1,30,0.6881720430107527,0.5396825396825397,0.6538461538461539,0.4594594594594595,0.7369691119691121
20,10,log2,2,1,20,0.6881720430107527,0.5396825396825397,0.6538461538461539,0.4594594594594595,0.7446911196911197
30,20,log2,2,2,30,0.6881720430107527,0.5396825396825397,0.6538461538461539,0.4594594594594595,0.7388996138996139
20,20,log2,2,1,20,0.6881720430107527,0.5396825396825397,0.6538461538461539,0.4594594594594595,0.7456563706563706
30,10,log2,2,1,20,0.6881720430107527,0.5396825396825397,0.6538461538461539,0.4594594594594595,0.7495173745173745
30,20,log2,5,2,30,0.6989247311827957,0.5333333333333333,0.6956521739130435,0.43243243243243246,0.75
20,20,log2,10,2,30,0.6989247311827957,0.5333333333333333,0.6956521739130435,0.43243243243243246,0.7282818532818532
20,30,log2,10,2,30,0.6989247311827957,0.5333333333333333,0.6956521739130435,0.43243243243243246,0.7282818532818532
20,30,sqrt,10,2,30,0.6989247311827957,0.5333333333333333,0.6956521739130435,0.43243243243243246,0.7282818532818532
30,30,log2,5,2,30,0.6989247311827957,0.5333333333333333,0.6956521739130435,0.43243243243243246,0.75
20,20,sqrt,10,2,30,0.6989247311827957,0.5333333333333333,0.6956521739130435,0.43243243243243246,0.7282818532818532
20,10,log2,10,1,30,0.6989247311827957,0.5333333333333333,0.6956521739130435,0.43243243243243246,0.7171814671814672
30,30,sqrt,5,2,30,0.6989247311827957,0.5333333333333333,0.6956521739130435,0.43243243243243246,0.75
30,20,sqrt,5,2,30,0.6989247311827957,0.5333333333333333,0.6956521739130435,0.43243243243243246,0.75
20,10,sqrt,10,1,30,0.6989247311827957,0.5333333333333333,0.6956521739130435,0.43243243243243246,0.7171814671814672
30,10,log2,2,2,30,0.6774193548387096,0.53125,0.6296296296296297,0.4594594594594595,0.7451737451737452
30,10,sqrt,2,2,30,0.6774193548387096,0.53125,0.6296296296296297,0.4594594594594595,0.7451737451737452
10,20,log2,2,1,20,0.7096774193548387,0.5263157894736842,0.75,0.40540540540540543,0.7360038610038611
10,20,sqrt,2,1,20,0.7096774193548387,0.5263157894736842,0.75,0.40540540540540543,0.7360038610038611
