n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,max_leaf_nodes,accuracy,f1_score,precision,recall,auc_roc
20,20,sqrt,5,4,20,0.8809523809523809,0.8571428571428571,0.75,1.0,0.9851851851851853
20,30,log2,5,2,20,0.8809523809523809,0.8571428571428571,0.75,1.0,0.980246913580247
20,10,log2,5,2,20,0.8809523809523809,0.8571428571428571,0.75,1.0,0.980246913580247
20,30,sqrt,2,4,30,0.8809523809523809,0.8571428571428571,0.75,1.0,0.9851851851851853
20,30,log2,2,2,20,0.8809523809523809,0.8571428571428571,0.75,1.0,0.9753086419753086
20,20,log2,2,2,20,0.8809523809523809,0.8571428571428571,0.75,1.0,0.9753086419753086
20,10,log2,2,2,20,0.8809523809523809,0.8571428571428571,0.75,1.0,0.9753086419753086
30,10,log2,5,2,30,0.8809523809523809,0.8571428571428571,0.75,1.0,0.980246913580247
20,30,log2,5,2,30,0.8809523809523809,0.8571428571428571,0.75,1.0,0.9777777777777777
20,20,log2,5,2,30,0.8809523809523809,0.8571428571428571,0.75,1.0,0.9777777777777777
20,10,log2,5,2,30,0.8809523809523809,0.8571428571428571,0.75,1.0,0.9777777777777777
20,10,sqrt,5,4,20,0.8809523809523809,0.8571428571428571,0.75,1.0,0.9851851851851853
20,10,log2,2,2,30,0.8809523809523809,0.8571428571428571,0.75,1.0,0.9753086419753086
20,20,log2,2,2,30,0.8809523809523809,0.8571428571428571,0.75,1.0,0.9753086419753086
20,30,log2,2,2,30,0.8809523809523809,0.8571428571428571,0.75,1.0,0.9753086419753086
20,30,sqrt,5,4,30,0.8809523809523809,0.8571428571428571,0.75,1.0,0.9851851851851853
20,20,sqrt,5,4,30,0.8809523809523809,0.8571428571428571,0.75,1.0,0.9851851851851853
20,20,log2,5,2,20,0.8809523809523809,0.8571428571428571,0.75,1.0,0.980246913580247
30,20,log2,5,2,30,0.8809523809523809,0.8571428571428571,0.75,1.0,0.980246913580247
30,10,log2,5,2,20,0.8809523809523809,0.8571428571428571,0.75,1.0,0.980246913580247
30,20,log2,5,2,20,0.8809523809523809,0.8571428571428571,0.75,1.0,0.980246913580247
20,30,sqrt,5,4,20,0.8809523809523809,0.8571428571428571,0.75,1.0,0.9851851851851853
20,30,sqrt,2,4,20,0.8809523809523809,0.8571428571428571,0.75,1.0,0.9851851851851853
20,20,sqrt,2,4,20,0.8809523809523809,0.8571428571428571,0.75,1.0,0.9851851851851853
20,10,sqrt,2,4,20,0.8809523809523809,0.8571428571428571,0.75,1.0,0.9851851851851853
30,30,log2,5,2,30,0.8809523809523809,0.8571428571428571,0.75,1.0,0.980246913580247
20,10,sqrt,2,4,30,0.8809523809523809,0.8571428571428571,0.75,1.0,0.9851851851851853
20,10,sqrt,5,4,30,0.8809523809523809,0.8571428571428571,0.75,1.0,0.9851851851851853
30,30,log2,5,2,20,0.8809523809523809,0.8571428571428571,0.75,1.0,0.980246913580247
20,20,sqrt,2,4,30,0.8809523809523809,0.8571428571428571,0.75,1.0,0.9851851851851853
20,10,log2,2,1,10,0.8809523809523809,0.8484848484848485,0.7777777777777778,0.9333333333333333,0.9407407407407408
20,30,log2,2,1,10,0.8809523809523809,0.8484848484848485,0.7777777777777778,0.9333333333333333,0.9407407407407408
20,10,log2,2,1,30,0.8809523809523809,0.8484848484848485,0.7777777777777778,0.9333333333333333,0.9691358024691359
20,30,log2,2,1,30,0.8809523809523809,0.8484848484848485,0.7777777777777778,0.9333333333333333,0.9691358024691359
20,20,log2,2,1,30,0.8809523809523809,0.8484848484848485,0.7777777777777778,0.9333333333333333,0.9691358024691359
20,20,log2,2,1,10,0.8809523809523809,0.8484848484848485,0.7777777777777778,0.9333333333333333,0.9407407407407408
10,10,sqrt,2,1,20,0.8809523809523809,0.8387096774193549,0.8125,0.8666666666666667,0.9259259259259259
10,20,sqrt,2,1,20,0.8809523809523809,0.8387096774193549,0.8125,0.8666666666666667,0.9259259259259259
10,10,sqrt,2,1,30,0.8809523809523809,0.8387096774193549,0.8125,0.8666666666666667,0.928395061728395
