n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,max_leaf_nodes,accuracy,f1_score,precision,recall,auc_roc
30,20,log2,2,2,20,0.8714285714285714,0.9158878504672897,0.8596491228070176,0.98,0.91
10,20,sqrt,5,2,30,0.8714285714285714,0.9158878504672897,0.8596491228070176,0.98,0.888
30,30,log2,5,2,30,0.8714285714285714,0.9158878504672897,0.8596491228070176,0.98,0.901
30,20,log2,5,2,30,0.8714285714285714,0.9158878504672897,0.8596491228070176,0.98,0.901
30,10,log2,5,2,30,0.8714285714285714,0.9158878504672897,0.8596491228070176,0.98,0.897
30,30,sqrt,5,2,20,0.8714285714285714,0.9158878504672897,0.8596491228070176,0.98,0.91
30,30,sqrt,5,2,30,0.8714285714285714,0.9158878504672897,0.8596491228070176,0.98,0.9119999999999999
30,30,log2,2,2,20,0.8714285714285714,0.9158878504672897,0.8596491228070176,0.98,0.91
30,10,sqrt,2,2,30,0.8714285714285714,0.9158878504672897,0.8596491228070176,0.98,0.897
30,20,sqrt,5,2,30,0.8714285714285714,0.9158878504672897,0.8596491228070176,0.98,0.9119999999999999
30,20,sqrt,5,2,20,0.8714285714285714,0.9158878504672897,0.8596491228070176,0.98,0.91
10,30,sqrt,5,2,30,0.8714285714285714,0.9158878504672897,0.8596491228070176,0.98,0.888
30,10,sqrt,5,2,30,0.8714285714285714,0.9158878504672897,0.8596491228070176,0.98,0.911
10,10,sqrt,5,2,30,0.8714285714285714,0.9158878504672897,0.8596491228070176,0.98,0.888
30,20,sqrt,2,2,30,0.8714285714285714,0.9158878504672897,0.8596491228070176,0.98,0.8985
30,10,log2,2,2,20,0.8714285714285714,0.9158878504672897,0.8596491228070176,0.98,0.907
30,30,sqrt,2,2,30,0.8714285714285714,0.9158878504672897,0.8596491228070176,0.98,0.8985
30,10,sqrt,2,2,20,0.8714285714285714,0.9158878504672897,0.8596491228070176,0.98,0.894
30,30,log2,2,2,30,0.8714285714285714,0.9158878504672897,0.8596491228070176,0.98,0.9109999999999999
30,10,sqrt,5,2,20,0.8714285714285714,0.9158878504672897,0.8596491228070176,0.98,0.909
30,10,log2,2,2,30,0.8714285714285714,0.9158878504672897,0.8596491228070176,0.98,0.9129999999999999
30,20,log2,2,2,30,0.8714285714285714,0.9158878504672897,0.8596491228070176,0.98,0.9109999999999999
30,10,log2,2,1,30,0.8714285714285714,0.912621359223301,0.8867924528301887,0.94,0.9195
10,30,sqrt,10,2,20,0.8571428571428571,0.9090909090909091,0.8333333333333334,1.0,0.8719999999999999
10,20,sqrt,10,2,30,0.8571428571428571,0.9090909090909091,0.8333333333333334,1.0,0.8719999999999999
10,20,sqrt,10,2,20,0.8571428571428571,0.9090909090909091,0.8333333333333334,1.0,0.8719999999999999
10,10,sqrt,10,2,20,0.8571428571428571,0.9090909090909091,0.8333333333333334,1.0,0.8719999999999999
10,10,sqrt,10,2,30,0.8571428571428571,0.9090909090909091,0.8333333333333334,1.0,0.8719999999999999
10,30,sqrt,10,2,30,0.8571428571428571,0.9090909090909091,0.8333333333333334,1.0,0.8719999999999999
30,10,log2,5,2,20,0.8571428571428571,0.9074074074074074,0.8448275862068966,0.98,0.907
30,20,log2,5,2,20,0.8571428571428571,0.9074074074074074,0.8448275862068966,0.98,0.908
10,20,sqrt,2,2,30,0.8571428571428571,0.9074074074074074,0.8448275862068966,0.98,0.8434999999999999
10,10,sqrt,2,2,30,0.8571428571428571,0.9074074074074074,0.8448275862068966,0.98,0.8434999999999999
10,30,sqrt,2,2,30,0.8571428571428571,0.9074074074074074,0.8448275862068966,0.98,0.8434999999999999
30,20,sqrt,2,2,20,0.8571428571428571,0.9074074074074074,0.8448275862068966,0.98,0.899
30,30,sqrt,2,2,20,0.8571428571428571,0.9074074074074074,0.8448275862068966,0.98,0.899
30,30,log2,5,2,20,0.8571428571428571,0.9074074074074074,0.8448275862068966,0.98,0.908
30,30,log2,10,1,30,0.8571428571428571,0.9056603773584906,0.8571428571428571,0.96,0.8889999999999999
30,30,sqrt,5,1,30,0.8571428571428571,0.9056603773584906,0.8571428571428571,0.96,0.901
30,20,log2,10,1,30,0.8571428571428571,0.9056603773584906,0.8571428571428571,0.96,0.8889999999999999
30,10,log2,10,1,30,0.8571428571428571,0.9056603773584906,0.8571428571428571,0.96,0.886
20,10,sqrt,2,2,30,0.8571428571428571,0.9056603773584906,0.8571428571428571,0.96,0.854
20,20,sqrt,2,2,30,0.8571428571428571,0.9056603773584906,0.8571428571428571,0.96,0.854
20,30,sqrt,2,2,30,0.8571428571428571,0.9056603773584906,0.8571428571428571,0.96,0.854
20,30,log2,2,2,30,0.8571428571428571,0.9056603773584906,0.8571428571428571,0.96,0.9125000000000001
30,20,sqrt,5,1,30,0.8571428571428571,0.9056603773584906,0.8571428571428571,0.96,0.901
20,20,log2,2,2,30,0.8571428571428571,0.9056603773584906,0.8571428571428571,0.96,0.9125000000000001
30,20,sqrt,2,1,30,0.8571428571428571,0.9056603773584906,0.8571428571428571,0.96,0.908
30,30,log2,10,1,20,0.8571428571428571,0.9056603773584906,0.8571428571428571,0.96,0.889
30,20,log2,10,1,20,0.8571428571428571,0.9056603773584906,0.8571428571428571,0.96,0.889
30,10,log2,10,1,20,0.8571428571428571,0.9056603773584906,0.8571428571428571,0.96,0.888
20,30,sqrt,5,1,20,0.8571428571428571,0.9056603773584906,0.8571428571428571,0.96,0.8949999999999999
20,20,sqrt,5,1,20,0.8571428571428571,0.9056603773584906,0.8571428571428571,0.96,0.8949999999999999
20,10,sqrt,5,1,20,0.8571428571428571,0.9056603773584906,0.8571428571428571,0.96,0.8949999999999999
20,10,sqrt,2,1,30,0.8571428571428571,0.9056603773584906,0.8571428571428571,0.96,0.8865
30,10,sqrt,5,1,30,0.8571428571428571,0.9056603773584906,0.8571428571428571,0.96,0.902
20,20,sqrt,2,1,30,0.8571428571428571,0.9056603773584906,0.8571428571428571,0.96,0.8875
20,30,sqrt,2,1,30,0.8571428571428571,0.9056603773584906,0.8571428571428571,0.96,0.8875
30,10,sqrt,2,1,30,0.8571428571428571,0.9056603773584906,0.8571428571428571,0.96,0.9085
20,10,log2,2,2,30,0.8571428571428571,0.9056603773584906,0.8571428571428571,0.96,0.9135000000000001
30,30,sqrt,2,1,30,0.8571428571428571,0.9056603773584906,0.8571428571428571,0.96,0.908
20,10,sqrt,5,1,30,0.8571428571428571,0.9056603773584906,0.8571428571428571,0.96,0.895
30,10,log2,2,1,20,0.8571428571428571,0.9038461538461539,0.8703703703703703,0.94,0.91
20,10,log2,2,1,30,0.8571428571428571,0.9019607843137255,0.8846153846153846,0.92,0.8935
20,20,log2,2,1,30,0.8571428571428571,0.9,0.9,0.9,0.896
20,30,log2,2,1,30,0.8571428571428571,0.9,0.9,0.9,0.896
20,30,sqrt,5,2,30,0.8428571428571429,0.8990825688073395,0.8305084745762712,0.98,0.891
20,20,sqrt,5,2,30,0.8428571428571429,0.8990825688073395,0.8305084745762712,0.98,0.891
20,30,sqrt,10,2,20,0.8428571428571429,0.8990825688073395,0.8305084745762712,0.98,0.901
20,20,sqrt,10,2,30,0.8428571428571429,0.8990825688073395,0.8305084745762712,0.98,0.901
20,20,sqrt,10,2,20,0.8428571428571429,0.8990825688073395,0.8305084745762712,0.98,0.901
20,10,sqrt,10,2,20,0.8428571428571429,0.8990825688073395,0.8305084745762712,0.98,0.901
20,30,sqrt,10,2,30,0.8428571428571429,0.8990825688073395,0.8305084745762712,0.98,0.901
30,30,sqrt,10,1,20,0.8428571428571429,0.8990825688073395,0.8305084745762712,0.98,0.881
30,20,sqrt,10,1,20,0.8428571428571429,0.8990825688073395,0.8305084745762712,0.98,0.881
20,10,sqrt,5,2,30,0.8428571428571429,0.8990825688073395,0.8305084745762712,0.98,0.891
30,10,sqrt,10,1,20,0.8428571428571429,0.8990825688073395,0.8305084745762712,0.98,0.881
20,10,sqrt,10,2,30,0.8428571428571429,0.8990825688073395,0.8305084745762712,0.98,0.9009999999999999
20,10,log2,2,2,20,0.8428571428571429,0.897196261682243,0.8421052631578947,0.96,0.91
20,20,sqrt,2,2,20,0.8428571428571429,0.897196261682243,0.8421052631578947,0.96,0.8560000000000001
20,30,sqrt,2,2,20,0.8428571428571429,0.897196261682243,0.8421052631578947,0.96,0.8560000000000001
30,20,sqrt,2,1,20,0.8428571428571429,0.897196261682243,0.8421052631578947,0.96,0.9
10,10,log2,2,2,30,0.8428571428571429,0.897196261682243,0.8421052631578947,0.96,0.8789999999999999
20,10,sqrt,2,2,20,0.8428571428571429,0.897196261682243,0.8421052631578947,0.96,0.8560000000000001
30,30,sqrt,2,1,20,0.8428571428571429,0.897196261682243,0.8421052631578947,0.96,0.9
10,30,sqrt,5,1,30,0.8428571428571429,0.897196261682243,0.8421052631578947,0.96,0.8594999999999999
30,10,sqrt,2,1,20,0.8428571428571429,0.897196261682243,0.8421052631578947,0.96,0.9
30,20,sqrt,5,1,20,0.8428571428571429,0.897196261682243,0.8421052631578947,0.96,0.9069999999999999
30,10,sqrt,5,1,20,0.8428571428571429,0.897196261682243,0.8421052631578947,0.96,0.9079999999999999
10,20,sqrt,5,1,30,0.8428571428571429,0.897196261682243,0.8421052631578947,0.96,0.8594999999999999
30,30,sqrt,5,1,20,0.8428571428571429,0.897196261682243,0.8421052631578947,0.96,0.9069999999999999
10,10,sqrt,5,1,30,0.8428571428571429,0.897196261682243,0.8421052631578947,0.96,0.8594999999999999
30,30,log2,2,1,20,0.8428571428571429,0.8952380952380953,0.8545454545454545,0.94,0.9109999999999999
30,20,log2,2,1,20,0.8428571428571429,0.8952380952380953,0.8545454545454545,0.94,0.9109999999999999
10,10,log2,2,1,30,0.8428571428571429,0.8932038834951457,0.8679245283018868,0.92,0.8595
10,30,sqrt,10,2,10,0.8285714285714286,0.8928571428571429,0.8064516129032258,1.0,0.867
10,10,sqrt,10,2,10,0.8285714285714286,0.8928571428571429,0.8064516129032258,1.0,0.867
10,30,sqrt,10,1,10,0.8285714285714286,0.8928571428571429,0.8064516129032258,1.0,0.863
10,20,sqrt,10,1,10,0.8285714285714286,0.8928571428571429,0.8064516129032258,1.0,0.863
10,10,sqrt,10,1,10,0.8285714285714286,0.8928571428571429,0.8064516129032258,1.0,0.863
10,20,sqrt,10,2,10,0.8285714285714286,0.8928571428571429,0.8064516129032258,1.0,0.867
30,20,log2,2,1,30,0.8428571428571429,0.8910891089108911,0.8823529411764706,0.9,0.9195
30,30,log2,2,1,30,0.8428571428571429,0.8910891089108911,0.8823529411764706,0.9,0.9195
20,10,sqrt,2,4,20,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.857
20,10,sqrt,5,4,30,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.857
30,30,sqrt,2,4,20,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.877
20,10,sqrt,2,4,30,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.857
30,20,sqrt,2,4,20,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.877
30,10,sqrt,2,4,20,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.877
20,30,sqrt,2,4,20,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.857
20,20,sqrt,2,4,30,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.857
20,20,sqrt,2,4,20,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.857
20,30,sqrt,2,4,30,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.857
30,10,sqrt,2,4,30,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.879
30,10,log2,10,4,10,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.878
30,20,log2,10,4,10,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.878
30,30,log2,10,4,10,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.878
10,30,sqrt,2,2,20,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.855
30,30,sqrt,2,4,30,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.879
20,20,sqrt,5,4,30,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.857
20,10,sqrt,5,4,20,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.857
20,30,sqrt,5,4,30,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.857
30,10,sqrt,5,4,30,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.879
10,20,sqrt,2,2,20,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.855
10,10,sqrt,2,2,20,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.855
20,10,log2,10,2,20,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.874
30,30,sqrt,5,4,30,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.879
20,20,sqrt,5,4,20,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.857
20,30,sqrt,5,2,20,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.897
20,20,sqrt,5,2,20,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.897
20,10,sqrt,5,2,20,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.897
10,10,sqrt,10,1,20,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.869
20,10,sqrt,10,1,20,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.89
20,20,sqrt,10,1,20,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.89
20,30,sqrt,10,1,20,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.89
30,20,sqrt,5,4,30,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.879
30,20,sqrt,2,4,30,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.879
30,20,sqrt,5,4,20,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.877
20,20,sqrt,10,1,30,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.888
20,30,sqrt,10,1,30,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.888
20,30,sqrt,5,4,20,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.857
30,10,sqrt,5,4,20,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.877
20,10,log2,10,2,30,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.872
30,30,sqrt,5,4,20,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.877
20,10,sqrt,10,1,30,0.8285714285714286,0.8909090909090909,0.8166666666666667,0.98,0.888
10,10,log2,2,2,20,0.8285714285714286,0.8888888888888888,0.8275862068965517,0.96,0.882
10,30,log2,2,2,30,0.8285714285714286,0.8888888888888888,0.8275862068965517,0.96,0.8785
