hidden_dim,num_blocks,dropout,lr,batch_size,epochs,accuracy,f1_score,precision,recall,auc_roc
32.0,3.0,0.0,0.0005,8.0,10.0,0.9,0.8967032967032967,0.9142857142857143,0.9,0.9166666666666666
64.0,3.0,0.1,0.0005,8.0,50.0,0.8,0.8,0.8666666666666666,0.8,0.8333333333333333
128.0,5.0,0.2,0.0005,8.0,50.0,0.8,0.8,0.8666666666666666,0.8,0.75
32.0,3.0,0.2,0.01,16.0,10.0,0.8,0.8,0.8666666666666666,0.8,0.75
32.0,5.0,0.1,0.001,8.0,50.0,0.8,0.8,0.8666666666666666,0.8,0.6666666666666666
64.0,1.0,0.2,0.0005,8.0,25.0,0.8,0.8,0.8666666666666666,0.8,0.75
64.0,1.0,0.1,0.001,16.0,10.0,0.8,0.7809523809523808,0.85,0.8,0.8333333333333333
64.0,5.0,0.1,0.0005,32.0,25.0,0.8,0.7809523809523808,0.85,0.8,0.625
128.0,5.0,0.1,0.0005,8.0,10.0,0.8,0.7809523809523808,0.85,0.8,0.75
64.0,3.0,0.2,0.0005,16.0,25.0,0.8,0.7809523809523808,0.85,0.8,0.8333333333333333
128.0,3.0,0.2,0.01,32.0,10.0,0.8,0.7809523809523808,0.85,0.8,0.5
64.0,3.0,0.1,0.001,16.0,10.0,0.8,0.7809523809523808,0.85,0.8,0.5833333333333334
64.0,1.0,0.1,0.001,8.0,10.0,0.8,0.7809523809523808,0.85,0.8,0.5
64.0,1.0,0.0,0.001,8.0,10.0,0.8,0.7809523809523808,0.85,0.8,0.5833333333333334
32.0,5.0,0.1,0.0005,8.0,10.0,0.8,0.7809523809523808,0.85,0.8,0.5833333333333334
128.0,5.0,0.1,0.0005,32.0,25.0,0.8,0.7809523809523808,0.85,0.8,0.7083333333333333
64.0,3.0,0.2,0.01,32.0,25.0,0.8,0.7809523809523808,0.85,0.8,0.5
32.0,3.0,0.0,0.01,8.0,10.0,0.8,0.7809523809523808,0.85,0.8,0.5
64.0,1.0,0.2,0.001,16.0,10.0,0.7,0.7030303030303029,0.7200000000000001,0.7,0.5
64.0,3.0,0.0,0.001,8.0,50.0,0.7,0.7030303030303029,0.7200000000000001,0.7,0.625
128.0,1.0,0.1,0.0005,8.0,25.0,0.7,0.7030303030303029,0.7200000000000001,0.7,0.7916666666666666
128.0,1.0,0.0,0.001,16.0,25.0,0.7,0.7030303030303029,0.7200000000000001,0.7,0.75
32.0,3.0,0.2,0.001,16.0,25.0,0.7,0.7030303030303029,0.7200000000000001,0.7,0.75
128.0,3.0,0.0,0.001,16.0,10.0,0.7,0.7030303030303029,0.7200000000000001,0.7,0.75
64.0,5.0,0.0,0.01,32.0,10.0,0.7,0.7030303030303029,0.7200000000000001,0.7,0.5833333333333333
64.0,1.0,0.0,0.001,16.0,50.0,0.7,0.7030303030303029,0.7200000000000001,0.7,0.6666666666666666
128.0,1.0,0.1,0.0005,16.0,50.0,0.7,0.7030303030303029,0.7200000000000001,0.7,0.7083333333333334
32.0,1.0,0.2,0.0005,16.0,50.0,0.7,0.7030303030303029,0.7200000000000001,0.7,0.75
32.0,3.0,0.0,0.001,16.0,50.0,0.7,0.7030303030303029,0.7200000000000001,0.7,0.6666666666666666
128.0,5.0,0.2,0.001,8.0,25.0,0.7,0.6909090909090909,0.8285714285714285,0.7,0.8333333333333333
32.0,1.0,0.1,0.001,8.0,50.0,0.7,0.6909090909090909,0.8285714285714285,0.7,0.75
64.0,5.0,0.1,0.01,8.0,10.0,0.7,0.6901098901098901,0.6952380952380952,0.7,0.6666666666666666
128.0,5.0,0.1,0.0005,8.0,50.0,0.7,0.6901098901098901,0.6952380952380952,0.7,0.625
32.0,1.0,0.0,0.0005,32.0,25.0,0.7,0.64,0.8,0.7,0.7916666666666666
128.0,3.0,0.2,0.01,8.0,50.0,0.7,0.64,0.8,0.7,0.5
128.0,5.0,0.1,0.01,8.0,50.0,0.7,0.64,0.8,0.7,0.25
64.0,3.0,0.1,0.01,8.0,50.0,0.7,0.64,0.8,0.7,0.5
32.0,3.0,0.1,0.01,16.0,50.0,0.7,0.64,0.8,0.7,0.41666666666666663
32.0,1.0,0.2,0.0005,16.0,10.0,0.7,0.64,0.8,0.7,0.5
64.0,1.0,0.1,0.01,16.0,50.0,0.7,0.64,0.8,0.7,0.5416666666666666
64.0,3.0,0.2,0.01,16.0,25.0,0.7,0.64,0.8,0.7,0.25
128.0,3.0,0.0,0.01,8.0,10.0,0.7,0.64,0.8,0.7,0.5
64.0,3.0,0.0,0.0005,32.0,25.0,0.7,0.64,0.8,0.7,0.75
64.0,3.0,0.1,0.0005,16.0,10.0,0.7,0.64,0.8,0.7,0.5833333333333333
32.0,1.0,0.2,0.01,16.0,10.0,0.7,0.64,0.8,0.7,0.25
128.0,1.0,0.0,0.001,16.0,10.0,0.7,0.64,0.8,0.7,0.3333333333333333
32.0,3.0,0.2,0.0005,32.0,10.0,0.7,0.64,0.8,0.7,0.6666666666666666
128.0,5.0,0.1,0.0005,32.0,10.0,0.7,0.64,0.8,0.7,0.7916666666666666
64.0,1.0,0.2,0.01,32.0,10.0,0.7,0.64,0.8,0.7,0.5
32.0,5.0,0.0,0.001,32.0,25.0,0.7,0.64,0.8,0.7,0.5
64.0,3.0,0.1,0.0005,8.0,10.0,0.7,0.64,0.8,0.7,0.5
128.0,1.0,0.1,0.001,32.0,10.0,0.7,0.64,0.8,0.7,0.5416666666666667
32.0,3.0,0.0,0.01,32.0,10.0,0.7,0.64,0.8,0.7,0.5416666666666666
32.0,5.0,0.0,0.01,32.0,10.0,0.7,0.64,0.8,0.7,0.8333333333333333
32.0,1.0,0.1,0.01,32.0,10.0,0.7,0.64,0.8,0.7,0.5
32.0,5.0,0.1,0.01,32.0,50.0,0.7,0.64,0.8,0.7,0.5
32.0,5.0,0.1,0.0005,32.0,10.0,0.7,0.64,0.8,0.7,0.6666666666666666
32.0,3.0,0.1,0.0005,32.0,10.0,0.7,0.64,0.8,0.7,0.5833333333333334
128.0,3.0,0.0,0.001,8.0,10.0,0.7,0.64,0.8,0.7,0.5
64.0,5.0,0.0,0.001,8.0,50.0,0.7,0.64,0.8,0.7,0.7916666666666666
