hidden_dim,num_blocks,dropout,lr,batch_size,epochs,accuracy,f1_score,precision,recall,auc_roc
128.0,5.0,0.2,0.0005,32.0,50.0,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.6875
64.0,3.0,0.0,0.0005,32.0,50.0,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.75
32.0,1.0,0.0,0.0005,8.0,10.0,0.8947368421052632,0.871517027863777,0.9064327485380117,0.8947368421052632,0.625
64.0,5.0,0.1,0.001,8.0,50.0,0.8947368421052632,0.871517027863777,0.9064327485380117,0.8947368421052632,0.6458333333333333
32.0,5.0,0.0,0.001,16.0,25.0,0.8947368421052632,0.871517027863777,0.9064327485380117,0.8947368421052632,0.7708333333333333
64.0,1.0,0.1,0.001,8.0,50.0,0.8947368421052632,0.871517027863777,0.9064327485380117,0.8947368421052632,0.6875
64.0,3.0,0.0,0.001,16.0,25.0,0.8947368421052632,0.871517027863777,0.9064327485380117,0.8947368421052632,0.7916666666666666
32.0,5.0,0.1,0.001,16.0,50.0,0.8947368421052632,0.871517027863777,0.9064327485380117,0.8947368421052632,0.6041666666666666
64.0,3.0,0.1,0.001,16.0,50.0,0.8947368421052632,0.871517027863777,0.9064327485380117,0.8947368421052632,0.41666666666666663
128.0,1.0,0.1,0.001,32.0,10.0,0.8947368421052632,0.871517027863777,0.9064327485380117,0.8947368421052632,0.7916666666666666
64.0,5.0,0.0,0.001,16.0,25.0,0.8947368421052632,0.871517027863777,0.9064327485380117,0.8947368421052632,0.7291666666666666
64.0,1.0,0.1,0.001,32.0,10.0,0.8947368421052632,0.871517027863777,0.9064327485380117,0.8947368421052632,0.5
32.0,5.0,0.1,0.001,8.0,50.0,0.8947368421052632,0.871517027863777,0.9064327485380117,0.8947368421052632,0.7708333333333333
32.0,1.0,0.2,0.001,16.0,50.0,0.8947368421052632,0.871517027863777,0.9064327485380117,0.8947368421052632,0.6458333333333333
32.0,3.0,0.2,0.001,16.0,50.0,0.8947368421052632,0.871517027863777,0.9064327485380117,0.8947368421052632,0.5625
32.0,1.0,0.1,0.001,8.0,50.0,0.8947368421052632,0.871517027863777,0.9064327485380117,0.8947368421052632,0.75
64.0,3.0,0.2,0.001,16.0,50.0,0.8947368421052632,0.871517027863777,0.9064327485380117,0.8947368421052632,0.8333333333333333
64.0,3.0,0.1,0.001,8.0,50.0,0.8947368421052632,0.871517027863777,0.9064327485380117,0.8947368421052632,0.5833333333333333
64.0,3.0,0.0,0.001,16.0,50.0,0.8947368421052632,0.871517027863777,0.9064327485380117,0.8947368421052632,0.3958333333333333
32.0,1.0,0.0,0.001,32.0,10.0,0.8947368421052632,0.871517027863777,0.9064327485380117,0.8947368421052632,0.4375
128.0,5.0,0.2,0.0005,16.0,25.0,0.8947368421052632,0.871517027863777,0.9064327485380117,0.8947368421052632,0.6875
32.0,5.0,0.0,0.001,16.0,50.0,0.8947368421052632,0.871517027863777,0.9064327485380117,0.8947368421052632,0.41666666666666663
32.0,1.0,0.0,0.001,16.0,50.0,0.8947368421052632,0.871517027863777,0.9064327485380117,0.8947368421052632,0.47916666666666663
128.0,3.0,0.2,0.0005,16.0,25.0,0.8947368421052632,0.871517027863777,0.9064327485380117,0.8947368421052632,0.6875
128.0,3.0,0.2,0.0005,16.0,50.0,0.8947368421052632,0.871517027863777,0.9064327485380117,0.8947368421052632,0.5833333333333334
64.0,5.0,0.2,0.0005,16.0,50.0,0.8947368421052632,0.871517027863777,0.9064327485380117,0.8947368421052632,0.7291666666666666
