hidden_dim,num_blocks,dropout,lr,batch_size,epochs,accuracy,f1_score,precision,recall,auc_roc
64.0,1.0,0.0,0.0005,16.0,10.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8
32.0,1.0,0.2,0.001,8.0,10.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8
64.0,1.0,0.1,0.001,32.0,10.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.85
32.0,1.0,0.1,0.0005,8.0,10.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.85
32.0,5.0,0.2,0.0005,16.0,10.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8
64.0,5.0,0.1,0.0005,16.0,10.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7
64.0,1.0,0.0,0.001,32.0,10.0,0.7777777777777778,0.7722222222222223,0.8518518518518517,0.7777777777777778,0.8
64.0,3.0,0.1,0.001,16.0,25.0,0.7777777777777778,0.7592592592592593,0.8412698412698413,0.7777777777777778,0.6499999999999999
32.0,5.0,0.2,0.001,32.0,50.0,0.7777777777777778,0.7592592592592593,0.8412698412698413,0.7777777777777778,0.6000000000000001
64.0,1.0,0.1,0.001,32.0,50.0,0.7777777777777778,0.7592592592592593,0.8412698412698413,0.7777777777777778,0.7000000000000001
32.0,5.0,0.0,0.01,8.0,10.0,0.7777777777777778,0.7592592592592593,0.8412698412698413,0.7777777777777778,0.8
128.0,5.0,0.2,0.0005,32.0,50.0,0.7777777777777778,0.7592592592592593,0.8412698412698413,0.7777777777777778,0.6000000000000001
64.0,3.0,0.2,0.0005,32.0,50.0,0.7777777777777778,0.7592592592592593,0.8412698412698413,0.7777777777777778,0.6000000000000001
32.0,5.0,0.2,0.001,16.0,50.0,0.7777777777777778,0.7592592592592593,0.8412698412698413,0.7777777777777778,0.6499999999999999
32.0,5.0,0.0,0.001,8.0,10.0,0.7777777777777778,0.7592592592592593,0.8412698412698413,0.7777777777777778,0.7000000000000001
32.0,3.0,0.1,0.0005,16.0,50.0,0.7777777777777778,0.7592592592592593,0.8412698412698413,0.7777777777777778,0.85
32.0,3.0,0.2,0.001,32.0,25.0,0.7777777777777778,0.7592592592592593,0.8412698412698413,0.7777777777777778,0.9
64.0,1.0,0.0,0.0005,32.0,25.0,0.7777777777777778,0.7592592592592593,0.8412698412698413,0.7777777777777778,0.75
128.0,5.0,0.1,0.0005,16.0,25.0,0.7777777777777778,0.7592592592592593,0.8412698412698413,0.7777777777777778,0.5
64.0,5.0,0.2,0.0005,16.0,25.0,0.7777777777777778,0.7592592592592593,0.8412698412698413,0.7777777777777778,0.6499999999999999
32.0,3.0,0.1,0.001,8.0,10.0,0.7777777777777778,0.7592592592592593,0.8412698412698413,0.7777777777777778,0.6000000000000001
32.0,1.0,0.0,0.001,32.0,10.0,0.7777777777777778,0.7592592592592593,0.8412698412698413,0.7777777777777778,0.9
64.0,3.0,0.0,0.001,32.0,10.0,0.6666666666666666,0.6666666666666666,0.6833333333333333,0.6666666666666666,0.65
64.0,3.0,0.2,0.01,32.0,10.0,0.6666666666666666,0.6666666666666666,0.6833333333333333,0.6666666666666666,0.65
32.0,3.0,0.1,0.01,16.0,10.0,0.6666666666666666,0.658008658008658,0.6666666666666666,0.6666666666666666,0.5
32.0,3.0,0.2,0.01,8.0,25.0,0.6666666666666666,0.658008658008658,0.6666666666666666,0.6666666666666666,0.7
64.0,5.0,0.1,0.01,16.0,25.0,0.6666666666666666,0.658008658008658,0.6666666666666666,0.6666666666666666,0.5
32.0,5.0,0.2,0.01,32.0,25.0,0.6666666666666666,0.658008658008658,0.6666666666666666,0.6666666666666666,0.7000000000000001
32.0,5.0,0.1,0.01,16.0,25.0,0.6666666666666666,0.658008658008658,0.6666666666666666,0.6666666666666666,0.6000000000000001
32.0,3.0,0.1,0.001,8.0,25.0,0.6666666666666666,0.658008658008658,0.6666666666666666,0.6666666666666666,0.5
64.0,5.0,0.2,0.01,16.0,10.0,0.6666666666666666,0.658008658008658,0.6666666666666666,0.6666666666666666,0.75
64.0,3.0,0.0,0.001,8.0,25.0,0.6666666666666666,0.658008658008658,0.6666666666666666,0.6666666666666666,0.8
64.0,5.0,0.2,0.0005,32.0,50.0,0.6666666666666666,0.658008658008658,0.6666666666666666,0.6666666666666666,0.7000000000000001
128.0,3.0,0.0,0.01,32.0,10.0,0.6666666666666666,0.658008658008658,0.6666666666666666,0.6666666666666666,0.6
128.0,5.0,0.1,0.01,16.0,10.0,0.6666666666666666,0.658008658008658,0.6666666666666666,0.6666666666666666,0.7000000000000001
128.0,3.0,0.1,0.001,16.0,25.0,0.6666666666666666,0.658008658008658,0.6666666666666666,0.6666666666666666,0.55
64.0,1.0,0.0,0.001,32.0,25.0,0.6666666666666666,0.658008658008658,0.6666666666666666,0.6666666666666666,0.7000000000000001
128.0,1.0,0.0,0.001,32.0,25.0,0.6666666666666666,0.658008658008658,0.6666666666666666,0.6666666666666666,0.7
128.0,3.0,0.2,0.01,8.0,10.0,0.6666666666666666,0.658008658008658,0.6666666666666666,0.6666666666666666,0.7
128.0,5.0,0.1,0.01,32.0,10.0,0.6666666666666666,0.658008658008658,0.6666666666666666,0.6666666666666666,0.55
32.0,5.0,0.1,0.0005,16.0,10.0,0.6666666666666666,0.658008658008658,0.6666666666666666,0.6666666666666666,0.7
32.0,1.0,0.0,0.01,8.0,25.0,0.6666666666666666,0.658008658008658,0.6666666666666666,0.6666666666666666,0.55
64.0,5.0,0.0,0.0005,16.0,50.0,0.6666666666666666,0.658008658008658,0.6666666666666666,0.6666666666666666,0.55
32.0,5.0,0.0,0.001,32.0,50.0,0.6666666666666666,0.658008658008658,0.6666666666666666,0.6666666666666666,0.5
32.0,1.0,0.0,0.01,16.0,10.0,0.6666666666666666,0.658008658008658,0.6666666666666666,0.6666666666666666,0.6
64.0,3.0,0.2,0.0005,16.0,10.0,0.6666666666666666,0.6406926406926406,0.8095238095238095,0.6666666666666666,0.55
32.0,5.0,0.1,0.0005,16.0,50.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.5
32.0,1.0,0.1,0.0005,32.0,25.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.8
128.0,5.0,0.0,0.0005,32.0,50.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.39999999999999997
128.0,1.0,0.2,0.0005,16.0,50.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.5499999999999999
64.0,5.0,0.2,0.0005,16.0,50.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.5
32.0,5.0,0.0,0.0005,16.0,50.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.5499999999999999
128.0,5.0,0.0,0.0005,16.0,50.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.6
64.0,1.0,0.0,0.0005,16.0,50.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.39999999999999997
64.0,1.0,0.0,0.001,8.0,25.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.4
32.0,3.0,0.2,0.0005,16.0,50.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.5
32.0,5.0,0.1,0.01,32.0,25.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.6
64.0,5.0,0.0,0.0005,32.0,50.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.8
32.0,5.0,0.2,0.01,32.0,50.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.6
32.0,3.0,0.0,0.0005,16.0,25.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.65
128.0,5.0,0.2,0.01,8.0,25.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.35
64.0,1.0,0.0,0.01,16.0,50.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.6499999999999999
64.0,1.0,0.0,0.001,16.0,10.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.9
64.0,3.0,0.1,0.0005,32.0,25.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.55
64.0,3.0,0.2,0.001,8.0,25.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.5
128.0,1.0,0.1,0.001,32.0,25.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.6500000000000001
64.0,1.0,0.2,0.001,8.0,25.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.35
64.0,5.0,0.1,0.001,32.0,25.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.6500000000000001
64.0,3.0,0.0,0.01,16.0,10.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.7
128.0,5.0,0.0,0.001,16.0,50.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.75
32.0,1.0,0.2,0.001,32.0,25.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.35
64.0,3.0,0.1,0.001,32.0,25.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.7000000000000001
64.0,5.0,0.0,0.0005,8.0,10.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.4
128.0,5.0,0.1,0.001,16.0,50.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.5
32.0,3.0,0.2,0.01,32.0,10.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.65
64.0,1.0,0.2,0.001,32.0,25.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.45
32.0,1.0,0.2,0.001,16.0,10.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.7
32.0,3.0,0.1,0.01,8.0,25.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.39999999999999997
32.0,1.0,0.0,0.001,32.0,25.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.65
64.0,3.0,0.2,0.0005,32.0,25.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.7
32.0,5.0,0.0,0.001,16.0,50.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.6
128.0,1.0,0.1,0.001,8.0,25.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.39999999999999997
64.0,1.0,0.1,0.001,16.0,10.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.45
32.0,3.0,0.1,0.001,16.0,10.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.6000000000000001
32.0,3.0,0.1,0.0005,32.0,50.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.8500000000000001
128.0,5.0,0.2,0.001,32.0,25.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.45000000000000007
64.0,1.0,0.1,0.001,8.0,25.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.6
32.0,1.0,0.1,0.0005,32.0,50.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.9
32.0,3.0,0.0,0.01,16.0,25.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.44999999999999996
32.0,5.0,0.1,0.0005,32.0,50.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.8
64.0,1.0,0.1,0.01,16.0,25.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.6
64.0,3.0,0.0,0.001,16.0,25.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.5
32.0,3.0,0.1,0.01,16.0,25.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.7
128.0,5.0,0.2,0.01,32.0,25.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.6500000000000001
128.0,1.0,0.2,0.001,32.0,10.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.5499999999999999
128.0,5.0,0.0,0.001,16.0,25.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.7000000000000001
32.0,1.0,0.1,0.001,16.0,25.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.6500000000000001
32.0,5.0,0.1,0.001,8.0,50.0,0.6666666666666666,0.6051282051282052,0.7916666666666666,0.6666666666666666,0.35
