hidden_dim,num_blocks,dropout,lr,batch_size,epochs,accuracy,f1_score,precision,recall,auc_roc
32.0,5.0,0.0,0.01,32.0,25.0,0.9545454545454546,0.9571779571779573,0.9659090909090909,0.9545454545454546,0.9824561403508772
32.0,3.0,0.0,0.01,32.0,25.0,0.9545454545454546,0.9571779571779573,0.9659090909090909,0.9545454545454546,0.9824561403508772
32.0,5.0,0.0,0.001,16.0,10.0,0.9545454545454546,0.9505827505827504,0.9568181818181819,0.9545454545454546,0.8070175438596491
64.0,1.0,0.2,0.0005,16.0,10.0,0.9545454545454546,0.9505827505827504,0.9568181818181819,0.9545454545454546,0.8070175438596491
128.0,3.0,0.2,0.01,32.0,10.0,0.9545454545454546,0.9505827505827504,0.9568181818181819,0.9545454545454546,0.8771929824561403
128.0,1.0,0.2,0.01,32.0,10.0,0.9545454545454546,0.9505827505827504,0.9568181818181819,0.9545454545454546,0.912280701754386
64.0,5.0,0.2,0.01,32.0,10.0,0.9545454545454546,0.9505827505827504,0.9568181818181819,0.9545454545454546,0.8947368421052632
64.0,3.0,0.2,0.01,32.0,10.0,0.9545454545454546,0.9505827505827504,0.9568181818181819,0.9545454545454546,0.912280701754386
32.0,3.0,0.2,0.001,16.0,25.0,0.9545454545454546,0.9505827505827504,0.9568181818181819,0.9545454545454546,0.912280701754386
32.0,5.0,0.2,0.01,32.0,10.0,0.9545454545454546,0.9505827505827504,0.9568181818181819,0.9545454545454546,0.7719298245614035
32.0,1.0,0.0,0.0005,8.0,10.0,0.9545454545454546,0.9505827505827504,0.9568181818181819,0.9545454545454546,0.7368421052631579
32.0,3.0,0.2,0.0005,16.0,10.0,0.9545454545454546,0.9505827505827504,0.9568181818181819,0.9545454545454546,0.8421052631578948
64.0,1.0,0.0,0.001,16.0,10.0,0.9545454545454546,0.9505827505827504,0.9568181818181819,0.9545454545454546,0.8596491228070176
32.0,3.0,0.2,0.01,32.0,10.0,0.9545454545454546,0.9505827505827504,0.9568181818181819,0.9545454545454546,0.8947368421052632
64.0,5.0,0.0,0.001,16.0,10.0,0.9545454545454546,0.9505827505827504,0.9568181818181819,0.9545454545454546,0.8421052631578948
64.0,1.0,0.2,0.001,16.0,25.0,0.9545454545454546,0.9505827505827504,0.9568181818181819,0.9545454545454546,0.912280701754386
32.0,1.0,0.1,0.001,16.0,10.0,0.9545454545454546,0.9505827505827504,0.9568181818181819,0.9545454545454546,0.8245614035087719
32.0,3.0,0.1,0.001,16.0,10.0,0.9545454545454546,0.9505827505827504,0.9568181818181819,0.9545454545454546,0.9298245614035088
32.0,5.0,0.2,0.0005,16.0,10.0,0.9545454545454546,0.9505827505827504,0.9568181818181819,0.9545454545454546,0.8947368421052632
32.0,1.0,0.0,0.0005,8.0,25.0,0.9545454545454546,0.9505827505827504,0.9568181818181819,0.9545454545454546,0.8771929824561403
128.0,5.0,0.1,0.01,8.0,50.0,0.9545454545454546,0.9505827505827504,0.9568181818181819,0.9545454545454546,0.8596491228070176
64.0,5.0,0.0,0.0005,16.0,10.0,0.9545454545454546,0.9505827505827504,0.9568181818181819,0.9545454545454546,0.8771929824561403
64.0,1.0,0.2,0.01,8.0,10.0,0.9545454545454546,0.9505827505827504,0.9568181818181819,0.9545454545454546,0.8245614035087719
64.0,3.0,0.1,0.0005,8.0,25.0,0.9545454545454546,0.9505827505827504,0.9568181818181819,0.9545454545454546,0.8421052631578948
128.0,3.0,0.2,0.01,8.0,10.0,0.9545454545454546,0.9505827505827504,0.9568181818181819,0.9545454545454546,0.9298245614035088
32.0,3.0,0.1,0.0005,8.0,25.0,0.9545454545454546,0.9505827505827504,0.9568181818181819,0.9545454545454546,0.8596491228070176
32.0,1.0,0.0,0.0005,16.0,10.0,0.9545454545454546,0.9505827505827504,0.9568181818181819,0.9545454545454546,0.7719298245614035
64.0,3.0,0.0,0.0005,16.0,10.0,0.9545454545454546,0.9505827505827504,0.9568181818181819,0.9545454545454546,0.8947368421052632
64.0,5.0,0.0,0.0005,8.0,25.0,0.9545454545454546,0.9505827505827504,0.9568181818181819,0.9545454545454546,0.8596491228070176
64.0,1.0,0.1,0.01,32.0,10.0,0.9545454545454546,0.9505827505827504,0.9568181818181819,0.9545454545454546,0.8421052631578948
128.0,3.0,0.2,0.01,8.0,50.0,0.9545454545454546,0.9505827505827504,0.9568181818181819,0.9545454545454546,0.8771929824561403
32.0,3.0,0.1,0.0005,16.0,10.0,0.9545454545454546,0.9505827505827504,0.9568181818181819,0.9545454545454546,0.8421052631578948
32.0,5.0,0.1,0.0005,16.0,10.0,0.9545454545454546,0.9505827505827504,0.9568181818181819,0.9545454545454546,0.8771929824561403
32.0,3.0,0.1,0.001,16.0,25.0,0.9545454545454546,0.9505827505827504,0.9568181818181819,0.9545454545454546,0.912280701754386
64.0,5.0,0.1,0.0005,16.0,10.0,0.9545454545454546,0.9505827505827504,0.9568181818181819,0.9545454545454546,0.912280701754386
32.0,3.0,0.0,0.0005,8.0,10.0,0.9545454545454546,0.9505827505827504,0.9568181818181819,0.9545454545454546,0.9473684210526315
64.0,3.0,0.1,0.01,32.0,10.0,0.9545454545454546,0.9505827505827504,0.9568181818181819,0.9545454545454546,0.8771929824561403
