hidden_dim,num_blocks,dropout,lr,batch_size,epochs,accuracy,f1_score,precision,recall,auc_roc
128.0,3.0,0.2,0.001,16.0,25.0,0.9166666666666666,0.9073522106308991,0.9244791666666666,0.9166666666666666,0.7832512315270936
128.0,3.0,0.1,0.001,32.0,25.0,0.8888888888888888,0.8814814814814815,0.8831541218637993,0.8888888888888888,0.8128078817733989
128.0,3.0,0.2,0.0005,16.0,50.0,0.8888888888888888,0.8814814814814815,0.8831541218637993,0.8888888888888888,0.7832512315270936
64.0,3.0,0.1,0.0005,32.0,50.0,0.8888888888888888,0.8814814814814815,0.8831541218637993,0.8888888888888888,0.6896551724137931
32.0,5.0,0.1,0.001,16.0,50.0,0.8888888888888888,0.8702508960573476,0.9023569023569024,0.8888888888888888,0.7832512315270936
64.0,1.0,0.0,0.0005,16.0,50.0,0.8888888888888888,0.8702508960573476,0.9023569023569024,0.8888888888888888,0.7733990147783252
32.0,3.0,0.2,0.01,8.0,50.0,0.8888888888888888,0.8702508960573476,0.9023569023569024,0.8888888888888888,0.6009852216748769
32.0,1.0,0.2,0.01,16.0,50.0,0.8888888888888888,0.8702508960573476,0.9023569023569024,0.8888888888888888,0.6600985221674877
64.0,3.0,0.1,0.0005,8.0,50.0,0.8888888888888888,0.8702508960573476,0.9023569023569024,0.8888888888888888,0.729064039408867
128.0,3.0,0.0,0.0005,8.0,50.0,0.8888888888888888,0.8702508960573476,0.9023569023569024,0.8888888888888888,0.7586206896551724
64.0,3.0,0.0,0.001,16.0,50.0,0.8888888888888888,0.8702508960573476,0.9023569023569024,0.8888888888888888,0.7093596059113301
128.0,1.0,0.1,0.0005,32.0,50.0,0.8888888888888888,0.8702508960573476,0.9023569023569024,0.8888888888888888,0.7832512315270936
64.0,3.0,0.1,0.001,16.0,25.0,0.8888888888888888,0.8702508960573476,0.9023569023569024,0.8888888888888888,0.8078817733990148
64.0,3.0,0.2,0.0005,16.0,50.0,0.8888888888888888,0.8702508960573476,0.9023569023569024,0.8888888888888888,0.7290640394088669
64.0,1.0,0.1,0.001,32.0,25.0,0.8888888888888888,0.8702508960573476,0.9023569023569024,0.8888888888888888,0.7438423645320197
128.0,5.0,0.0,0.0005,32.0,50.0,0.8888888888888888,0.8702508960573476,0.9023569023569024,0.8888888888888888,0.6600985221674878
64.0,1.0,0.1,0.01,32.0,50.0,0.8888888888888888,0.8702508960573476,0.9023569023569024,0.8888888888888888,0.7142857142857143
32.0,5.0,0.0,0.0005,16.0,25.0,0.8888888888888888,0.8702508960573476,0.9023569023569024,0.8888888888888888,0.7142857142857143
32.0,3.0,0.2,0.001,16.0,50.0,0.8888888888888888,0.8702508960573476,0.9023569023569024,0.8888888888888888,0.8177339901477833
128.0,3.0,0.1,0.0005,16.0,10.0,0.8611111111111112,0.8569462552513399,0.8546296296296296,0.8611111111111112,0.7093596059113301
128.0,1.0,0.1,0.01,32.0,10.0,0.8611111111111112,0.8569462552513399,0.8546296296296296,0.8611111111111112,0.7980295566502462
128.0,1.0,0.2,0.0005,16.0,50.0,0.8611111111111112,0.8569462552513399,0.8546296296296296,0.8611111111111112,0.8078817733990148
64.0,3.0,0.1,0.001,16.0,50.0,0.8611111111111112,0.8455870177181652,0.8506944444444444,0.8611111111111112,0.7733990147783252
64.0,1.0,0.0,0.001,8.0,50.0,0.8611111111111112,0.8455870177181652,0.8506944444444444,0.8611111111111112,0.6305418719211823
128.0,3.0,0.0,0.0005,16.0,50.0,0.8611111111111112,0.8455870177181652,0.8506944444444444,0.8611111111111112,0.8029556650246306
64.0,5.0,0.0,0.001,8.0,50.0,0.8611111111111112,0.8455870177181652,0.8506944444444444,0.8611111111111112,0.6699507389162561
64.0,1.0,0.2,0.01,32.0,25.0,0.8611111111111112,0.8455870177181652,0.8506944444444444,0.8611111111111112,0.6650246305418719
128.0,5.0,0.1,0.01,32.0,25.0,0.8611111111111112,0.8455870177181652,0.8506944444444444,0.8611111111111112,0.6945812807881773
64.0,1.0,0.1,0.01,32.0,25.0,0.8611111111111112,0.8455870177181652,0.8506944444444444,0.8611111111111112,0.6847290640394088
128.0,1.0,0.1,0.001,32.0,25.0,0.8611111111111112,0.8455870177181652,0.8506944444444444,0.8611111111111112,0.7142857142857142
32.0,1.0,0.1,0.01,16.0,25.0,0.8611111111111112,0.8455870177181652,0.8506944444444444,0.8611111111111112,0.5665024630541873
64.0,3.0,0.0,0.0005,16.0,25.0,0.8611111111111112,0.8455870177181652,0.8506944444444444,0.8611111111111112,0.6650246305418719
64.0,1.0,0.0,0.01,8.0,25.0,0.8611111111111112,0.8455870177181652,0.8506944444444444,0.8611111111111112,0.6551724137931034
128.0,5.0,0.1,0.01,16.0,50.0,0.8611111111111112,0.8455870177181652,0.8506944444444444,0.8611111111111112,0.7044334975369457
128.0,5.0,0.2,0.001,8.0,50.0,0.8611111111111112,0.8455870177181652,0.8506944444444444,0.8611111111111112,0.7438423645320197
128.0,5.0,0.2,0.001,32.0,50.0,0.8611111111111112,0.8455870177181652,0.8506944444444444,0.8611111111111112,0.6748768472906403
64.0,5.0,0.1,0.0005,32.0,50.0,0.8611111111111112,0.8455870177181652,0.8506944444444444,0.8611111111111112,0.876847290640394
32.0,1.0,0.0,0.01,32.0,25.0,0.8333333333333334,0.8407738095238096,0.8539094650205761,0.8333333333333334,0.7192118226600985
32.0,3.0,0.2,0.01,32.0,50.0,0.8333333333333334,0.8407738095238096,0.8539094650205761,0.8333333333333334,0.8472906403940887
128.0,3.0,0.0,0.001,32.0,25.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7881773399014779
128.0,5.0,0.2,0.0005,32.0,25.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7339901477832512
128.0,5.0,0.0,0.001,32.0,50.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7389162561576355
64.0,5.0,0.2,0.001,32.0,50.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.729064039408867
128.0,5.0,0.1,0.001,32.0,25.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7586206896551724
128.0,5.0,0.2,0.01,16.0,50.0,0.8611111111111112,0.8280423280423279,0.8815359477124183,0.8611111111111112,0.5270935960591132
128.0,1.0,0.1,0.0005,16.0,50.0,0.8611111111111112,0.8280423280423279,0.8815359477124183,0.8611111111111112,0.5862068965517241
64.0,3.0,0.1,0.0005,16.0,50.0,0.8611111111111112,0.8280423280423279,0.8815359477124183,0.8611111111111112,0.7389162561576355
64.0,1.0,0.2,0.001,32.0,25.0,0.8611111111111112,0.8280423280423279,0.8815359477124183,0.8611111111111112,0.7241379310344828
64.0,5.0,0.2,0.001,32.0,25.0,0.8611111111111112,0.8280423280423279,0.8815359477124183,0.8611111111111112,0.7783251231527093
128.0,1.0,0.1,0.001,16.0,10.0,0.8611111111111112,0.8280423280423279,0.8815359477124183,0.8611111111111112,0.7635467980295566
64.0,1.0,0.1,0.001,16.0,10.0,0.8611111111111112,0.8280423280423279,0.8815359477124183,0.8611111111111112,0.7684729064039408
32.0,5.0,0.2,0.01,8.0,50.0,0.8611111111111112,0.8280423280423279,0.8815359477124183,0.8611111111111112,0.7586206896551725
64.0,1.0,0.2,0.01,8.0,50.0,0.8611111111111112,0.8280423280423279,0.8815359477124183,0.8611111111111112,0.7339901477832512
64.0,1.0,0.2,0.001,8.0,50.0,0.8611111111111112,0.8280423280423279,0.8815359477124183,0.8611111111111112,0.7733990147783251
64.0,3.0,0.0,0.001,32.0,50.0,0.8611111111111112,0.8280423280423279,0.8815359477124183,0.8611111111111112,0.6354679802955665
32.0,1.0,0.2,0.001,32.0,50.0,0.8611111111111112,0.8280423280423279,0.8815359477124183,0.8611111111111112,0.6305418719211822
