hidden_dim,num_blocks,dropout,lr,batch_size,epochs,accuracy,f1_score,precision,recall,auc_roc
128.0,5.0,0.1,0.001,16.0,25.0,0.8448275862068966,0.8405786154020471,0.8417000801924618,0.8448275862068966,0.8
64.0,3.0,0.0,0.001,16.0,10.0,0.8275862068965517,0.8209154351395731,0.8237796686072548,0.8275862068965517,0.7541666666666667
32.0,5.0,0.2,0.01,16.0,50.0,0.8275862068965517,0.8163592622293504,0.828335832083958,0.8275862068965517,0.7847222222222223
64.0,3.0,0.1,0.001,16.0,25.0,0.8103448275862069,0.8088061789211214,0.8077969623509623,0.8103448275862069,0.8236111111111111
64.0,3.0,0.1,0.01,16.0,25.0,0.8103448275862069,0.8051516410469464,0.8049719326383321,0.8103448275862069,0.7791666666666667
32.0,1.0,0.1,0.01,8.0,25.0,0.8275862068965517,0.8040082522841144,0.8620689655172413,0.8275862068965517,0.7625
64.0,3.0,0.2,0.01,16.0,25.0,0.8103448275862069,0.8006281489236406,0.8057765988800472,0.8103448275862069,0.7416666666666667
128.0,3.0,0.2,0.01,16.0,10.0,0.7931034482758621,0.7980036297640654,0.810518982932776,0.7931034482758621,0.8319444444444445
128.0,5.0,0.1,0.01,16.0,25.0,0.8103448275862069,0.7950852160126834,0.8115120389515106,0.8103448275862069,0.7736111111111111
32.0,3.0,0.1,0.001,16.0,25.0,0.8103448275862069,0.7950852160126834,0.8115120389515106,0.8103448275862069,0.7374999999999999
64.0,3.0,0.0,0.001,8.0,50.0,0.8103448275862069,0.7950852160126834,0.8115120389515106,0.8103448275862069,0.7694444444444444
128.0,3.0,0.1,0.01,8.0,50.0,0.8103448275862069,0.7950852160126834,0.8115120389515106,0.8103448275862069,0.7152777777777778
64.0,5.0,0.0,0.001,8.0,25.0,0.8103448275862069,0.7950852160126834,0.8115120389515106,0.8103448275862069,0.7180555555555556
128.0,5.0,0.2,0.01,16.0,25.0,0.8103448275862069,0.7950852160126834,0.8115120389515106,0.8103448275862069,0.7347222222222223
64.0,1.0,0.0,0.01,32.0,10.0,0.8103448275862069,0.7950852160126834,0.8115120389515106,0.8103448275862069,0.7777777777777778
64.0,5.0,0.0,0.0005,32.0,50.0,0.7931034482758621,0.7931034482758621,0.7931034482758621,0.7931034482758621,0.7638888888888888
64.0,3.0,0.0,0.01,16.0,25.0,0.7931034482758621,0.789541384257656,0.7880747126436782,0.7931034482758621,0.7291666666666667
128.0,1.0,0.1,0.0005,16.0,50.0,0.7931034482758621,0.789541384257656,0.7880747126436782,0.7931034482758621,0.7430555555555555
128.0,3.0,0.0,0.01,16.0,10.0,0.7931034482758621,0.789541384257656,0.7880747126436782,0.7931034482758621,0.7791666666666668
64.0,5.0,0.2,0.001,8.0,50.0,0.8103448275862069,0.7883249386542684,0.824771287825475,0.8103448275862069,0.7930555555555556
64.0,3.0,0.1,0.01,8.0,50.0,0.8103448275862069,0.7883249386542684,0.824771287825475,0.8103448275862069,0.7388888888888889
64.0,1.0,0.2,0.001,8.0,50.0,0.8103448275862069,0.7883249386542684,0.824771287825475,0.8103448275862069,0.736111111111111
128.0,3.0,0.1,0.0005,8.0,25.0,0.8103448275862069,0.7883249386542684,0.824771287825475,0.8103448275862069,0.7194444444444446
128.0,1.0,0.1,0.001,32.0,10.0,0.8103448275862069,0.7883249386542684,0.824771287825475,0.8103448275862069,0.7583333333333333
32.0,5.0,0.0,0.01,16.0,50.0,0.7931034482758621,0.7850985221674877,0.7859381997313031,0.7931034482758621,0.7625000000000001
128.0,3.0,0.2,0.0005,16.0,10.0,0.7931034482758621,0.7796311146752204,0.7874812593703149,0.7931034482758621,0.7555555555555555
128.0,1.0,0.2,0.001,16.0,25.0,0.7931034482758621,0.7796311146752204,0.7874812593703149,0.7931034482758621,0.7805555555555556
64.0,5.0,0.2,0.01,32.0,50.0,0.7931034482758621,0.7796311146752204,0.7874812593703149,0.7931034482758621,0.775
32.0,3.0,0.2,0.01,8.0,50.0,0.7931034482758621,0.7796311146752204,0.7874812593703149,0.7931034482758621,0.7819444444444444
128.0,3.0,0.0,0.001,16.0,25.0,0.7931034482758621,0.7796311146752204,0.7874812593703149,0.7931034482758621,0.7124999999999999
128.0,5.0,0.1,0.0005,16.0,10.0,0.7931034482758621,0.7796311146752204,0.7874812593703149,0.7931034482758621,0.6944444444444444
128.0,3.0,0.1,0.0005,16.0,25.0,0.7931034482758621,0.7796311146752204,0.7874812593703149,0.7931034482758621,0.7194444444444446
128.0,1.0,0.1,0.001,16.0,10.0,0.7931034482758621,0.7796311146752204,0.7874812593703149,0.7931034482758621,0.7638888888888888
128.0,5.0,0.1,0.01,32.0,50.0,0.7758620689655172,0.7774723654252245,0.7795616361859556,0.7758620689655172,0.7847222222222222
128.0,1.0,0.0,0.01,16.0,50.0,0.7758620689655172,0.7774723654252245,0.7795616361859556,0.7758620689655172,0.725
32.0,3.0,0.2,0.01,32.0,25.0,0.7758620689655172,0.7740436659976889,0.772720526393905,0.7758620689655172,0.7930555555555555
64.0,1.0,0.2,0.01,32.0,25.0,0.7758620689655172,0.7740436659976889,0.772720526393905,0.7758620689655172,0.775
64.0,5.0,0.0,0.01,8.0,50.0,0.7931034482758621,0.7729511867442902,0.7942528735632183,0.7931034482758621,0.7770833333333333
128.0,1.0,0.0,0.001,32.0,50.0,0.7931034482758621,0.7729511867442902,0.7942528735632183,0.7931034482758621,0.7791666666666667
128.0,1.0,0.2,0.001,8.0,25.0,0.7931034482758621,0.7729511867442902,0.7942528735632183,0.7931034482758621,0.7319444444444445
32.0,1.0,0.2,0.001,32.0,25.0,0.7931034482758621,0.7729511867442902,0.7942528735632183,0.7931034482758621,0.7916666666666667
64.0,5.0,0.0,0.01,16.0,10.0,0.7931034482758621,0.7729511867442902,0.7942528735632183,0.7931034482758621,0.6513888888888889
32.0,1.0,0.0,0.01,32.0,10.0,0.7931034482758621,0.7729511867442902,0.7942528735632183,0.7931034482758621,0.7180555555555556
