hidden_dim,num_blocks,dropout,lr,batch_size,epochs,accuracy,f1_score,precision,recall,auc_roc
32.0,1.0,0.0,0.01,16.0,10.0,0.6521739130434783,0.6534914361001318,0.6646903820816864,0.6521739130434783,0.6769230769230771
32.0,5.0,0.2,0.01,8.0,10.0,0.6666666666666666,0.6498509516166017,0.6705263157894737,0.6666666666666666,0.6717948717948717
64.0,5.0,0.1,0.01,32.0,50.0,0.6521739130434783,0.645272601794341,0.6485507246376812,0.6521739130434783,0.6649572649572649
64.0,3.0,0.0,0.001,32.0,50.0,0.6376811594202898,0.6387474751167616,0.6530185076380728,0.6376811594202898,0.6427350427350428
32.0,3.0,0.2,0.0005,32.0,10.0,0.6376811594202898,0.6382982662383945,0.6391821067394996,0.6376811594202898,0.6273504273504273
128.0,3.0,0.0,0.001,32.0,50.0,0.6376811594202898,0.6369038179901683,0.6363943028485757,0.6376811594202898,0.6581196581196581
64.0,5.0,0.2,0.001,8.0,25.0,0.6376811594202898,0.6271903435125104,0.7029686317382895,0.6376811594202898,0.6282051282051282
32.0,5.0,0.0,0.001,32.0,50.0,0.6231884057971014,0.6247796709753232,0.6305443916697114,0.6231884057971014,0.6299145299145299
32.0,3.0,0.1,0.01,32.0,50.0,0.6231884057971014,0.6247796709753232,0.6305443916697114,0.6231884057971014,0.6837606837606838
32.0,5.0,0.0,0.0005,32.0,50.0,0.6231884057971014,0.6238217025940811,0.6413966191776778,0.6231884057971014,0.6504273504273504
128.0,1.0,0.0,0.001,32.0,50.0,0.6231884057971014,0.6231884057971014,0.6231884057971014,0.6231884057971014,0.6427350427350427
32.0,3.0,0.2,0.01,16.0,10.0,0.6376811594202898,0.622911672247978,0.7200088731144632,0.6376811594202898,0.6700854700854701
128.0,1.0,0.2,0.0005,8.0,50.0,0.6231884057971014,0.6203337725076855,0.6567747872095698,0.6231884057971014,0.6777777777777778
128.0,3.0,0.0,0.01,16.0,10.0,0.6521739130434783,0.6185350264906232,0.6702428006775832,0.6521739130434783,0.6196581196581197
128.0,3.0,0.0,0.01,32.0,50.0,0.6231884057971014,0.6157119852772026,0.6178743961352658,0.6231884057971014,0.6495726495726496
64.0,5.0,0.0,0.0005,16.0,10.0,0.6086956521739131,0.6103449855683328,0.6183777858969675,0.6086956521739131,0.6735042735042736
32.0,3.0,0.0,0.01,32.0,50.0,0.6086956521739131,0.6103449855683328,0.6183777858969675,0.6086956521739131,0.6717948717948717
64.0,5.0,0.0,0.0005,8.0,10.0,0.6086956521739131,0.6101863354037268,0.613965744400527,0.6086956521739131,0.6017094017094017
128.0,5.0,0.1,0.001,16.0,50.0,0.6086956521739131,0.6101863354037268,0.613965744400527,0.6086956521739131,0.6606837606837607
32.0,1.0,0.1,0.01,8.0,25.0,0.6231884057971014,0.6101449275362318,0.693064182194617,0.6231884057971014,0.658974358974359
128.0,3.0,0.1,0.01,32.0,25.0,0.6086956521739131,0.6098472731261024,0.6236045828437133,0.6086956521739131,0.6837606837606837
128.0,5.0,0.0,0.001,32.0,50.0,0.6086956521739131,0.6098472731261024,0.6236045828437133,0.6086956521739131,0.6692307692307693
128.0,3.0,0.1,0.001,8.0,10.0,0.6086956521739131,0.6093621275374661,0.6102827194212741,0.6086956521739131,0.6042735042735043
64.0,5.0,0.2,0.01,8.0,50.0,0.6086956521739131,0.6093621275374661,0.6102827194212741,0.6086956521739131,0.6666666666666666
32.0,3.0,0.1,0.001,8.0,25.0,0.6086956521739131,0.6086956521739131,0.6297658862876254,0.6086956521739131,0.688034188034188
128.0,5.0,0.1,0.0005,16.0,50.0,0.6086956521739131,0.6086956521739131,0.6297658862876254,0.6086956521739131,0.6170940170940171
64.0,5.0,0.1,0.0005,16.0,50.0,0.6086956521739131,0.6068859621061867,0.6370246932282988,0.6086956521739131,0.6846153846153846
