hidden_dim,num_blocks,dropout,lr,batch_size,epochs,accuracy,f1_score,precision,recall,auc_roc
64.0,1.0,0.1,0.0005,8.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.0,0.01,8.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.0,0.001,8.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,1.0,0.2,0.001,8.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,3.0,0.2,0.001,8.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,5.0,0.2,0.001,8.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,5.0,0.0,0.01,8.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,5.0,0.0,0.01,8.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.0,0.01,8.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.1,0.01,8.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,1.0,0.0,0.001,8.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,5.0,0.1,0.01,8.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.0,0.01,16.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.1,0.01,8.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,3.0,0.2,0.01,8.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.2,0.01,8.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.2,0.01,8.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.2,0.01,8.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.0,0.001,8.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,1.0,0.1,0.001,8.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.0,0.01,8.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.1,0.01,32.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.2,0.01,8.0,25.0,1.0,1.0,1.0,1.0,1.0
32.0,1.0,0.1,0.0005,8.0,50.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,0.9991304347826087
64.0,1.0,0.0,0.001,8.0,50.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,1.0
128.0,1.0,0.0,0.001,8.0,25.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,1.0
128.0,1.0,0.1,0.001,8.0,25.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,0.9995652173913043
32.0,1.0,0.1,0.01,8.0,25.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,0.998695652173913
32.0,1.0,0.2,0.01,8.0,50.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,0.9995652173913043
32.0,1.0,0.0,0.001,16.0,25.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,0.9991304347826087
128.0,3.0,0.2,0.001,16.0,25.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,1.0
32.0,5.0,0.1,0.01,8.0,50.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,1.0
32.0,3.0,0.1,0.01,8.0,50.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,1.0
32.0,1.0,0.1,0.01,8.0,50.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,0.9995652173913043
32.0,5.0,0.2,0.01,16.0,25.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,1.0
32.0,3.0,0.0,0.01,32.0,25.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,0.9956521739130435
64.0,1.0,0.1,0.01,32.0,25.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,1.0
64.0,1.0,0.0,0.01,8.0,50.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,1.0
64.0,3.0,0.1,0.01,32.0,25.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,0.9965217391304347
128.0,1.0,0.2,0.01,32.0,25.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,0.9995652173913043
64.0,1.0,0.2,0.001,8.0,50.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,1.0
32.0,5.0,0.2,0.001,8.0,50.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,0.9991304347826087
32.0,1.0,0.0,0.0005,8.0,50.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,0.9995652173913043
64.0,1.0,0.0,0.0005,8.0,50.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,0.9991304347826087
32.0,1.0,0.1,0.001,16.0,50.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,0.9891304347826086
128.0,1.0,0.0,0.0005,8.0,50.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,0.9917391304347826
128.0,3.0,0.0,0.0005,8.0,50.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,0.9973913043478261
64.0,1.0,0.2,0.0005,16.0,50.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,1.0
128.0,3.0,0.2,0.001,8.0,50.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,0.9995652173913043
32.0,1.0,0.2,0.001,32.0,50.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,0.9991304347826087
32.0,1.0,0.0,0.001,32.0,50.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,1.0
64.0,5.0,0.1,0.01,16.0,50.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,1.0
32.0,1.0,0.1,0.01,16.0,50.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,0.9995652173913043
32.0,5.0,0.0,0.01,16.0,50.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,0.9991304347826087
128.0,5.0,0.2,0.001,16.0,50.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,1.0
64.0,1.0,0.2,0.01,16.0,50.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,0.9965217391304347
64.0,1.0,0.2,0.0005,32.0,50.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,0.9956521739130435
32.0,5.0,0.2,0.001,16.0,50.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,0.9882608695652174
128.0,5.0,0.1,0.01,16.0,50.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,1.0
64.0,1.0,0.1,0.001,32.0,50.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,0.9930434782608696
64.0,1.0,0.0,0.001,32.0,50.0,0.9895833333333334,0.9895867274899534,0.9898049645390071,0.9895833333333334,0.9991304347826087
128.0,5.0,0.0,0.01,16.0,50.0,0.9895833333333334,0.9895776665578646,0.9897875816993463,0.9895833333333334,0.9995652173913043
128.0,1.0,0.0,0.01,16.0,50.0,0.9895833333333334,0.9895776665578646,0.9897875816993463,0.9895833333333334,1.0
64.0,5.0,0.0,0.01,16.0,50.0,0.9895833333333334,0.9895776665578646,0.9897875816993463,0.9895833333333334,0.9995652173913043
32.0,1.0,0.1,0.01,32.0,25.0,0.9895833333333334,0.9895776665578646,0.9897875816993463,0.9895833333333334,1.0
32.0,1.0,0.2,0.0005,8.0,50.0,0.9895833333333334,0.9895776665578646,0.9897875816993463,0.9895833333333334,1.0
64.0,1.0,0.1,0.01,16.0,50.0,0.9895833333333334,0.9895776665578646,0.9897875816993463,0.9895833333333334,1.0
32.0,1.0,0.0,0.01,8.0,25.0,0.9895833333333334,0.9895776665578646,0.9897875816993463,0.9895833333333334,0.9995652173913043
64.0,3.0,0.2,0.001,16.0,50.0,0.9895833333333334,0.9895776665578646,0.9897875816993463,0.9895833333333334,1.0
64.0,5.0,0.2,0.01,8.0,50.0,0.9895833333333334,0.9895776665578646,0.9897875816993463,0.9895833333333334,1.0
32.0,1.0,0.0,0.01,8.0,50.0,0.9895833333333334,0.9895776665578646,0.9897875816993463,0.9895833333333334,1.0
128.0,3.0,0.2,0.01,8.0,50.0,0.9895833333333334,0.9895776665578646,0.9897875816993463,0.9895833333333334,1.0
64.0,5.0,0.2,0.01,16.0,50.0,0.9895833333333334,0.9895776665578646,0.9897875816993463,0.9895833333333334,1.0
128.0,5.0,0.1,0.001,8.0,50.0,0.9895833333333334,0.9895776665578646,0.9897875816993463,0.9895833333333334,1.0
64.0,5.0,0.2,0.01,8.0,25.0,0.9895833333333334,0.9895776665578646,0.9897875816993463,0.9895833333333334,1.0
128.0,1.0,0.1,0.001,8.0,50.0,0.9895833333333334,0.9895776665578646,0.9897875816993463,0.9895833333333334,0.9995652173913043
64.0,1.0,0.0,0.01,16.0,10.0,0.9895833333333334,0.9895776665578646,0.9897875816993463,0.9895833333333334,0.991304347826087
128.0,3.0,0.0,0.01,16.0,50.0,0.9895833333333334,0.9895776665578646,0.9897875816993463,0.9895833333333334,0.9991304347826087
128.0,1.0,0.2,0.001,16.0,25.0,0.9791666666666666,0.9791757128383267,0.9800347222222223,0.9791666666666666,0.9956521739130434
64.0,1.0,0.2,0.001,16.0,25.0,0.9791666666666666,0.9791757128383267,0.9800347222222223,0.9791666666666666,0.9917391304347826
64.0,1.0,0.1,0.001,32.0,25.0,0.9791666666666666,0.9791757128383267,0.9800347222222223,0.9791666666666666,0.9921739130434782
32.0,1.0,0.2,0.01,16.0,50.0,0.9791666666666666,0.9791757128383267,0.9800347222222223,0.9791666666666666,1.0
64.0,5.0,0.2,0.001,32.0,25.0,0.9791666666666666,0.9791757128383267,0.9800347222222223,0.9791666666666666,0.9934782608695651
64.0,1.0,0.1,0.01,32.0,50.0,0.9791666666666666,0.9791757128383267,0.9800347222222223,0.9791666666666666,1.0
64.0,5.0,0.1,0.001,8.0,50.0,0.9791666666666666,0.9791757128383267,0.9800347222222223,0.9791666666666666,0.9991304347826087
128.0,1.0,0.2,0.0005,8.0,50.0,0.9791666666666666,0.9791757128383267,0.9800347222222223,0.9791666666666666,0.9982608695652174
128.0,1.0,0.0,0.01,16.0,25.0,0.9791666666666666,0.9791757128383267,0.9800347222222223,0.9791666666666666,0.9995652173913043
128.0,1.0,0.0,0.01,8.0,50.0,0.9791666666666666,0.9791757128383267,0.9800347222222223,0.9791666666666666,1.0
32.0,3.0,0.0,0.01,8.0,50.0,0.9791666666666666,0.9791757128383267,0.9800347222222223,0.9791666666666666,1.0
128.0,5.0,0.2,0.0005,16.0,50.0,0.9791666666666666,0.9791757128383267,0.9800347222222223,0.9791666666666666,0.99
128.0,3.0,0.0,0.001,8.0,25.0,0.9791666666666666,0.9791757128383267,0.9800347222222223,0.9791666666666666,0.9847826086956522
128.0,3.0,0.2,0.001,16.0,50.0,0.9791666666666666,0.9791757128383267,0.9800347222222223,0.9791666666666666,0.998695652173913
32.0,5.0,0.2,0.01,8.0,50.0,0.9791666666666666,0.9791757128383267,0.9800347222222223,0.9791666666666666,1.0
64.0,5.0,0.2,0.001,16.0,50.0,0.9791666666666666,0.9791757128383267,0.9800347222222223,0.9791666666666666,0.9991304347826087
32.0,1.0,0.1,0.0005,16.0,25.0,0.9791666666666666,0.9791757128383267,0.9800347222222223,0.9791666666666666,0.9791304347826086
32.0,5.0,0.2,0.0005,16.0,50.0,0.9791666666666666,0.9791757128383267,0.9800347222222223,0.9791666666666666,0.9969565217391304
64.0,1.0,0.0,0.0005,16.0,50.0,0.9791666666666666,0.9791757128383267,0.9800347222222223,0.9791666666666666,0.9991304347826087
128.0,1.0,0.0,0.001,16.0,50.0,0.9791666666666666,0.9791757128383267,0.9800347222222223,0.9791666666666666,0.998695652173913
