hidden_dim,num_blocks,dropout,lr,batch_size,epochs,accuracy,f1_score,precision,recall,auc_roc
128.0,5.0,0.2,0.0005,16.0,50.0,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.8333333333333334
128.0,1.0,0.0,0.0005,32.0,50.0,0.8484848484848485,0.8479200203338134,0.8489405331510594,0.8484848484848485,0.8444444444444444
64.0,3.0,0.0,0.001,16.0,25.0,0.8484848484848485,0.8479200203338134,0.8489405331510594,0.8484848484848485,0.8666666666666667
128.0,5.0,0.0,0.0005,16.0,50.0,0.8484848484848485,0.8458948458948459,0.8582251082251081,0.8484848484848485,0.888888888888889
64.0,3.0,0.1,0.0005,32.0,25.0,0.8181818181818182,0.8175133689839572,0.8414217361585783,0.8181818181818182,0.8481481481481482
128.0,5.0,0.0,0.0005,32.0,25.0,0.8181818181818182,0.8164730006835269,0.820979020979021,0.8181818181818182,0.8148148148148149
128.0,3.0,0.1,0.0005,16.0,25.0,0.8181818181818182,0.8164730006835269,0.820979020979021,0.8181818181818182,0.8222222222222223
128.0,3.0,0.2,0.001,32.0,25.0,0.8181818181818182,0.8164730006835269,0.820979020979021,0.8181818181818182,0.8333333333333333
128.0,1.0,0.0,0.001,16.0,25.0,0.8181818181818182,0.8164730006835269,0.820979020979021,0.8181818181818182,0.8074074074074074
64.0,1.0,0.0,0.0005,32.0,50.0,0.8181818181818182,0.8164730006835269,0.820979020979021,0.8181818181818182,0.8555555555555555
128.0,3.0,0.1,0.001,8.0,50.0,0.8181818181818182,0.8132867132867132,0.8347107438016529,0.8181818181818182,0.8407407407407407
64.0,3.0,0.0,0.001,32.0,50.0,0.8181818181818182,0.8132867132867132,0.8347107438016529,0.8181818181818182,0.9148148148148149
64.0,1.0,0.1,0.001,16.0,50.0,0.8181818181818182,0.8084415584415584,0.8636363636363636,0.8181818181818182,0.7777777777777778
128.0,3.0,0.0,0.0005,32.0,50.0,0.7878787878787878,0.7882697947214077,0.7901069518716577,0.7878787878787878,0.8333333333333334
128.0,3.0,0.1,0.001,32.0,50.0,0.7878787878787878,0.7878787878787878,0.8010101010101012,0.7878787878787878,0.7703703703703704
128.0,5.0,0.0,0.0005,32.0,50.0,0.7878787878787878,0.7870880284673388,0.7877648667122351,0.7878787878787878,0.8407407407407408
64.0,1.0,0.1,0.001,16.0,10.0,0.7878787878787878,0.7870880284673388,0.7877648667122351,0.7878787878787878,0.8111111111111111
32.0,5.0,0.2,0.001,32.0,50.0,0.7878787878787878,0.7870880284673388,0.7877648667122351,0.7878787878787878,0.8148148148148149
128.0,5.0,0.2,0.001,16.0,50.0,0.7878787878787878,0.7870880284673388,0.7877648667122351,0.7878787878787878,0.8074074074074074
128.0,1.0,0.2,0.0005,32.0,25.0,0.7878787878787878,0.7870880284673388,0.7877648667122351,0.7878787878787878,0.8222222222222222
64.0,5.0,0.1,0.001,16.0,50.0,0.7878787878787878,0.7870880284673388,0.7877648667122351,0.7878787878787878,0.8666666666666667
