hidden_dim,num_blocks,dropout,lr,batch_size,epochs,accuracy,f1_score,precision,recall,auc_roc
64.0,1.0,0.0,0.01,16.0,10.0,0.8225806451612904,0.8204554768456178,0.818836405529954,0.8225806451612904,0.7673758865248228
128.0,3.0,0.0,0.01,16.0,25.0,0.8225806451612904,0.8204554768456178,0.818836405529954,0.8225806451612904,0.7929078014184396
128.0,3.0,0.2,0.001,16.0,10.0,0.8225806451612904,0.8204554768456178,0.818836405529954,0.8225806451612904,0.7744680851063831
128.0,5.0,0.1,0.01,8.0,50.0,0.8064516129032258,0.8135357368753953,0.8276147984364511,0.8064516129032258,0.7900709219858156
128.0,3.0,0.2,0.01,8.0,50.0,0.8064516129032258,0.8103962131837307,0.8161501159603626,0.8064516129032258,0.7914893617021277
128.0,5.0,0.1,0.001,16.0,10.0,0.8064516129032258,0.8064516129032258,0.8064516129032258,0.8064516129032258,0.8014184397163121
128.0,5.0,0.1,0.01,32.0,10.0,0.8064516129032258,0.8064516129032258,0.8064516129032258,0.8064516129032258,0.7503546099290781
128.0,5.0,0.0,0.01,8.0,10.0,0.7903225806451613,0.8017216326448807,0.833174486803519,0.7903225806451613,0.7843971631205674
32.0,3.0,0.2,0.01,16.0,10.0,0.8064516129032258,0.8015552995391705,0.7986529599432826,0.8064516129032258,0.773049645390071
128.0,3.0,0.0,0.01,8.0,25.0,0.8064516129032258,0.8015552995391705,0.7986529599432826,0.8064516129032258,0.7815602836879434
64.0,5.0,0.2,0.0005,16.0,25.0,0.8064516129032258,0.8015552995391705,0.7986529599432826,0.8064516129032258,0.7418439716312057
64.0,5.0,0.2,0.0005,32.0,25.0,0.8064516129032258,0.8015552995391705,0.7986529599432826,0.8064516129032258,0.7489361702127659
32.0,1.0,0.2,0.0005,16.0,25.0,0.8064516129032258,0.8015552995391705,0.7986529599432826,0.8064516129032258,0.8
32.0,1.0,0.2,0.001,32.0,10.0,0.8064516129032258,0.8015552995391705,0.7986529599432826,0.8064516129032258,0.7929078014184399
64.0,5.0,0.2,0.0005,32.0,10.0,0.8064516129032258,0.8015552995391705,0.7986529599432826,0.8064516129032258,0.7943262411347518
128.0,5.0,0.2,0.01,16.0,10.0,0.8064516129032258,0.8015552995391705,0.7986529599432826,0.8064516129032258,0.6964539007092199
128.0,5.0,0.2,0.01,32.0,50.0,0.8064516129032258,0.8015552995391705,0.7986529599432826,0.8064516129032258,0.7333333333333334
128.0,1.0,0.1,0.01,8.0,10.0,0.8064516129032258,0.8015552995391705,0.7986529599432826,0.8064516129032258,0.7304964539007092
32.0,5.0,0.1,0.01,8.0,10.0,0.8064516129032258,0.8015552995391705,0.7986529599432826,0.8064516129032258,0.6879432624113475
128.0,1.0,0.1,0.001,8.0,25.0,0.8064516129032258,0.8015552995391705,0.7986529599432826,0.8064516129032258,0.774468085106383
128.0,3.0,0.2,0.0005,8.0,10.0,0.7903225806451613,0.796397151235861,0.8063294232649071,0.7903225806451613,0.7361702127659575
128.0,5.0,0.0,0.0005,32.0,25.0,0.7903225806451613,0.796397151235861,0.8063294232649071,0.7903225806451613,0.7078014184397163
128.0,1.0,0.1,0.0005,8.0,50.0,0.8064516129032258,0.7955132425178509,0.7931113794491403,0.8064516129032258,0.7985815602836881
32.0,5.0,0.1,0.01,8.0,50.0,0.8064516129032258,0.7955132425178509,0.7931113794491403,0.8064516129032258,0.7574468085106383
32.0,5.0,0.2,0.0005,16.0,25.0,0.8064516129032258,0.7955132425178509,0.7931113794491403,0.8064516129032258,0.7631205673758865
32.0,3.0,0.1,0.0005,8.0,10.0,0.8064516129032258,0.7955132425178509,0.7931113794491403,0.8064516129032258,0.7886524822695036
32.0,5.0,0.1,0.001,32.0,25.0,0.8064516129032258,0.7955132425178509,0.7931113794491403,0.8064516129032258,0.7815602836879433
128.0,1.0,0.2,0.01,8.0,25.0,0.8064516129032258,0.7955132425178509,0.7931113794491403,0.8064516129032258,0.7815602836879434
64.0,1.0,0.2,0.001,32.0,50.0,0.8064516129032258,0.7955132425178509,0.7931113794491403,0.8064516129032258,0.7716312056737589
64.0,5.0,0.1,0.001,8.0,25.0,0.8064516129032258,0.7955132425178509,0.7931113794491403,0.8064516129032258,0.7929078014184399
32.0,3.0,0.2,0.0005,8.0,50.0,0.8064516129032258,0.7955132425178509,0.7931113794491403,0.8064516129032258,0.7404255319148936
32.0,3.0,0.2,0.01,8.0,50.0,0.8064516129032258,0.7955132425178509,0.7931113794491403,0.8064516129032258,0.771631205673759
64.0,3.0,0.2,0.01,16.0,10.0,0.7903225806451613,0.7925771765522026,0.7952752454417953,0.7903225806451613,0.7503546099290781
128.0,3.0,0.0,0.001,16.0,10.0,0.7903225806451613,0.7925771765522026,0.7952752454417953,0.7903225806451613,0.7758865248226952
