hidden_dim,num_blocks,dropout,lr,batch_size,epochs,accuracy,f1_score,precision,recall,auc_roc
64.0,1.0,0.0,0.001,32.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.0,0.0005,8.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.2,0.0005,32.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,3.0,0.0,0.01,32.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.1,0.01,32.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,1.0,0.1,0.001,32.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,5.0,0.1,0.01,32.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.1,0.0005,32.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.0,0.0005,32.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.0,0.0005,32.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.2,0.001,16.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.2,0.0005,16.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,5.0,0.1,0.001,32.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.1,0.001,8.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.1,0.0005,8.0,50.0,0.99,0.98999899989999,0.9901960784313725,0.99,0.9984
128.0,3.0,0.0,0.001,32.0,50.0,0.99,0.98999899989999,0.9901960784313725,0.99,0.9975999999999999
64.0,5.0,0.2,0.001,32.0,25.0,0.99,0.98999899989999,0.9901960784313725,0.99,0.988
128.0,5.0,0.2,0.001,8.0,50.0,0.99,0.98999899989999,0.9901960784313725,0.99,0.9975999999999999
128.0,3.0,0.2,0.001,32.0,25.0,0.99,0.98999899989999,0.9901960784313725,0.99,0.9975999999999999
128.0,5.0,0.2,0.001,32.0,25.0,0.99,0.98999899989999,0.9901960784313725,0.99,0.9992
32.0,1.0,0.0,0.01,32.0,25.0,0.99,0.98999899989999,0.9901960784313725,0.99,0.998
32.0,1.0,0.2,0.001,8.0,50.0,0.99,0.98999899989999,0.9901960784313725,0.99,0.9975999999999999
32.0,3.0,0.0,0.001,32.0,50.0,0.99,0.98999899989999,0.9901960784313725,0.99,0.9872
32.0,5.0,0.0,0.01,32.0,25.0,0.99,0.98999899989999,0.9901960784313725,0.99,1.0
128.0,1.0,0.0,0.01,32.0,25.0,0.99,0.98999899989999,0.9901960784313725,0.99,1.0
32.0,3.0,0.1,0.001,8.0,50.0,0.99,0.98999899989999,0.9901960784313725,0.99,0.9876
128.0,5.0,0.0,0.0005,8.0,50.0,0.99,0.98999899989999,0.9901960784313725,0.99,0.9944
128.0,5.0,0.0,0.001,8.0,50.0,0.99,0.98999899989999,0.9901960784313725,0.99,0.9995999999999999
32.0,5.0,0.1,0.001,32.0,50.0,0.99,0.98999899989999,0.9901960784313725,0.99,0.998
32.0,1.0,0.1,0.01,32.0,25.0,0.99,0.98999899989999,0.9901960784313725,0.99,1.0
128.0,1.0,0.2,0.001,16.0,50.0,0.99,0.98999899989999,0.9901960784313725,0.99,0.9995999999999999
64.0,5.0,0.1,0.001,32.0,25.0,0.99,0.98999899989999,0.9901960784313725,0.99,1.0
32.0,1.0,0.2,0.01,32.0,25.0,0.99,0.98999899989999,0.9901960784313725,0.99,1.0
32.0,3.0,0.0,0.0005,8.0,50.0,0.99,0.98999899989999,0.9901960784313725,0.99,0.9955999999999999
64.0,3.0,0.2,0.0005,8.0,50.0,0.99,0.98999899989999,0.9901960784313725,0.99,1.0
128.0,1.0,0.1,0.0005,8.0,50.0,0.99,0.98999899989999,0.9901960784313725,0.99,1.0
64.0,1.0,0.2,0.001,32.0,25.0,0.99,0.98999899989999,0.9901960784313725,0.99,1.0
32.0,1.0,0.0,0.001,32.0,25.0,0.99,0.98999899989999,0.9901960784313725,0.99,0.9992
128.0,3.0,0.0,0.001,32.0,25.0,0.99,0.98999899989999,0.9901960784313725,0.99,0.9992
