hidden_dim,num_blocks,dropout,lr,batch_size,epochs,accuracy,f1_score,precision,recall,auc_roc
128.0,5.0,0.2,0.01,32.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.1,0.001,32.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.1,0.001,32.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.1,0.0005,16.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.0,0.0005,16.0,10.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.2,0.01,16.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,5.0,0.0,0.01,32.0,10.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.0,0.001,32.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.1,0.0005,16.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.2,0.01,8.0,10.0,1.0,1.0,1.0,1.0,1.0
64.0,5.0,0.2,0.01,8.0,10.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.2,0.01,16.0,25.0,1.0,1.0,1.0,1.0,1.0
32.0,5.0,0.0,0.01,8.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,5.0,0.1,0.01,16.0,10.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.0,0.01,8.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.0,0.0005,32.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.1,0.01,16.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.1,0.0005,32.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.1,0.01,8.0,10.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.1,0.0005,32.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,5.0,0.1,0.01,16.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.1,0.01,16.0,25.0,1.0,1.0,1.0,1.0,1.0
32.0,5.0,0.1,0.01,8.0,10.0,1.0,1.0,1.0,1.0,1.0
32.0,5.0,0.1,0.01,16.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.0,0.01,16.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.2,0.01,16.0,10.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.0,0.0005,8.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.2,0.001,8.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.2,0.001,32.0,25.0,1.0,1.0,1.0,1.0,1.0
32.0,1.0,0.0,0.001,32.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,1.0,0.2,0.01,16.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.1,0.0005,8.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.1,0.001,16.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.0,0.0005,8.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.0,0.0005,8.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.1,0.001,16.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.1,0.001,16.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,5.0,0.2,0.01,32.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.0,0.001,16.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.0,0.001,8.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.2,0.001,16.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.0,0.001,16.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.0,0.001,8.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.0,0.01,16.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.0,0.01,16.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,5.0,0.1,0.001,8.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.0,0.01,16.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.0,0.01,16.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.1,0.001,8.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.2,0.0005,16.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.1,0.01,16.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,5.0,0.1,0.01,16.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.1,0.001,8.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.2,0.0005,16.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.2,0.001,32.0,10.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.2,0.001,32.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.2,0.0005,32.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.0,0.01,16.0,25.0,1.0,1.0,1.0,1.0,1.0
32.0,3.0,0.0,0.01,16.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.2,0.001,32.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,1.0,0.0,0.01,32.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.0,0.0005,16.0,25.0,1.0,1.0,1.0,1.0,1.0
32.0,5.0,0.0,0.01,32.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.2,0.0005,8.0,10.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.2,0.0005,8.0,10.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.0,0.01,32.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.0,0.01,32.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.0,0.0005,16.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.0,0.01,32.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,5.0,0.2,0.01,8.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,5.0,0.2,0.01,8.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,1.0,0.1,0.01,32.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,5.0,0.1,0.001,8.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.1,0.001,8.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.1,0.001,8.0,25.0,1.0,1.0,1.0,1.0,1.0
32.0,5.0,0.2,0.01,16.0,10.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.1,0.01,32.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.2,0.01,8.0,25.0,1.0,1.0,1.0,1.0,1.0
32.0,1.0,0.2,0.01,8.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.2,0.01,8.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.2,0.001,8.0,25.0,1.0,1.0,1.0,1.0,1.0
32.0,5.0,0.2,0.01,32.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,5.0,0.0,0.01,8.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.0,0.01,8.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.0,0.01,8.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.0,0.001,8.0,10.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.2,0.001,32.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.1,0.0005,16.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.1,0.001,32.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.2,0.01,8.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.2,0.001,16.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.0,0.001,32.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.2,0.001,16.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.1,0.001,16.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.0,0.001,32.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.2,0.001,8.0,10.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.1,0.001,16.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.1,0.001,16.0,25.0,1.0,1.0,1.0,1.0,1.0
32.0,5.0,0.1,0.001,32.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,5.0,0.0,0.01,16.0,10.0,1.0,1.0,1.0,1.0,1.0
32.0,5.0,0.0,0.001,16.0,25.0,1.0,1.0,1.0,1.0,1.0
32.0,5.0,0.2,0.0005,16.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.2,0.001,32.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.2,0.001,32.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,5.0,0.2,0.001,32.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,1.0,0.2,0.0005,16.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.2,0.001,32.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,5.0,0.1,0.001,32.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.1,0.0005,8.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.0,0.001,8.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.1,0.001,32.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.1,0.001,32.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.2,0.001,8.0,50.0,0.9166666666666666,0.9172494172494172,0.9305555555555557,0.9166666666666666,1.0
32.0,5.0,0.1,0.01,8.0,25.0,0.9166666666666666,0.9172494172494172,0.9305555555555557,0.9166666666666666,0.8571428571428571
128.0,5.0,0.1,0.01,16.0,10.0,0.9166666666666666,0.9172494172494172,0.9305555555555557,0.9166666666666666,0.9714285714285715
128.0,5.0,0.2,0.0005,8.0,50.0,0.9166666666666666,0.9172494172494172,0.9305555555555557,0.9166666666666666,0.9428571428571428
64.0,1.0,0.2,0.01,16.0,10.0,0.9166666666666666,0.9172494172494172,0.9305555555555557,0.9166666666666666,0.9714285714285715
64.0,3.0,0.2,0.0005,8.0,50.0,0.9166666666666666,0.9172494172494172,0.9305555555555557,0.9166666666666666,0.9714285714285715
128.0,3.0,0.1,0.0005,32.0,10.0,0.9166666666666666,0.9172494172494172,0.9305555555555557,0.9166666666666666,0.8571428571428571
64.0,1.0,0.2,0.01,16.0,25.0,0.9166666666666666,0.9172494172494172,0.9305555555555557,0.9166666666666666,1.0
