hidden_dim,num_blocks,dropout,lr,batch_size,epochs,accuracy,f1_score,precision,recall,auc_roc
32.0,3.0,0.0,0.01,32.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.1,0.001,16.0,10.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.1,0.01,32.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.1,0.0005,8.0,50.0,0.9545454545454546,0.9548325358851674,0.9590909090909091,0.9545454545454546,0.9487179487179488
64.0,1.0,0.2,0.01,32.0,25.0,0.9545454545454546,0.9548325358851674,0.9590909090909091,0.9545454545454546,0.9743589743589745
64.0,1.0,0.0,0.0005,8.0,25.0,0.9545454545454546,0.9548325358851674,0.9590909090909091,0.9545454545454546,0.9572649572649573
64.0,1.0,0.2,0.001,32.0,25.0,0.9545454545454546,0.9548325358851674,0.9590909090909091,0.9545454545454546,0.9914529914529914
64.0,5.0,0.1,0.01,16.0,10.0,0.9545454545454546,0.9548325358851674,0.9590909090909091,0.9545454545454546,1.0
64.0,3.0,0.0,0.01,32.0,50.0,0.9545454545454546,0.9548325358851674,0.9590909090909091,0.9545454545454546,0.9487179487179488
128.0,3.0,0.2,0.001,8.0,50.0,0.9545454545454546,0.9548325358851674,0.9590909090909091,0.9545454545454546,0.9658119658119658
128.0,3.0,0.0,0.01,16.0,50.0,0.9545454545454546,0.9548325358851674,0.9590909090909091,0.9545454545454546,0.9487179487179488
32.0,3.0,0.1,0.01,8.0,25.0,0.9545454545454546,0.9548325358851674,0.9590909090909091,0.9545454545454546,0.9401709401709402
32.0,1.0,0.2,0.001,8.0,50.0,0.9545454545454546,0.9548325358851674,0.9590909090909091,0.9545454545454546,1.0
128.0,5.0,0.0,0.0005,16.0,50.0,0.9545454545454546,0.9548325358851674,0.9590909090909091,0.9545454545454546,0.9914529914529914
64.0,1.0,0.0,0.01,16.0,25.0,0.9545454545454546,0.9540503069914834,0.9577922077922078,0.9545454545454546,0.9829059829059829
64.0,1.0,0.0,0.01,8.0,10.0,0.9545454545454546,0.9540503069914834,0.9577922077922078,0.9545454545454546,0.9316239316239315
32.0,5.0,0.1,0.01,32.0,25.0,0.9545454545454546,0.9540503069914834,0.9577922077922078,0.9545454545454546,1.0
128.0,1.0,0.0,0.001,8.0,50.0,0.9545454545454546,0.9540503069914834,0.9577922077922078,0.9545454545454546,1.0
32.0,3.0,0.1,0.01,8.0,50.0,0.9545454545454546,0.9540503069914834,0.9577922077922078,0.9545454545454546,0.9487179487179487
128.0,3.0,0.0,0.01,8.0,10.0,0.9545454545454546,0.9540503069914834,0.9577922077922078,0.9545454545454546,0.9658119658119657
32.0,3.0,0.2,0.01,32.0,10.0,0.9545454545454546,0.9540503069914834,0.9577922077922078,0.9545454545454546,0.923076923076923
32.0,3.0,0.2,0.0005,16.0,50.0,0.9545454545454546,0.9540503069914834,0.9577922077922078,0.9545454545454546,0.9658119658119657
64.0,5.0,0.2,0.01,8.0,10.0,0.9545454545454546,0.9540503069914834,0.9577922077922078,0.9545454545454546,0.9914529914529914
64.0,1.0,0.2,0.0005,8.0,50.0,0.9545454545454546,0.9540503069914834,0.9577922077922078,0.9545454545454546,0.9914529914529914
128.0,1.0,0.1,0.0005,8.0,50.0,0.9545454545454546,0.9540503069914834,0.9577922077922078,0.9545454545454546,0.9914529914529914
32.0,5.0,0.1,0.001,32.0,25.0,0.9545454545454546,0.9540503069914834,0.9577922077922078,0.9545454545454546,0.9572649572649572
128.0,3.0,0.1,0.01,32.0,50.0,0.9545454545454546,0.9540503069914834,0.9577922077922078,0.9545454545454546,0.9829059829059829
128.0,5.0,0.2,0.01,8.0,50.0,0.9545454545454546,0.9540503069914834,0.9577922077922078,0.9545454545454546,0.9914529914529914
128.0,5.0,0.1,0.001,8.0,25.0,0.9545454545454546,0.9540503069914834,0.9577922077922078,0.9545454545454546,1.0
128.0,3.0,0.1,0.01,16.0,10.0,0.9545454545454546,0.9540503069914834,0.9577922077922078,0.9545454545454546,0.9914529914529914
64.0,3.0,0.2,0.001,16.0,25.0,0.9090909090909091,0.9098484848484848,0.9256198347107438,0.9090909090909091,0.982905982905983
64.0,5.0,0.2,0.01,32.0,50.0,0.9090909090909091,0.9098484848484848,0.9256198347107438,0.9090909090909091,0.9743589743589743
64.0,3.0,0.2,0.001,16.0,50.0,0.9090909090909091,0.9098484848484848,0.9256198347107438,0.9090909090909091,0.9487179487179487
32.0,5.0,0.0,0.01,32.0,25.0,0.9090909090909091,0.9098484848484848,0.9256198347107438,0.9090909090909091,0.982905982905983
128.0,5.0,0.2,0.0005,16.0,25.0,0.9090909090909091,0.9098484848484848,0.9256198347107438,0.9090909090909091,0.9914529914529914
32.0,5.0,0.0,0.001,8.0,50.0,0.9090909090909091,0.9098484848484848,0.9256198347107438,0.9090909090909091,0.8803418803418803
32.0,5.0,0.0,0.01,32.0,10.0,0.9090909090909091,0.9098484848484848,0.9256198347107438,0.9090909090909091,0.9145299145299145
64.0,1.0,0.1,0.001,8.0,10.0,0.9090909090909091,0.9098484848484848,0.9256198347107438,0.9090909090909091,0.8717948717948718
128.0,5.0,0.0,0.01,32.0,50.0,0.9090909090909091,0.9098484848484848,0.9256198347107438,0.9090909090909091,0.9658119658119659
128.0,1.0,0.1,0.01,16.0,25.0,0.9090909090909091,0.9098484848484848,0.9256198347107438,0.9090909090909091,0.9230769230769231
64.0,5.0,0.0,0.01,16.0,10.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9658119658119658
128.0,3.0,0.2,0.0005,16.0,50.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9487179487179488
32.0,5.0,0.0,0.01,16.0,10.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9316239316239316
64.0,5.0,0.1,0.001,8.0,50.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9743589743589743
64.0,1.0,0.2,0.01,16.0,10.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9829059829059829
128.0,5.0,0.2,0.001,16.0,10.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9230769230769231
64.0,3.0,0.1,0.0005,16.0,50.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9658119658119658
32.0,1.0,0.1,0.01,16.0,50.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9401709401709402
128.0,1.0,0.1,0.01,16.0,50.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9487179487179487
64.0,1.0,0.1,0.0005,16.0,25.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9316239316239316
128.0,3.0,0.2,0.0005,8.0,50.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9059829059829061
128.0,1.0,0.2,0.0005,8.0,50.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9487179487179487
128.0,3.0,0.1,0.0005,16.0,50.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9401709401709402
