hidden_dim,num_blocks,dropout,lr,batch_size,epochs,accuracy,f1_score,precision,recall,auc_roc
32.0,1.0,0.2,0.0005,16.0,50.0,0.8888888888888888,0.8645833333333334,0.9019607843137254,0.8888888888888888,0.5333333333333332
64.0,3.0,0.1,0.01,32.0,10.0,0.8888888888888888,0.8645833333333334,0.9019607843137254,0.8888888888888888,0.6
128.0,5.0,0.1,0.01,8.0,10.0,0.8888888888888888,0.8645833333333334,0.9019607843137254,0.8888888888888888,0.5555555555555556
32.0,1.0,0.2,0.0005,8.0,10.0,0.8888888888888888,0.8645833333333334,0.9019607843137254,0.8888888888888888,0.4
32.0,3.0,0.0,0.0005,32.0,10.0,0.8888888888888888,0.8645833333333334,0.9019607843137254,0.8888888888888888,0.9333333333333333
32.0,1.0,0.1,0.001,16.0,25.0,0.8333333333333334,0.8193548387096775,0.8125,0.8333333333333334,0.42222222222222217
32.0,3.0,0.1,0.001,8.0,10.0,0.8333333333333334,0.8193548387096775,0.8125,0.8333333333333334,0.39999999999999997
32.0,5.0,0.1,0.0005,16.0,50.0,0.8333333333333334,0.8193548387096775,0.8125,0.8333333333333334,0.4888888888888888
32.0,3.0,0.2,0.001,8.0,10.0,0.8333333333333334,0.8193548387096775,0.8125,0.8333333333333334,0.7111111111111111
32.0,5.0,0.0,0.001,8.0,25.0,0.8333333333333334,0.8193548387096775,0.8125,0.8333333333333334,0.3555555555555555
64.0,1.0,0.2,0.001,8.0,10.0,0.8333333333333334,0.8193548387096775,0.8125,0.8333333333333334,0.37777777777777777
32.0,5.0,0.0,0.001,16.0,10.0,0.8333333333333334,0.8193548387096775,0.8125,0.8333333333333334,0.5777777777777777
32.0,1.0,0.0,0.0005,16.0,10.0,0.8333333333333334,0.8193548387096775,0.8125,0.8333333333333334,0.5555555555555556
128.0,5.0,0.0,0.01,16.0,10.0,0.7777777777777778,0.7976190476190476,0.8358974358974359,0.7777777777777778,0.5777777777777777
64.0,5.0,0.0,0.0005,16.0,25.0,0.7777777777777778,0.7976190476190476,0.8358974358974359,0.7777777777777778,0.6888888888888889
128.0,1.0,0.1,0.01,16.0,10.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.3111111111111111
32.0,1.0,0.0,0.01,8.0,10.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.6888888888888889
32.0,1.0,0.0,0.0005,32.0,50.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7333333333333334
