hidden_dim,num_blocks,dropout,lr,batch_size,epochs,accuracy,f1_score,precision,recall,auc_roc
64.0,1.0,0.1,0.001,16.0,25.0,0.92,0.92,0.92,0.92,0.9452495974235104
32.0,3.0,0.2,0.01,32.0,25.0,0.92,0.92,0.92,0.92,0.9452495974235104
64.0,1.0,0.1,0.01,32.0,10.0,0.92,0.92,0.92,0.92,0.9484702093397746
128.0,1.0,0.1,0.01,32.0,10.0,0.92,0.92,0.92,0.92,0.9500805152979066
128.0,1.0,0.0,0.001,32.0,10.0,0.92,0.92,0.92,0.92,0.9484702093397746
32.0,5.0,0.0,0.01,16.0,50.0,0.92,0.92,0.92,0.92,0.9436392914653784
128.0,1.0,0.1,0.001,32.0,25.0,0.92,0.92,0.92,0.92,0.9484702093397747
64.0,1.0,0.2,0.01,16.0,25.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.927536231884058
32.0,1.0,0.2,0.01,8.0,10.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.9146537842190016
64.0,3.0,0.0,0.001,16.0,10.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.9323671497584541
128.0,5.0,0.1,0.001,16.0,50.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.9388083735909823
64.0,1.0,0.0,0.001,16.0,25.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.9500805152979066
32.0,5.0,0.0,0.001,32.0,25.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.9436392914653784
128.0,5.0,0.0,0.001,16.0,50.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.9468599033816425
64.0,1.0,0.2,0.0005,16.0,25.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.9388083735909822
32.0,1.0,0.0,0.0005,16.0,50.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.9468599033816425
32.0,3.0,0.2,0.001,32.0,25.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.9436392914653784
128.0,1.0,0.2,0.001,8.0,50.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.9404186795491143
32.0,1.0,0.1,0.001,8.0,50.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.932367149758454
32.0,1.0,0.0,0.001,8.0,50.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.9500805152979066
128.0,1.0,0.1,0.0005,8.0,50.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.932367149758454
32.0,3.0,0.2,0.01,8.0,25.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.9210950080515298
64.0,3.0,0.2,0.0005,8.0,25.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.9355877616747182
64.0,3.0,0.1,0.001,8.0,25.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.930756843800322
128.0,5.0,0.0,0.001,16.0,10.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.9339774557165861
128.0,5.0,0.1,0.01,32.0,25.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.9371980676328502
128.0,1.0,0.0,0.01,32.0,25.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.9436392914653784
32.0,1.0,0.0,0.01,32.0,25.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.9484702093397746
32.0,5.0,0.0,0.0005,32.0,10.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.9484702093397746
128.0,5.0,0.1,0.0005,16.0,10.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.9291465378421899
64.0,3.0,0.2,0.001,32.0,10.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.9355877616747181
64.0,3.0,0.0,0.0005,32.0,25.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.9404186795491144
64.0,1.0,0.1,0.0005,32.0,10.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.9388083735909822
64.0,3.0,0.1,0.0005,32.0,10.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.9355877616747182
32.0,3.0,0.0,0.0005,32.0,25.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.9420289855072465
32.0,3.0,0.0,0.001,32.0,10.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.9452495974235104
64.0,1.0,0.0,0.001,32.0,10.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.9452495974235104
64.0,1.0,0.2,0.001,32.0,50.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.9468599033816425
64.0,1.0,0.1,0.0005,8.0,10.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.9291465378421899
32.0,1.0,0.1,0.001,32.0,10.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.9371980676328502
128.0,3.0,0.0,0.01,16.0,25.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.9339774557165861
64.0,3.0,0.1,0.001,32.0,50.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.9484702093397746
32.0,3.0,0.1,0.01,8.0,25.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.9259259259259259
32.0,1.0,0.0,0.0005,16.0,10.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.927536231884058
128.0,5.0,0.2,0.01,16.0,50.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.9388083735909822
64.0,5.0,0.2,0.0005,32.0,50.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.9452495974235104
32.0,5.0,0.0,0.01,16.0,25.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.9355877616747182
128.0,5.0,0.1,0.001,32.0,10.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.9404186795491144
32.0,1.0,0.1,0.0005,32.0,50.0,0.9,0.900120433560819,0.9009615384615384,0.9,0.9420289855072463
32.0,3.0,0.0,0.0005,32.0,50.0,0.9,0.8997979797979798,0.9003246753246753,0.9,0.9404186795491143
32.0,5.0,0.0,0.0005,8.0,10.0,0.9,0.8997979797979798,0.9003246753246753,0.9,0.9259259259259258
128.0,1.0,0.2,0.01,32.0,50.0,0.9,0.8997979797979798,0.9003246753246753,0.9,0.9484702093397746
128.0,5.0,0.0,0.001,32.0,25.0,0.9,0.8997979797979798,0.9003246753246753,0.9,0.9404186795491143
128.0,3.0,0.1,0.01,32.0,50.0,0.9,0.8997979797979798,0.9003246753246753,0.9,0.9468599033816425
128.0,1.0,0.2,0.001,8.0,10.0,0.9,0.8997979797979798,0.9003246753246753,0.9,0.9371980676328502
128.0,3.0,0.1,0.001,32.0,10.0,0.9,0.8997979797979798,0.9003246753246753,0.9,0.9452495974235104
128.0,5.0,0.1,0.0005,8.0,25.0,0.9,0.8991432068543452,0.905,0.9,0.9388083735909822
32.0,1.0,0.0,0.0005,16.0,25.0,0.88,0.8801923076923077,0.8832,0.88,0.9371980676328502
32.0,5.0,0.0,0.0005,16.0,25.0,0.88,0.8801923076923077,0.8832,0.88,0.9404186795491143
32.0,1.0,0.1,0.0005,16.0,10.0,0.88,0.8801923076923077,0.8832,0.88,0.9130434782608696
128.0,3.0,0.1,0.0005,16.0,10.0,0.88,0.8801923076923077,0.8832,0.88,0.9533011272141707
64.0,5.0,0.2,0.0005,16.0,10.0,0.88,0.8801923076923077,0.8832,0.88,0.9371980676328502
32.0,3.0,0.2,0.0005,16.0,25.0,0.88,0.8801923076923077,0.8832,0.88,0.9388083735909822
32.0,1.0,0.0,0.0005,8.0,10.0,0.88,0.8801923076923077,0.8832,0.88,0.9227053140096618
128.0,1.0,0.0,0.001,16.0,10.0,0.88,0.8801923076923077,0.8832,0.88,0.9452495974235104
32.0,5.0,0.1,0.001,16.0,10.0,0.88,0.8801923076923077,0.8832,0.88,0.9259259259259259
32.0,5.0,0.2,0.01,16.0,10.0,0.88,0.8801923076923077,0.8832,0.88,0.9323671497584541
64.0,3.0,0.2,0.0005,32.0,10.0,0.88,0.8801923076923077,0.8832,0.88,0.9468599033816425
32.0,5.0,0.1,0.01,16.0,10.0,0.88,0.8801923076923077,0.8832,0.88,0.9420289855072463
32.0,3.0,0.1,0.01,16.0,10.0,0.88,0.8801923076923077,0.8832,0.88,0.9404186795491143
64.0,3.0,0.1,0.001,32.0,10.0,0.88,0.8801923076923077,0.8832,0.88,0.9436392914653784
128.0,1.0,0.1,0.001,32.0,10.0,0.88,0.8801923076923077,0.8832,0.88,0.9436392914653784
64.0,1.0,0.2,0.001,32.0,10.0,0.88,0.8801923076923077,0.8832,0.88,0.9436392914653784
64.0,1.0,0.0,0.01,16.0,10.0,0.88,0.8801923076923077,0.8832,0.88,0.9436392914653784
128.0,3.0,0.2,0.001,32.0,10.0,0.88,0.8801923076923077,0.8832,0.88,0.9484702093397746
128.0,5.0,0.2,0.001,32.0,10.0,0.88,0.8801923076923077,0.8832,0.88,0.9371980676328502
64.0,1.0,0.0,0.01,32.0,10.0,0.88,0.8801923076923077,0.8832,0.88,0.9468599033816425
128.0,3.0,0.2,0.001,16.0,10.0,0.88,0.8801923076923077,0.8832,0.88,0.9355877616747181
128.0,1.0,0.0,0.01,32.0,10.0,0.88,0.8801923076923077,0.8832,0.88,0.9420289855072463
64.0,3.0,0.1,0.01,32.0,10.0,0.88,0.8801923076923077,0.8832,0.88,0.9404186795491143
32.0,3.0,0.2,0.001,16.0,10.0,0.88,0.8801923076923077,0.8832,0.88,0.9323671497584541
32.0,1.0,0.2,0.01,32.0,10.0,0.88,0.8801923076923077,0.8832,0.88,0.9388083735909822
