hidden_dim,num_blocks,dropout,lr,batch_size,epochs,accuracy,f1_score,precision,recall,auc_roc
32.0,3.0,0.2,0.0005,32.0,10.0,0.8333333333333334,0.8306905370843991,0.8287526427061311,0.8333333333333334,0.810515873015873
32.0,5.0,0.0,0.01,32.0,10.0,0.8148148148148148,0.8196789660204294,0.826984126984127,0.8148148148148148,0.7450396825396824
64.0,5.0,0.2,0.001,8.0,10.0,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.7827380952380952
32.0,3.0,0.0,0.001,8.0,25.0,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.7251984126984127
32.0,5.0,0.1,0.001,8.0,10.0,0.8148148148148148,0.8085506225041109,0.805050505050505,0.8148148148148148,0.7906746031746033
32.0,3.0,0.0,0.0005,8.0,10.0,0.8148148148148148,0.8085506225041109,0.805050505050505,0.8148148148148148,0.7867063492063493
64.0,5.0,0.0,0.0005,32.0,50.0,0.7962962962962963,0.803840877914952,0.8165242165242165,0.7962962962962963,0.7827380952380952
128.0,5.0,0.0,0.0005,32.0,25.0,0.7962962962962963,0.803840877914952,0.8165242165242165,0.7962962962962963,0.7628968253968254
32.0,5.0,0.0,0.01,8.0,50.0,0.7962962962962963,0.803840877914952,0.8165242165242165,0.7962962962962963,0.7728174603174602
32.0,5.0,0.0,0.0005,16.0,50.0,0.7962962962962963,0.803840877914952,0.8165242165242165,0.7962962962962963,0.8005952380952381
32.0,1.0,0.1,0.0005,8.0,10.0,0.8148148148148148,0.8005050505050505,0.7983091787439613,0.8148148148148148,0.7827380952380953
32.0,1.0,0.0,0.0005,32.0,10.0,0.7962962962962963,0.7991432396251673,0.8025849489264123,0.7962962962962963,0.7212301587301587
64.0,1.0,0.2,0.001,32.0,25.0,0.7962962962962963,0.7991432396251673,0.8025849489264123,0.7962962962962963,0.7232142857142858
64.0,3.0,0.0,0.001,16.0,25.0,0.7962962962962963,0.7991432396251673,0.8025849489264123,0.7962962962962963,0.7351190476190476
128.0,3.0,0.1,0.01,8.0,25.0,0.7962962962962963,0.7991432396251673,0.8025849489264123,0.7962962962962963,0.7589285714285714
32.0,3.0,0.0,0.01,8.0,10.0,0.7962962962962963,0.7930662119920432,0.7904627672069532,0.7962962962962963,0.7946428571428572
64.0,5.0,0.0,0.001,8.0,25.0,0.7962962962962963,0.7930662119920432,0.7904627672069532,0.7962962962962963,0.7291666666666666
32.0,5.0,0.1,0.01,8.0,10.0,0.7962962962962963,0.7930662119920432,0.7904627672069532,0.7962962962962963,0.6974206349206349
32.0,5.0,0.0,0.01,8.0,10.0,0.7962962962962963,0.7930662119920432,0.7904627672069532,0.7962962962962963,0.7430555555555556
32.0,5.0,0.1,0.01,8.0,25.0,0.7962962962962963,0.7930662119920432,0.7904627672069532,0.7962962962962963,0.7470238095238095
128.0,3.0,0.1,0.001,16.0,10.0,0.7777777777777778,0.7914529914529914,0.8240740740740741,0.7777777777777778,0.7331349206349207
64.0,3.0,0.1,0.001,8.0,25.0,0.7777777777777778,0.7914529914529914,0.8240740740740741,0.7777777777777778,0.7986111111111112
32.0,3.0,0.1,0.01,16.0,50.0,0.7777777777777778,0.7914529914529914,0.8240740740740741,0.7777777777777778,0.7946428571428571
64.0,3.0,0.2,0.0005,32.0,25.0,0.7777777777777778,0.788095238095238,0.8070175438596492,0.7777777777777778,0.7410714285714286
128.0,5.0,0.1,0.0005,8.0,10.0,0.7777777777777778,0.788095238095238,0.8070175438596492,0.7777777777777778,0.7291666666666666
