hidden_dim,num_blocks,dropout,lr,batch_size,epochs,accuracy,f1_score,precision,recall,auc_roc
128.0,5.0,0.2,0.0005,16.0,50.0,0.9571428571428572,0.9548972766364071,0.9592857142857144,0.9571428571428572,0.9473684210526315
32.0,3.0,0.1,0.01,32.0,50.0,0.9428571428571428,0.9386308606647589,0.9466042154566744,0.9428571428571428,0.9163292847503374
32.0,3.0,0.0,0.0005,16.0,50.0,0.9285714285714286,0.9295781242683897,0.9311224489795918,0.9285714285714286,0.9757085020242915
64.0,1.0,0.0,0.0005,32.0,25.0,0.9285714285714286,0.9295781242683897,0.9311224489795918,0.9285714285714286,0.9473684210526316
64.0,3.0,0.1,0.0005,16.0,25.0,0.9142857142857143,0.9184415584415585,0.9300142698588869,0.9142857142857143,0.9163292847503374
64.0,1.0,0.0,0.001,16.0,50.0,0.9142857142857143,0.9184415584415585,0.9300142698588869,0.9142857142857143,0.9433198380566801
128.0,3.0,0.2,0.0005,16.0,10.0,0.9142857142857143,0.9165816326530611,0.9208658008658009,0.9142857142857143,0.9352226720647774
64.0,3.0,0.2,0.0005,8.0,50.0,0.9142857142857143,0.9165816326530611,0.9208658008658009,0.9142857142857143,0.8920377867746289
128.0,5.0,0.0,0.0005,16.0,25.0,0.9142857142857143,0.9165816326530611,0.9208658008658009,0.9142857142857143,0.970310391363023
128.0,5.0,0.2,0.001,32.0,25.0,0.9142857142857143,0.9165816326530611,0.9208658008658009,0.9142857142857143,0.9446693657219972
64.0,1.0,0.0,0.0005,32.0,50.0,0.9142857142857143,0.9165816326530611,0.9208658008658009,0.9142857142857143,0.9257759784075573
128.0,3.0,0.1,0.0005,16.0,50.0,0.9142857142857143,0.9165816326530611,0.9208658008658009,0.9142857142857143,0.9325236167341431
128.0,3.0,0.0,0.001,32.0,10.0,0.9142857142857143,0.9114532019704433,0.9110279550957516,0.9142857142857143,0.9298245614035088
64.0,5.0,0.0,0.001,32.0,50.0,0.9142857142857143,0.9114532019704433,0.9110279550957516,0.9142857142857143,0.8785425101214576
64.0,1.0,0.0,0.001,8.0,50.0,0.9142857142857143,0.9079462909971384,0.9126203486859226,0.9142857142857143,0.9446693657219973
64.0,3.0,0.1,0.001,32.0,50.0,0.9142857142857143,0.9079462909971384,0.9126203486859226,0.9142857142857143,0.8879892037786775
128.0,5.0,0.2,0.001,8.0,25.0,0.9142857142857143,0.9079462909971384,0.9126203486859226,0.9142857142857143,0.9379217273954117
32.0,3.0,0.0,0.0005,16.0,25.0,0.9,0.905770938147381,0.9224358974358974,0.9,0.9176788124156546
64.0,5.0,0.0,0.0005,16.0,25.0,0.9,0.903821062441752,0.9118055555555555,0.9,0.9419703103913629
128.0,3.0,0.1,0.001,8.0,10.0,0.9,0.903821062441752,0.9118055555555555,0.9,0.9284750337381917
64.0,3.0,0.0,0.0005,16.0,25.0,0.9,0.903821062441752,0.9118055555555555,0.9,0.9338731443994601
128.0,5.0,0.0,0.0005,32.0,10.0,0.9,0.903821062441752,0.9118055555555555,0.9,0.9082321187584345
128.0,5.0,0.2,0.0005,32.0,50.0,0.9,0.9014093739757456,0.9033163265306122,0.9,0.8947368421052632
32.0,3.0,0.1,0.001,32.0,50.0,0.9,0.9014093739757456,0.9033163265306122,0.9,0.9352226720647774
128.0,1.0,0.0,0.0005,16.0,10.0,0.9,0.9014093739757456,0.9033163265306122,0.9,0.9271255060728745
64.0,1.0,0.1,0.0005,16.0,25.0,0.9,0.9014093739757456,0.9033163265306122,0.9,0.9433198380566802
64.0,5.0,0.0,0.001,8.0,50.0,0.9,0.9014093739757456,0.9033163265306122,0.9,0.9568151147098516
128.0,3.0,0.1,0.0005,16.0,25.0,0.9,0.9014093739757456,0.9033163265306122,0.9,0.932523616734143
128.0,5.0,0.0,0.001,8.0,50.0,0.9,0.9014093739757456,0.9033163265306122,0.9,0.9163292847503374
64.0,3.0,0.1,0.0005,8.0,50.0,0.9,0.8984347826086956,0.8974137931034483,0.9,0.912280701754386
128.0,1.0,0.0,0.001,32.0,10.0,0.9,0.8984347826086956,0.8974137931034483,0.9,0.9284750337381916
64.0,1.0,0.0,0.001,32.0,50.0,0.9,0.8984347826086956,0.8974137931034483,0.9,0.9365721997300944
128.0,3.0,0.0,0.0005,8.0,50.0,0.9,0.8984347826086956,0.8974137931034483,0.9,0.9406207827260459
128.0,5.0,0.2,0.0005,8.0,25.0,0.9,0.8984347826086956,0.8974137931034483,0.9,0.8960863697705803
128.0,3.0,0.0,0.0005,8.0,25.0,0.9,0.8984347826086956,0.8974137931034483,0.9,0.9298245614035087
32.0,5.0,0.0,0.0005,32.0,50.0,0.8857142857142857,0.8948469954019345,0.9292517006802722,0.8857142857142857,0.9230769230769231
64.0,1.0,0.1,0.0005,8.0,25.0,0.9,0.8947603121516164,0.895,0.9,0.921727395411606
128.0,1.0,0.2,0.0005,32.0,50.0,0.9,0.8947603121516164,0.895,0.9,0.8947368421052632
128.0,3.0,0.1,0.0005,16.0,10.0,0.9,0.8947603121516164,0.895,0.9,0.893387314439946
128.0,1.0,0.1,0.001,32.0,25.0,0.8857142857142857,0.8932539682539683,0.9156125608137992,0.8857142857142857,0.941970310391363
128.0,1.0,0.0,0.001,16.0,50.0,0.8857142857142857,0.8932539682539683,0.9156125608137992,0.8857142857142857,0.9352226720647774
64.0,1.0,0.1,0.001,8.0,50.0,0.8857142857142857,0.8932539682539683,0.9156125608137992,0.8857142857142857,0.9203778677462888
128.0,5.0,0.0,0.0005,8.0,50.0,0.8857142857142857,0.8932539682539683,0.9156125608137992,0.8857142857142857,0.940620782726046
128.0,5.0,0.0,0.0005,32.0,25.0,0.8857142857142857,0.8932539682539683,0.9156125608137992,0.8857142857142857,0.9230769230769231
32.0,1.0,0.1,0.01,8.0,50.0,0.8857142857142857,0.8912554112554112,0.9037260187093705,0.8857142857142857,0.9244264507422403
128.0,1.0,0.2,0.001,8.0,50.0,0.8857142857142857,0.8912554112554112,0.9037260187093705,0.8857142857142857,0.9473684210526315
32.0,1.0,0.1,0.001,8.0,50.0,0.8857142857142857,0.8912554112554112,0.9037260187093705,0.8857142857142857,0.921727395411606
32.0,3.0,0.0,0.0005,32.0,50.0,0.8857142857142857,0.8912554112554112,0.9037260187093705,0.8857142857142857,0.9203778677462887
64.0,5.0,0.0,0.0005,32.0,10.0,0.8857142857142857,0.8912554112554112,0.9037260187093705,0.8857142857142857,0.8974358974358975
128.0,1.0,0.0,0.001,16.0,25.0,0.8857142857142857,0.8912554112554112,0.9037260187093705,0.8857142857142857,0.9500674763832659
32.0,5.0,0.0,0.001,16.0,50.0,0.8857142857142857,0.8912554112554112,0.9037260187093705,0.8857142857142857,0.8893387314439946
128.0,3.0,0.2,0.0005,32.0,50.0,0.8857142857142857,0.8912554112554112,0.9037260187093705,0.8857142857142857,0.9365721997300944
128.0,1.0,0.1,0.001,8.0,50.0,0.9,0.8901960784313725,0.8979838709677419,0.9,0.8893387314439947
128.0,5.0,0.1,0.001,32.0,50.0,0.9,0.8901960784313725,0.8979838709677419,0.9,0.9311740890688259
64.0,1.0,0.1,0.0005,16.0,50.0,0.9,0.8901960784313725,0.8979838709677419,0.9,0.9257759784075573
128.0,5.0,0.2,0.001,32.0,50.0,0.8857142857142857,0.8887755102040816,0.8936796536796536,0.8857142857142857,0.9311740890688258
64.0,3.0,0.1,0.001,32.0,25.0,0.8857142857142857,0.8887755102040816,0.8936796536796536,0.8857142857142857,0.9176788124156544
32.0,5.0,0.0,0.001,32.0,50.0,0.8857142857142857,0.8887755102040816,0.8936796536796536,0.8857142857142857,0.9325236167341431
128.0,3.0,0.0,0.0005,32.0,50.0,0.8857142857142857,0.8887755102040816,0.8936796536796536,0.8857142857142857,0.8947368421052632
64.0,1.0,0.2,0.001,8.0,50.0,0.8857142857142857,0.8887755102040816,0.8936796536796536,0.8857142857142857,0.9257759784075573
128.0,1.0,0.1,0.0005,16.0,50.0,0.8857142857142857,0.8887755102040816,0.8936796536796536,0.8857142857142857,0.9338731443994601
64.0,3.0,0.2,0.001,16.0,25.0,0.8857142857142857,0.8887755102040816,0.8936796536796536,0.8857142857142857,0.9122807017543859
128.0,3.0,0.1,0.001,16.0,50.0,0.8857142857142857,0.8887755102040816,0.8936796536796536,0.8857142857142857,0.9095816464237516
128.0,5.0,0.2,0.001,8.0,10.0,0.8857142857142857,0.8887755102040816,0.8936796536796536,0.8857142857142857,0.9271255060728746
64.0,5.0,0.2,0.0005,16.0,50.0,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.9257759784075574
128.0,5.0,0.1,0.001,16.0,25.0,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.9284750337381916
64.0,3.0,0.0,0.001,32.0,50.0,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.902834008097166
64.0,5.0,0.0,0.0005,32.0,50.0,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.951417004048583
128.0,1.0,0.0,0.001,32.0,50.0,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.9041835357624831
128.0,1.0,0.1,0.001,32.0,50.0,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.921727395411606
128.0,1.0,0.2,0.01,16.0,25.0,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.9163292847503374
64.0,1.0,0.1,0.0005,32.0,25.0,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.9203778677462888
32.0,1.0,0.1,0.0005,32.0,50.0,0.9,0.8844715093518921,0.9109375,0.9,0.9163292847503374
64.0,3.0,0.1,0.0005,16.0,50.0,0.8857142857142857,0.8819376026272577,0.8803433854281312,0.8857142857142857,0.9365721997300944
64.0,3.0,0.0,0.001,32.0,10.0,0.8857142857142857,0.8819376026272577,0.8803433854281312,0.8857142857142857,0.8906882591093117
64.0,5.0,0.2,0.0005,32.0,25.0,0.8857142857142857,0.8819376026272577,0.8803433854281312,0.8857142857142857,0.8893387314439946
32.0,1.0,0.1,0.0005,8.0,50.0,0.8714285714285714,0.8808593275882995,0.9094285714285714,0.8714285714285714,0.93387314439946
128.0,1.0,0.1,0.0005,32.0,25.0,0.8714285714285714,0.8808593275882995,0.9094285714285714,0.8714285714285714,0.9581646423751687
128.0,5.0,0.2,0.0005,16.0,25.0,0.8714285714285714,0.8808593275882995,0.9094285714285714,0.8714285714285714,0.9433198380566802
128.0,5.0,0.0,0.001,16.0,50.0,0.8714285714285714,0.8808593275882995,0.9094285714285714,0.8714285714285714,0.9365721997300944
128.0,5.0,0.2,0.01,32.0,50.0,0.8714285714285714,0.8808593275882995,0.9094285714285714,0.8714285714285714,0.9352226720647773
128.0,1.0,0.2,0.001,32.0,50.0,0.8714285714285714,0.8808593275882995,0.9094285714285714,0.8714285714285714,0.9379217273954116
128.0,5.0,0.0,0.001,32.0,10.0,0.8714285714285714,0.8788483490466327,0.8964590964590964,0.8714285714285714,0.9244264507422402
128.0,5.0,0.1,0.0005,32.0,10.0,0.8714285714285714,0.8788483490466327,0.8964590964590964,0.8714285714285714,0.9392712550607287
128.0,1.0,0.1,0.0005,8.0,25.0,0.8714285714285714,0.8788483490466327,0.8964590964590964,0.8714285714285714,0.9338731443994602
128.0,3.0,0.1,0.0005,32.0,25.0,0.8714285714285714,0.8788483490466327,0.8964590964590964,0.8714285714285714,0.9365721997300944
128.0,5.0,0.1,0.0005,8.0,50.0,0.8714285714285714,0.8788483490466327,0.8964590964590964,0.8714285714285714,0.8974358974358975
128.0,1.0,0.0,0.001,32.0,25.0,0.8714285714285714,0.8788483490466327,0.8964590964590964,0.8714285714285714,0.9149797570850202
64.0,5.0,0.0,0.0005,16.0,10.0,0.8714285714285714,0.8788483490466327,0.8964590964590964,0.8714285714285714,0.8825910931174089
128.0,5.0,0.1,0.0005,16.0,50.0,0.8714285714285714,0.8788483490466327,0.8964590964590964,0.8714285714285714,0.9473684210526316
64.0,1.0,0.0,0.0005,16.0,50.0,0.8714285714285714,0.8788483490466327,0.8964590964590964,0.8714285714285714,0.9176788124156545
128.0,1.0,0.0,0.01,8.0,50.0,0.8857142857142857,0.877261721329518,0.8786364819151704,0.8857142857142857,0.9257759784075573
