depth,dim,heads,dropout,ffn_d_hidden,residual_dropout,n_blocks,d_token,accuracy,f1_score,precision,recall,auc_roc
5.0,64.0,4.0,0.2,6.0,0.1,2.0,8.0,0.9,0.8,1.0,0.6666666666666666,0.8571428571428571
5.0,32.0,4.0,0.2,4.0,0.1,2.0,8.0,0.9,0.8,1.0,0.6666666666666666,0.8571428571428571
5.0,32.0,2.0,0.2,8.0,0.1,2.0,8.0,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8571428571428571
5.0,64.0,4.0,0.3,8.0,0.0,2.0,8.0,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8571428571428571
5.0,64.0,2.0,0.1,4.0,0.1,2.0,8.0,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8571428571428571
3.0,32.0,4.0,0.3,8.0,0.0,2.0,8.0,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8571428571428571
3.0,64.0,4.0,0.1,4.0,0.1,2.0,8.0,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8571428571428571
5.0,64.0,4.0,0.3,4.0,0.1,2.0,8.0,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8571428571428571
5.0,32.0,2.0,0.1,6.0,0.1,2.0,8.0,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8571428571428571
5.0,64.0,4.0,0.1,6.0,0.0,2.0,8.0,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8095238095238095
3.0,64.0,4.0,0.3,6.0,0.1,2.0,8.0,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8571428571428571
5.0,64.0,2.0,0.1,6.0,0.0,2.0,8.0,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8571428571428571
3.0,64.0,2.0,0.1,4.0,0.0,2.0,8.0,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8571428571428571
3.0,64.0,4.0,0.1,4.0,0.0,2.0,8.0,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8571428571428571
5.0,32.0,4.0,0.2,8.0,0.1,2.0,8.0,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8571428571428571
3.0,32.0,2.0,0.2,4.0,0.0,2.0,8.0,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8571428571428571
3.0,64.0,4.0,0.2,4.0,0.1,2.0,8.0,0.7,0.5714285714285714,0.5,0.6666666666666666,0.8095238095238095
5.0,64.0,4.0,0.2,4.0,0.0,2.0,8.0,0.6,0.5,0.4,0.6666666666666666,0.8571428571428571
3.0,32.0,4.0,0.3,6.0,0.0,2.0,8.0,0.8,0.5,1.0,0.3333333333333333,0.8571428571428571
5.0,32.0,4.0,0.1,6.0,0.1,2.0,8.0,0.3,0.46153846153846156,0.3,1.0,0.8571428571428571
3.0,64.0,4.0,0.1,6.0,0.1,2.0,8.0,0.3,0.46153846153846156,0.3,1.0,0.7619047619047619
3.0,32.0,4.0,0.1,6.0,0.1,2.0,8.0,0.3,0.46153846153846156,0.3,1.0,0.8571428571428571
5.0,64.0,2.0,0.1,6.0,0.1,2.0,8.0,0.3,0.46153846153846156,0.3,1.0,0.8095238095238095
3.0,32.0,2.0,0.3,4.0,0.1,2.0,8.0,0.3,0.46153846153846156,0.3,1.0,0.8095238095238095
3.0,64.0,2.0,0.1,6.0,0.1,2.0,8.0,0.3,0.46153846153846156,0.3,1.0,0.8095238095238095
5.0,32.0,2.0,0.3,8.0,0.1,2.0,8.0,0.3,0.46153846153846156,0.3,1.0,0.8095238095238095
5.0,32.0,4.0,0.3,4.0,0.1,2.0,8.0,0.3,0.46153846153846156,0.3,1.0,0.6190476190476191
3.0,64.0,4.0,0.3,4.0,0.1,2.0,8.0,0.3,0.46153846153846156,0.3,1.0,0.8571428571428571
