depth,dim,heads,dropout,ffn_d_hidden,residual_dropout,n_blocks,d_token,accuracy,f1_score,precision,recall,auc_roc
5.0,64.0,4.0,0.3,4.0,0.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0
3.0,32.0,4.0,0.3,4.0,0.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0
3.0,32.0,2.0,0.2,4.0,0.1,2.0,8.0,1.0,1.0,1.0,1.0,1.0
3.0,32.0,2.0,0.1,4.0,0.1,2.0,8.0,0.9,0.9230769230769231,0.8571428571428571,1.0,1.0
3.0,64.0,4.0,0.1,4.0,0.1,2.0,8.0,0.9,0.9230769230769231,0.8571428571428571,1.0,0.9166666666666666
5.0,64.0,4.0,0.3,4.0,0.1,2.0,8.0,0.9,0.9230769230769231,0.8571428571428571,1.0,0.9583333333333334
3.0,64.0,4.0,0.3,4.0,0.1,2.0,8.0,0.9,0.9230769230769231,0.8571428571428571,1.0,0.875
5.0,64.0,2.0,0.3,4.0,0.1,2.0,8.0,0.9,0.9230769230769231,0.8571428571428571,1.0,0.9166666666666666
3.0,32.0,4.0,0.2,4.0,0.1,2.0,8.0,0.9,0.9230769230769231,0.8571428571428571,1.0,0.875
5.0,32.0,2.0,0.2,4.0,0.1,2.0,8.0,0.9,0.9230769230769231,0.8571428571428571,1.0,0.9583333333333334
3.0,64.0,2.0,0.2,4.0,0.1,2.0,8.0,0.9,0.9230769230769231,0.8571428571428571,1.0,0.8333333333333334
5.0,64.0,4.0,0.1,4.0,0.1,2.0,8.0,0.9,0.9230769230769231,0.8571428571428571,1.0,0.9583333333333334
5.0,32.0,4.0,0.1,4.0,0.1,2.0,8.0,0.9,0.9230769230769231,0.8571428571428571,1.0,0.9166666666666666
3.0,64.0,2.0,0.1,4.0,0.1,2.0,8.0,0.9,0.9230769230769231,0.8571428571428571,1.0,0.9166666666666666
5.0,32.0,2.0,0.1,6.0,0.1,2.0,8.0,0.9,0.9230769230769231,0.8571428571428571,1.0,0.875
3.0,64.0,2.0,0.1,4.0,0.0,2.0,8.0,0.9,0.9230769230769231,0.8571428571428571,1.0,0.9166666666666666
