depth,dim,heads,dropout,accuracy,f1_score
3.0,64.0,2.0,0.1,0.75,0.8
5.0,32.0,2.0,0.3,0.7083333333333334,0.7741935483870968
3.0,64.0,4.0,0.1,0.7083333333333334,0.7586206896551724
3.0,32.0,2.0,0.2,0.625,0.7272727272727273
3.0,32.0,4.0,0.2,0.5833333333333334,0.7222222222222222
3.0,32.0,4.0,0.3,0.5833333333333334,0.7222222222222222
5.0,32.0,2.0,0.1,0.6666666666666666,0.7142857142857143
3.0,64.0,4.0,0.3,0.625,0.7096774193548387
5.0,32.0,4.0,0.1,0.625,0.7096774193548387
5.0,64.0,4.0,0.2,0.5416666666666666,0.7027027027027027
5.0,32.0,4.0,0.3,0.5416666666666666,0.7027027027027027
5.0,64.0,2.0,0.3,0.5416666666666666,0.7027027027027027
3.0,32.0,2.0,0.3,0.5416666666666666,0.7027027027027027
5.0,64.0,4.0,0.3,0.5416666666666666,0.7027027027027027
3.0,64.0,4.0,0.2,0.5416666666666666,0.7027027027027027
5.0,64.0,2.0,0.2,0.5416666666666666,0.7027027027027027
5.0,32.0,2.0,0.2,0.5416666666666666,0.7027027027027027
3.0,64.0,2.0,0.2,0.5416666666666666,0.7027027027027027
5.0,64.0,4.0,0.1,0.5416666666666666,0.7027027027027027
3.0,32.0,4.0,0.1,0.5416666666666666,0.7027027027027027
5.0,32.0,4.0,0.2,0.6666666666666666,0.6923076923076923
3.0,64.0,2.0,0.3,0.5,0.6666666666666666
3.0,32.0,2.0,0.1,0.5,0.6666666666666666
5.0,64.0,2.0,0.1,0.5833333333333334,0.6428571428571429
