depth,dim,heads,dropout,ffn_d_hidden,residual_dropout,n_blocks,d_token,accuracy,f1_score,precision,recall,auc_roc
5.0,32.0,2.0,0.1,8.0,0.1,2.0,8.0,0.8518518518518519,0.9,0.8181818181818182,1.0,0.8580246913580247
5.0,32.0,2.0,0.2,6.0,0.1,2.0,8.0,0.8518518518518519,0.9,0.8181818181818182,1.0,0.845679012345679
5.0,32.0,4.0,0.3,8.0,0.1,2.0,8.0,0.8518518518518519,0.9,0.8181818181818182,1.0,0.7345679012345679
5.0,64.0,4.0,0.1,4.0,0.0,2.0,8.0,0.8518518518518519,0.9,0.8181818181818182,1.0,0.7962962962962964
5.0,64.0,4.0,0.1,4.0,0.1,2.0,8.0,0.8518518518518519,0.9,0.8181818181818182,1.0,0.7777777777777778
5.0,64.0,2.0,0.2,4.0,0.1,2.0,8.0,0.8518518518518519,0.8947368421052632,0.85,0.9444444444444444,0.7283950617283951
5.0,32.0,4.0,0.2,8.0,0.1,2.0,8.0,0.8518518518518519,0.8947368421052632,0.85,0.9444444444444444,0.7901234567901235
5.0,64.0,4.0,0.3,4.0,0.1,2.0,8.0,0.8518518518518519,0.8947368421052632,0.85,0.9444444444444444,0.808641975308642
5.0,32.0,4.0,0.1,4.0,0.1,2.0,8.0,0.8148148148148148,0.8780487804878049,0.782608695652174,1.0,0.8148148148148148
3.0,64.0,2.0,0.1,4.0,0.1,2.0,8.0,0.8148148148148148,0.8780487804878049,0.782608695652174,1.0,0.8456790123456791
5.0,32.0,2.0,0.3,8.0,0.1,2.0,8.0,0.8148148148148148,0.8780487804878049,0.782608695652174,1.0,0.8395061728395061
5.0,32.0,2.0,0.2,8.0,0.1,2.0,8.0,0.8148148148148148,0.8780487804878049,0.782608695652174,1.0,0.8148148148148149
5.0,64.0,2.0,0.2,8.0,0.0,2.0,8.0,0.8148148148148148,0.8780487804878049,0.782608695652174,1.0,0.808641975308642
3.0,64.0,4.0,0.2,8.0,0.0,2.0,8.0,0.8148148148148148,0.8780487804878049,0.782608695652174,1.0,0.7716049382716049
5.0,64.0,4.0,0.2,8.0,0.0,2.0,8.0,0.8148148148148148,0.8780487804878049,0.782608695652174,1.0,0.808641975308642
3.0,64.0,2.0,0.1,8.0,0.1,2.0,8.0,0.8148148148148148,0.8717948717948718,0.8095238095238095,0.9444444444444444,0.845679012345679
5.0,64.0,2.0,0.3,4.0,0.1,2.0,8.0,0.8148148148148148,0.8717948717948718,0.8095238095238095,0.9444444444444444,0.845679012345679
3.0,64.0,4.0,0.2,4.0,0.1,2.0,8.0,0.8148148148148148,0.8717948717948718,0.8095238095238095,0.9444444444444444,0.7530864197530864
5.0,64.0,2.0,0.3,8.0,0.0,2.0,8.0,0.8148148148148148,0.8717948717948718,0.8095238095238095,0.9444444444444444,0.7530864197530864
5.0,64.0,4.0,0.2,6.0,0.0,2.0,8.0,0.8148148148148148,0.8717948717948718,0.8095238095238095,0.9444444444444444,0.7592592592592593
3.0,32.0,4.0,0.1,8.0,0.0,2.0,8.0,0.8148148148148148,0.8717948717948718,0.8095238095238095,0.9444444444444444,0.808641975308642
3.0,64.0,2.0,0.1,4.0,0.0,2.0,8.0,0.8148148148148148,0.8717948717948718,0.8095238095238095,0.9444444444444444,0.7777777777777778
5.0,32.0,4.0,0.1,8.0,0.0,2.0,8.0,0.8148148148148148,0.8717948717948718,0.8095238095238095,0.9444444444444444,0.8024691358024691
5.0,32.0,2.0,0.1,4.0,0.1,2.0,8.0,0.8148148148148148,0.8717948717948718,0.8095238095238095,0.9444444444444444,0.7098765432098766
5.0,64.0,4.0,0.3,8.0,0.0,2.0,8.0,0.8148148148148148,0.8717948717948718,0.8095238095238095,0.9444444444444444,0.7345679012345679
3.0,64.0,2.0,0.2,6.0,0.0,2.0,8.0,0.8148148148148148,0.8717948717948718,0.8095238095238095,0.9444444444444444,0.808641975308642
3.0,32.0,4.0,0.3,6.0,0.1,2.0,8.0,0.8148148148148148,0.8717948717948718,0.8095238095238095,0.9444444444444444,0.8209876543209876
5.0,64.0,2.0,0.3,8.0,0.1,2.0,8.0,0.8148148148148148,0.8717948717948718,0.8095238095238095,0.9444444444444444,0.7530864197530864
3.0,64.0,4.0,0.2,6.0,0.1,2.0,8.0,0.8148148148148148,0.8717948717948718,0.8095238095238095,0.9444444444444444,0.8148148148148149
3.0,64.0,2.0,0.1,6.0,0.0,2.0,8.0,0.8148148148148148,0.8717948717948718,0.8095238095238095,0.9444444444444444,0.7962962962962963
3.0,32.0,2.0,0.3,4.0,0.0,2.0,8.0,0.8148148148148148,0.8717948717948718,0.8095238095238095,0.9444444444444444,0.654320987654321
3.0,64.0,4.0,0.1,8.0,0.0,2.0,8.0,0.8148148148148148,0.8648648648648649,0.8421052631578947,0.8888888888888888,0.8148148148148149
5.0,64.0,4.0,0.1,8.0,0.1,2.0,8.0,0.8148148148148148,0.8648648648648649,0.8421052631578947,0.8888888888888888,0.7469135802469136
3.0,32.0,2.0,0.3,4.0,0.1,2.0,8.0,0.8148148148148148,0.8648648648648649,0.8421052631578947,0.8888888888888888,0.7654320987654322
3.0,32.0,2.0,0.3,8.0,0.0,2.0,8.0,0.8148148148148148,0.8648648648648649,0.8421052631578947,0.8888888888888888,0.8148148148148149
3.0,32.0,4.0,0.1,6.0,0.0,2.0,8.0,0.8148148148148148,0.8648648648648649,0.8421052631578947,0.8888888888888888,0.8086419753086419
3.0,32.0,4.0,0.2,4.0,0.0,2.0,8.0,0.8148148148148148,0.8648648648648649,0.8421052631578947,0.8888888888888888,0.7654320987654322
5.0,32.0,2.0,0.2,6.0,0.0,2.0,8.0,0.7777777777777778,0.8571428571428571,0.75,1.0,0.808641975308642
3.0,32.0,4.0,0.3,8.0,0.1,2.0,8.0,0.7777777777777778,0.8571428571428571,0.75,1.0,0.7777777777777778
3.0,32.0,4.0,0.2,8.0,0.0,2.0,8.0,0.7777777777777778,0.8571428571428571,0.75,1.0,0.8333333333333333
3.0,32.0,2.0,0.3,6.0,0.1,2.0,8.0,0.7777777777777778,0.8571428571428571,0.75,1.0,0.7160493827160495
5.0,64.0,4.0,0.2,4.0,0.1,2.0,8.0,0.8148148148148148,0.8571428571428571,0.8823529411764706,0.8333333333333334,0.7901234567901234
3.0,64.0,2.0,0.3,6.0,0.0,2.0,8.0,0.7777777777777778,0.8571428571428571,0.75,1.0,0.7839506172839507
5.0,32.0,2.0,0.3,8.0,0.0,2.0,8.0,0.7777777777777778,0.85,0.7727272727272727,0.9444444444444444,0.691358024691358
3.0,32.0,2.0,0.2,4.0,0.0,2.0,8.0,0.7777777777777778,0.8421052631578947,0.8,0.8888888888888888,0.8580246913580247
3.0,64.0,2.0,0.2,8.0,0.0,2.0,8.0,0.7777777777777778,0.8421052631578947,0.8,0.8888888888888888,0.8333333333333334
5.0,64.0,4.0,0.1,8.0,0.0,2.0,8.0,0.7777777777777778,0.8421052631578947,0.8,0.8888888888888888,0.7777777777777778
3.0,64.0,2.0,0.2,4.0,0.0,2.0,8.0,0.7777777777777778,0.8421052631578947,0.8,0.8888888888888888,0.8024691358024691
5.0,32.0,4.0,0.2,8.0,0.0,2.0,8.0,0.7777777777777778,0.8421052631578947,0.8,0.8888888888888888,0.7962962962962963
5.0,64.0,4.0,0.1,6.0,0.1,2.0,8.0,0.7777777777777778,0.8421052631578947,0.8,0.8888888888888888,0.6604938271604939
5.0,32.0,2.0,0.1,6.0,0.0,2.0,8.0,0.7777777777777778,0.8421052631578947,0.8,0.8888888888888888,0.7345679012345679
