depth,dim,heads,dropout,ffn_d_hidden,residual_dropout,n_blocks,d_token,accuracy,f1_score,precision,recall,auc_roc
3.0,32.0,2.0,0.1,4.0,0.0,2.0,8.0,0.95,0.9629629629629629,1.0,0.9285714285714286,0.9285714285714286
3.0,64.0,2.0,0.1,4.0,0.0,2.0,8.0,0.95,0.9629629629629629,1.0,0.9285714285714286,1.0
3.0,32.0,4.0,0.3,4.0,0.1,2.0,8.0,0.95,0.9629629629629629,1.0,0.9285714285714286,1.0
3.0,64.0,4.0,0.3,4.0,0.1,2.0,8.0,0.95,0.9629629629629629,1.0,0.9285714285714286,0.9880952380952381
5.0,32.0,4.0,0.3,4.0,0.1,2.0,8.0,0.95,0.9629629629629629,1.0,0.9285714285714286,1.0
5.0,64.0,4.0,0.3,4.0,0.1,2.0,8.0,0.95,0.9629629629629629,1.0,0.9285714285714286,1.0
3.0,32.0,2.0,0.1,6.0,0.1,2.0,8.0,0.95,0.9629629629629629,1.0,0.9285714285714286,1.0
3.0,64.0,2.0,0.1,6.0,0.1,2.0,8.0,0.95,0.9629629629629629,1.0,0.9285714285714286,0.9880952380952381
5.0,32.0,2.0,0.1,6.0,0.1,2.0,8.0,0.95,0.9629629629629629,1.0,0.9285714285714286,1.0
5.0,64.0,2.0,0.1,6.0,0.1,2.0,8.0,0.95,0.9629629629629629,1.0,0.9285714285714286,0.9404761904761905
3.0,32.0,4.0,0.1,6.0,0.1,2.0,8.0,0.95,0.9629629629629629,1.0,0.9285714285714286,1.0
3.0,64.0,4.0,0.1,6.0,0.1,2.0,8.0,0.95,0.9629629629629629,1.0,0.9285714285714286,0.9404761904761905
5.0,32.0,4.0,0.1,6.0,0.1,2.0,8.0,0.95,0.9629629629629629,1.0,0.9285714285714286,1.0
5.0,64.0,4.0,0.1,6.0,0.1,2.0,8.0,0.95,0.9629629629629629,1.0,0.9285714285714286,1.0
3.0,32.0,2.0,0.2,6.0,0.1,2.0,8.0,0.95,0.9629629629629629,1.0,0.9285714285714286,0.9523809523809524
3.0,64.0,2.0,0.2,6.0,0.1,2.0,8.0,0.95,0.9629629629629629,1.0,0.9285714285714286,1.0
5.0,32.0,2.0,0.2,6.0,0.1,2.0,8.0,0.95,0.9629629629629629,1.0,0.9285714285714286,1.0
5.0,64.0,2.0,0.3,4.0,0.1,2.0,8.0,0.95,0.9629629629629629,1.0,0.9285714285714286,0.9880952380952381
5.0,32.0,2.0,0.3,4.0,0.1,2.0,8.0,0.95,0.9629629629629629,1.0,0.9285714285714286,1.0
3.0,64.0,2.0,0.3,4.0,0.1,2.0,8.0,0.95,0.9629629629629629,1.0,0.9285714285714286,0.9285714285714286
3.0,32.0,2.0,0.2,4.0,0.1,2.0,8.0,0.95,0.9629629629629629,1.0,0.9285714285714286,1.0
