depth,dim,heads,dropout,ffn_d_hidden,residual_dropout,n_blocks,d_token,accuracy,f1_score,precision,recall,auc_roc
5.0,32.0,2.0,0.1,4.0,0.0,2.0,8.0,0.8,0.3333333333333333,0.2,1.0,0.7894736842105263
5.0,64.0,4.0,0.1,4.0,0.1,2.0,8.0,0.8,0.3333333333333333,0.2,1.0,0.7894736842105263
3.0,32.0,2.0,0.3,6.0,0.1,2.0,8.0,0.8,0.3333333333333333,0.2,1.0,0.7894736842105263
3.0,64.0,4.0,0.2,6.0,0.1,2.0,8.0,0.75,0.2857142857142857,0.16666666666666666,1.0,0.7894736842105263
5.0,32.0,2.0,0.3,6.0,0.1,2.0,8.0,0.75,0.2857142857142857,0.16666666666666666,1.0,0.7894736842105263
5.0,64.0,4.0,0.1,8.0,0.0,2.0,8.0,0.75,0.2857142857142857,0.16666666666666666,1.0,0.7894736842105263
3.0,32.0,4.0,0.2,8.0,0.0,2.0,8.0,0.7,0.25,0.14285714285714285,1.0,0.736842105263158
5.0,64.0,2.0,0.3,8.0,0.1,2.0,8.0,0.7,0.25,0.14285714285714285,1.0,0.7894736842105263
3.0,64.0,4.0,0.1,8.0,0.0,2.0,8.0,0.7,0.25,0.14285714285714285,1.0,0.7894736842105263
5.0,32.0,2.0,0.1,6.0,0.0,2.0,8.0,0.7,0.25,0.14285714285714285,1.0,0.7894736842105263
3.0,32.0,4.0,0.2,4.0,0.1,2.0,8.0,0.65,0.2222222222222222,0.125,1.0,0.7894736842105263
5.0,64.0,4.0,0.2,4.0,0.0,2.0,8.0,0.65,0.2222222222222222,0.125,1.0,0.736842105263158
5.0,32.0,4.0,0.2,6.0,0.0,2.0,8.0,0.65,0.2222222222222222,0.125,1.0,0.7894736842105263
5.0,32.0,2.0,0.1,4.0,0.1,2.0,8.0,0.65,0.2222222222222222,0.125,1.0,0.736842105263158
3.0,64.0,2.0,0.1,4.0,0.0,2.0,8.0,0.65,0.2222222222222222,0.125,1.0,0.736842105263158
5.0,32.0,2.0,0.2,4.0,0.0,2.0,8.0,0.65,0.2222222222222222,0.125,1.0,0.736842105263158
3.0,64.0,4.0,0.2,4.0,0.1,2.0,8.0,0.8,0.0,0.0,0.0,0.7894736842105263
3.0,32.0,2.0,0.1,6.0,0.1,2.0,8.0,0.75,0.0,0.0,0.0,0.7894736842105263
3.0,32.0,2.0,0.2,6.0,0.1,2.0,8.0,0.95,0.0,0.0,0.0,0.736842105263158
5.0,64.0,4.0,0.1,6.0,0.1,2.0,8.0,0.9,0.0,0.0,0.0,0.7894736842105263
5.0,32.0,4.0,0.1,6.0,0.1,2.0,8.0,0.8,0.0,0.0,0.0,0.7894736842105263
3.0,32.0,2.0,0.2,4.0,0.1,2.0,8.0,0.95,0.0,0.0,0.0,0.736842105263158
3.0,64.0,4.0,0.1,6.0,0.1,2.0,8.0,0.9,0.0,0.0,0.0,0.7894736842105263
3.0,32.0,4.0,0.1,6.0,0.1,2.0,8.0,0.9,0.0,0.0,0.0,0.7894736842105263
5.0,64.0,2.0,0.1,6.0,0.1,2.0,8.0,0.85,0.0,0.0,0.0,0.7894736842105263
5.0,32.0,2.0,0.1,6.0,0.1,2.0,8.0,0.9,0.0,0.0,0.0,0.736842105263158
3.0,64.0,2.0,0.1,6.0,0.1,2.0,8.0,0.85,0.0,0.0,0.0,0.7894736842105263
3.0,64.0,2.0,0.2,4.0,0.1,2.0,8.0,0.8,0.0,0.0,0.0,0.7894736842105263
5.0,32.0,2.0,0.2,4.0,0.1,2.0,8.0,0.95,0.0,0.0,0.0,0.7894736842105263
5.0,32.0,4.0,0.2,4.0,0.1,2.0,8.0,0.95,0.0,0.0,0.0,0.736842105263158
5.0,64.0,4.0,0.3,4.0,0.1,2.0,8.0,0.85,0.0,0.0,0.0,0.7894736842105263
5.0,32.0,4.0,0.3,4.0,0.1,2.0,8.0,0.85,0.0,0.0,0.0,0.7894736842105263
3.0,64.0,4.0,0.3,4.0,0.1,2.0,8.0,0.8,0.0,0.0,0.0,0.7894736842105263
3.0,32.0,4.0,0.3,4.0,0.1,2.0,8.0,0.85,0.0,0.0,0.0,0.736842105263158
5.0,32.0,2.0,0.2,6.0,0.1,2.0,8.0,0.9,0.0,0.0,0.0,0.7894736842105263
5.0,64.0,2.0,0.3,4.0,0.1,2.0,8.0,0.8,0.0,0.0,0.0,0.736842105263158
5.0,32.0,2.0,0.3,4.0,0.1,2.0,8.0,0.85,0.0,0.0,0.0,0.7894736842105263
3.0,64.0,2.0,0.3,4.0,0.1,2.0,8.0,0.95,0.0,0.0,0.0,0.7894736842105263
3.0,32.0,2.0,0.3,4.0,0.1,2.0,8.0,0.85,0.0,0.0,0.0,0.7894736842105263
5.0,64.0,4.0,0.2,4.0,0.1,2.0,8.0,0.75,0.0,0.0,0.0,0.7894736842105263
5.0,64.0,2.0,0.2,4.0,0.1,2.0,8.0,0.95,0.0,0.0,0.0,0.7894736842105263
3.0,64.0,2.0,0.2,6.0,0.1,2.0,8.0,0.75,0.0,0.0,0.0,0.7894736842105263
3.0,32.0,2.0,0.1,4.0,0.0,2.0,8.0,0.85,0.0,0.0,0.0,0.7894736842105263
5.0,64.0,2.0,0.2,6.0,0.1,2.0,8.0,0.85,0.0,0.0,0.0,0.7894736842105263
5.0,32.0,4.0,0.2,8.0,0.1,2.0,8.0,0.8,0.0,0.0,0.0,0.7894736842105263
3.0,32.0,2.0,0.2,8.0,0.1,2.0,8.0,0.8,0.0,0.0,0.0,0.7894736842105263
3.0,64.0,2.0,0.2,8.0,0.1,2.0,8.0,0.75,0.0,0.0,0.0,0.7894736842105263
5.0,32.0,2.0,0.2,8.0,0.1,2.0,8.0,0.75,0.0,0.0,0.0,0.7894736842105263
5.0,64.0,2.0,0.2,8.0,0.1,2.0,8.0,0.8,0.0,0.0,0.0,0.7894736842105263
3.0,32.0,4.0,0.2,8.0,0.1,2.0,8.0,0.75,0.0,0.0,0.0,0.7894736842105263
3.0,64.0,4.0,0.2,8.0,0.1,2.0,8.0,0.85,0.0,0.0,0.0,0.7894736842105263
5.0,64.0,4.0,0.2,8.0,0.1,2.0,8.0,0.95,0.0,0.0,0.0,0.736842105263158
3.0,32.0,4.0,0.2,6.0,0.1,2.0,8.0,0.85,0.0,0.0,0.0,0.7894736842105263
3.0,32.0,2.0,0.3,8.0,0.1,2.0,8.0,0.95,0.0,0.0,0.0,0.736842105263158
3.0,64.0,2.0,0.3,8.0,0.1,2.0,8.0,0.8,0.0,0.0,0.0,0.736842105263158
5.0,32.0,2.0,0.3,8.0,0.1,2.0,8.0,0.75,0.0,0.0,0.0,0.7894736842105263
3.0,32.0,4.0,0.3,8.0,0.1,2.0,8.0,0.85,0.0,0.0,0.0,0.7894736842105263
3.0,64.0,4.0,0.3,8.0,0.1,2.0,8.0,0.85,0.0,0.0,0.0,0.7894736842105263
5.0,32.0,4.0,0.3,8.0,0.1,2.0,8.0,0.75,0.0,0.0,0.0,0.7894736842105263
5.0,64.0,4.0,0.1,8.0,0.1,2.0,8.0,0.75,0.0,0.0,0.0,0.7894736842105263
5.0,32.0,4.0,0.1,8.0,0.1,2.0,8.0,0.9,0.0,0.0,0.0,0.7894736842105263
3.0,64.0,4.0,0.1,8.0,0.1,2.0,8.0,0.75,0.0,0.0,0.0,0.7894736842105263
3.0,32.0,4.0,0.1,8.0,0.1,2.0,8.0,0.85,0.0,0.0,0.0,0.7894736842105263
5.0,64.0,2.0,0.1,8.0,0.1,2.0,8.0,0.75,0.0,0.0,0.0,0.7894736842105263
5.0,32.0,2.0,0.1,8.0,0.1,2.0,8.0,0.9,0.0,0.0,0.0,0.7894736842105263
3.0,64.0,2.0,0.1,8.0,0.1,2.0,8.0,0.75,0.0,0.0,0.0,0.7894736842105263
3.0,32.0,2.0,0.1,8.0,0.1,2.0,8.0,0.85,0.0,0.0,0.0,0.7894736842105263
5.0,64.0,4.0,0.3,6.0,0.1,2.0,8.0,0.85,0.0,0.0,0.0,0.7894736842105263
5.0,32.0,4.0,0.3,6.0,0.1,2.0,8.0,0.8,0.0,0.0,0.0,0.7894736842105263
3.0,64.0,4.0,0.3,6.0,0.1,2.0,8.0,0.85,0.0,0.0,0.0,0.7894736842105263
3.0,32.0,4.0,0.3,6.0,0.1,2.0,8.0,0.75,0.0,0.0,0.0,0.7894736842105263
5.0,64.0,2.0,0.3,6.0,0.1,2.0,8.0,0.8,0.0,0.0,0.0,0.7894736842105263
3.0,64.0,2.0,0.3,6.0,0.1,2.0,8.0,0.95,0.0,0.0,0.0,0.7894736842105263
5.0,64.0,4.0,0.2,6.0,0.1,2.0,8.0,0.8,0.0,0.0,0.0,0.7894736842105263
3.0,64.0,4.0,0.1,4.0,0.1,2.0,8.0,0.95,0.0,0.0,0.0,0.7894736842105263
5.0,32.0,4.0,0.2,6.0,0.1,2.0,8.0,0.85,0.0,0.0,0.0,0.736842105263158
5.0,32.0,4.0,0.1,4.0,0.1,2.0,8.0,0.75,0.0,0.0,0.0,0.736842105263158
