depth,dim,heads,dropout,accuracy,f1_score
3.0,32.0,2.0,0.1,0.9473684210526315,0.8571428571428571
5.0,32.0,2.0,0.1,0.9473684210526315,0.8571428571428571
5.0,64.0,2.0,0.2,0.9473684210526315,0.8571428571428571
3.0,64.0,2.0,0.3,0.9473684210526315,0.8571428571428571
3.0,32.0,2.0,0.3,0.9473684210526315,0.8
5.0,64.0,2.0,0.3,0.9473684210526315,0.8
5.0,64.0,2.0,0.1,0.8947368421052632,0.75
3.0,32.0,4.0,0.1,0.8947368421052632,0.75
5.0,32.0,4.0,0.3,0.8947368421052632,0.75
5.0,32.0,4.0,0.1,0.8947368421052632,0.75
5.0,64.0,4.0,0.1,0.8947368421052632,0.75
3.0,64.0,4.0,0.3,0.8947368421052632,0.75
5.0,32.0,2.0,0.3,0.8947368421052632,0.75
3.0,32.0,4.0,0.3,0.7894736842105263,0.6
3.0,32.0,4.0,0.2,0.7894736842105263,0.6
3.0,32.0,2.0,0.2,0.7894736842105263,0.6
5.0,64.0,4.0,0.2,0.7368421052631579,0.5454545454545454
3.0,64.0,2.0,0.2,0.8947368421052632,0.5
5.0,32.0,4.0,0.2,0.8421052631578947,0.0
3.0,64.0,4.0,0.2,0.8421052631578947,0.0
3.0,64.0,2.0,0.1,0.8421052631578947,0.0
5.0,32.0,2.0,0.2,0.8421052631578947,0.0
3.0,64.0,4.0,0.1,0.8421052631578947,0.0
5.0,64.0,4.0,0.3,0.8421052631578947,0.0
