depth,dim,heads,dropout,ffn_d_hidden,residual_dropout,n_blocks,d_token,accuracy,f1_score,precision,recall,auc_roc
5.0,32.0,4.0,0.3,6.0,0.0,2.0,8.0,0.9090909090909091,0.9333333333333333,1.0,0.875,0.875
5.0,64.0,2.0,0.2,6.0,0.1,2.0,8.0,0.9090909090909091,0.9333333333333333,1.0,0.875,0.875
3.0,32.0,4.0,0.3,6.0,0.1,2.0,8.0,0.8181818181818182,0.875,0.875,0.875,0.8333333333333334
5.0,32.0,4.0,0.1,6.0,0.1,2.0,8.0,0.8181818181818182,0.875,0.875,0.875,0.875
3.0,32.0,4.0,0.1,8.0,0.1,2.0,8.0,0.8181818181818182,0.875,0.875,0.875,0.7916666666666667
5.0,64.0,2.0,0.2,6.0,0.0,2.0,8.0,0.8181818181818182,0.875,0.875,0.875,0.7083333333333334
3.0,64.0,2.0,0.1,4.0,0.1,2.0,8.0,0.8181818181818182,0.875,0.875,0.875,0.7916666666666667
5.0,32.0,4.0,0.3,4.0,0.1,2.0,8.0,0.8181818181818182,0.875,0.875,0.875,0.6666666666666667
5.0,64.0,4.0,0.3,6.0,0.1,2.0,8.0,0.8181818181818182,0.875,0.875,0.875,0.6666666666666667
5.0,32.0,4.0,0.3,8.0,0.0,2.0,8.0,0.8181818181818182,0.875,0.875,0.875,0.8333333333333334
3.0,64.0,2.0,0.3,6.0,0.0,2.0,8.0,0.8181818181818182,0.875,0.875,0.875,0.75
3.0,64.0,4.0,0.3,8.0,0.0,2.0,8.0,0.8181818181818182,0.875,0.875,0.875,0.625
3.0,32.0,2.0,0.1,6.0,0.1,2.0,8.0,0.8181818181818182,0.875,0.875,0.875,0.75
5.0,64.0,2.0,0.3,8.0,0.0,2.0,8.0,0.8181818181818182,0.875,0.875,0.875,0.75
5.0,64.0,4.0,0.2,6.0,0.1,2.0,8.0,0.8181818181818182,0.875,0.875,0.875,0.7083333333333334
3.0,32.0,4.0,0.1,6.0,0.0,2.0,8.0,0.8181818181818182,0.875,0.875,0.875,0.7083333333333334
3.0,32.0,2.0,0.1,8.0,0.0,2.0,8.0,0.8181818181818182,0.875,0.875,0.875,0.8333333333333334
5.0,32.0,2.0,0.1,8.0,0.0,2.0,8.0,0.8181818181818182,0.875,0.875,0.875,0.7083333333333334
3.0,64.0,4.0,0.2,6.0,0.1,2.0,8.0,0.8181818181818182,0.875,0.875,0.875,0.75
3.0,32.0,4.0,0.1,8.0,0.0,2.0,8.0,0.8181818181818182,0.875,0.875,0.875,0.7083333333333334
3.0,32.0,4.0,0.2,6.0,0.1,2.0,8.0,0.8181818181818182,0.875,0.875,0.875,0.6666666666666667
5.0,32.0,4.0,0.1,8.0,0.0,2.0,8.0,0.8181818181818182,0.875,0.875,0.875,0.6666666666666667
3.0,32.0,4.0,0.1,6.0,0.1,2.0,8.0,0.8181818181818182,0.875,0.875,0.875,0.75
5.0,64.0,2.0,0.2,8.0,0.0,2.0,8.0,0.8181818181818182,0.875,0.875,0.875,0.7083333333333334
