depth,dim,heads,dropout,accuracy,f1_score
3.0,32.0,2.0,0.1,1.0,1.0
3.0,64.0,2.0,0.2,1.0,1.0
3.0,64.0,4.0,0.3,1.0,1.0
3.0,32.0,4.0,0.3,1.0,1.0
5.0,64.0,2.0,0.3,1.0,1.0
5.0,32.0,4.0,0.2,1.0,1.0
3.0,64.0,2.0,0.1,1.0,1.0
5.0,64.0,2.0,0.2,1.0,1.0
5.0,32.0,2.0,0.2,1.0,1.0
3.0,32.0,4.0,0.2,1.0,1.0
3.0,64.0,4.0,0.1,1.0,1.0
5.0,64.0,2.0,0.1,1.0,1.0
5.0,64.0,4.0,0.3,1.0,1.0
3.0,64.0,4.0,0.2,0.9811320754716981,0.8571428571428571
5.0,64.0,4.0,0.1,0.9811320754716981,0.8
5.0,32.0,4.0,0.1,0.9811320754716981,0.8
5.0,64.0,4.0,0.2,0.9811320754716981,0.8
3.0,32.0,2.0,0.3,0.9811320754716981,0.8
3.0,32.0,4.0,0.1,0.9811320754716981,0.8
3.0,64.0,2.0,0.3,0.9622641509433962,0.75
5.0,32.0,2.0,0.3,0.9622641509433962,0.75
5.0,32.0,2.0,0.1,0.9622641509433962,0.75
5.0,32.0,4.0,0.3,0.9433962264150944,0.6666666666666666
3.0,32.0,2.0,0.2,0.9622641509433962,0.5
