depth,dim,heads,dropout,ffn_d_hidden,residual_dropout,n_blocks,d_token,accuracy,f1_score,precision,recall,auc_roc
3.0,64.0,4.0,0.1,6.0,0.1,2.0,8.0,0.9047619047619048,0.9259259259259259,0.8620689655172413,1.0,0.8917647058823529
5.0,64.0,4.0,0.3,8.0,0.1,2.0,8.0,0.8809523809523809,0.9090909090909091,0.8333333333333334,1.0,0.8870588235294117
5.0,64.0,2.0,0.1,4.0,0.1,2.0,8.0,0.8809523809523809,0.9090909090909091,0.8333333333333334,1.0,0.8894117647058823
5.0,32.0,4.0,0.3,6.0,0.0,2.0,8.0,0.8809523809523809,0.9090909090909091,0.8333333333333334,1.0,0.8776470588235293
5.0,64.0,2.0,0.1,8.0,0.0,2.0,8.0,0.8809523809523809,0.9090909090909091,0.8333333333333334,1.0,0.8847058823529411
3.0,64.0,4.0,0.3,4.0,0.0,2.0,8.0,0.8809523809523809,0.9090909090909091,0.8333333333333334,1.0,0.8870588235294117
3.0,32.0,2.0,0.2,8.0,0.1,2.0,8.0,0.8571428571428571,0.8928571428571429,0.8064516129032258,1.0,0.8799999999999999
5.0,32.0,2.0,0.1,4.0,0.1,2.0,8.0,0.8571428571428571,0.8928571428571429,0.8064516129032258,1.0,0.8894117647058823
3.0,64.0,4.0,0.1,8.0,0.0,2.0,8.0,0.8333333333333334,0.8771929824561403,0.78125,1.0,0.8776470588235293
5.0,32.0,4.0,0.3,6.0,0.1,2.0,8.0,0.8333333333333334,0.8771929824561403,0.78125,1.0,0.8964705882352941
5.0,64.0,4.0,0.3,4.0,0.0,2.0,8.0,0.8333333333333334,0.8771929824561403,0.78125,1.0,0.8776470588235293
5.0,32.0,4.0,0.2,4.0,0.1,2.0,8.0,0.8095238095238095,0.8620689655172413,0.7575757575757576,1.0,0.8847058823529411
5.0,64.0,2.0,0.1,8.0,0.1,2.0,8.0,0.8095238095238095,0.8620689655172413,0.7575757575757576,1.0,0.8894117647058823
3.0,64.0,4.0,0.3,6.0,0.1,2.0,8.0,0.8095238095238095,0.8620689655172413,0.7575757575757576,1.0,0.8917647058823529
3.0,32.0,2.0,0.1,8.0,0.0,2.0,8.0,0.8095238095238095,0.8620689655172413,0.7575757575757576,1.0,0.8705882352941176
5.0,64.0,2.0,0.3,6.0,0.1,2.0,8.0,0.8095238095238095,0.8620689655172413,0.7575757575757576,1.0,0.8729411764705881
3.0,32.0,2.0,0.1,6.0,0.0,2.0,8.0,0.8095238095238095,0.8620689655172413,0.7575757575757576,1.0,0.8729411764705882
3.0,64.0,2.0,0.2,8.0,0.1,2.0,8.0,0.8095238095238095,0.8620689655172413,0.7575757575757576,1.0,0.8705882352941177
5.0,32.0,2.0,0.1,4.0,0.0,2.0,8.0,0.8095238095238095,0.8620689655172413,0.7575757575757576,1.0,0.8941176470588235
3.0,64.0,2.0,0.3,4.0,0.0,2.0,8.0,0.8095238095238095,0.8620689655172413,0.7575757575757576,1.0,0.8799999999999999
5.0,64.0,2.0,0.2,8.0,0.0,2.0,8.0,0.7857142857142857,0.847457627118644,0.7352941176470589,1.0,0.8658823529411764
3.0,32.0,4.0,0.3,6.0,0.0,2.0,8.0,0.7857142857142857,0.847457627118644,0.7352941176470589,1.0,0.868235294117647
3.0,64.0,2.0,0.3,6.0,0.1,2.0,8.0,0.7857142857142857,0.847457627118644,0.7352941176470589,1.0,0.9058823529411764
3.0,32.0,2.0,0.3,8.0,0.0,2.0,8.0,0.7857142857142857,0.847457627118644,0.7352941176470589,1.0,0.8847058823529411
5.0,64.0,2.0,0.1,6.0,0.0,2.0,8.0,0.7857142857142857,0.847457627118644,0.7352941176470589,1.0,0.8941176470588235
5.0,32.0,4.0,0.1,8.0,0.1,2.0,8.0,0.7857142857142857,0.847457627118644,0.7352941176470589,1.0,0.8870588235294117
3.0,32.0,4.0,0.1,6.0,0.1,2.0,8.0,0.7857142857142857,0.847457627118644,0.7352941176470589,1.0,0.9129411764705881
3.0,64.0,2.0,0.1,8.0,0.1,2.0,8.0,0.7857142857142857,0.847457627118644,0.7352941176470589,1.0,0.8870588235294117
3.0,64.0,4.0,0.1,4.0,0.1,2.0,8.0,0.7619047619047619,0.8333333333333334,0.7142857142857143,1.0,0.8705882352941177
3.0,32.0,4.0,0.1,8.0,0.1,2.0,8.0,0.7619047619047619,0.8333333333333334,0.7142857142857143,1.0,0.8917647058823529
5.0,32.0,2.0,0.2,4.0,0.1,2.0,8.0,0.7619047619047619,0.8333333333333334,0.7142857142857143,1.0,0.8799999999999999
3.0,64.0,2.0,0.2,4.0,0.1,2.0,8.0,0.7619047619047619,0.8333333333333334,0.7142857142857143,1.0,0.8847058823529411
3.0,32.0,2.0,0.2,4.0,0.1,2.0,8.0,0.7619047619047619,0.8333333333333334,0.7142857142857143,1.0,0.8847058823529411
5.0,64.0,4.0,0.1,4.0,0.1,2.0,8.0,0.7619047619047619,0.8333333333333334,0.7142857142857143,1.0,0.88
3.0,64.0,2.0,0.1,4.0,0.0,2.0,8.0,0.7619047619047619,0.8333333333333334,0.7142857142857143,1.0,0.8870588235294117
3.0,64.0,4.0,0.2,4.0,0.1,2.0,8.0,0.7619047619047619,0.8333333333333334,0.7142857142857143,1.0,0.8894117647058823
3.0,64.0,4.0,0.3,8.0,0.0,2.0,8.0,0.7619047619047619,0.8333333333333334,0.7142857142857143,1.0,0.8752941176470588
3.0,32.0,4.0,0.3,8.0,0.0,2.0,8.0,0.7619047619047619,0.8333333333333334,0.7142857142857143,1.0,0.8541176470588235
5.0,32.0,2.0,0.3,8.0,0.1,2.0,8.0,0.7619047619047619,0.8333333333333334,0.7142857142857143,1.0,0.8494117647058823
3.0,64.0,2.0,0.3,8.0,0.0,2.0,8.0,0.7619047619047619,0.8333333333333334,0.7142857142857143,1.0,0.8729411764705882
5.0,32.0,4.0,0.2,8.0,0.0,2.0,8.0,0.7619047619047619,0.8333333333333334,0.7142857142857143,1.0,0.8541176470588235
3.0,32.0,4.0,0.2,4.0,0.1,2.0,8.0,0.7619047619047619,0.8333333333333334,0.7142857142857143,1.0,0.8894117647058823
5.0,32.0,2.0,0.3,4.0,0.0,2.0,8.0,0.7619047619047619,0.8333333333333334,0.7142857142857143,1.0,0.8870588235294117
5.0,64.0,4.0,0.2,4.0,0.1,2.0,8.0,0.7619047619047619,0.8333333333333334,0.7142857142857143,1.0,0.8941176470588235
5.0,64.0,4.0,0.1,6.0,0.1,2.0,8.0,0.7619047619047619,0.8333333333333334,0.7142857142857143,1.0,0.8705882352941176
5.0,32.0,2.0,0.3,6.0,0.1,2.0,8.0,0.7619047619047619,0.8333333333333334,0.7142857142857143,1.0,0.8870588235294117
5.0,64.0,2.0,0.1,4.0,0.0,2.0,8.0,0.7619047619047619,0.8333333333333334,0.7142857142857143,1.0,0.851764705882353
5.0,64.0,4.0,0.3,6.0,0.1,2.0,8.0,0.7619047619047619,0.8333333333333334,0.7142857142857143,1.0,0.8776470588235293
5.0,64.0,2.0,0.2,6.0,0.1,2.0,8.0,0.7619047619047619,0.8333333333333334,0.7142857142857143,1.0,0.8823529411764706
5.0,32.0,2.0,0.2,6.0,0.1,2.0,8.0,0.7619047619047619,0.8333333333333334,0.7142857142857143,1.0,0.8799999999999999
3.0,32.0,2.0,0.2,6.0,0.1,2.0,8.0,0.7619047619047619,0.8333333333333334,0.7142857142857143,1.0,0.84
5.0,32.0,4.0,0.3,8.0,0.1,2.0,8.0,0.7619047619047619,0.8333333333333334,0.7142857142857143,1.0,0.8870588235294117
5.0,64.0,2.0,0.3,4.0,0.1,2.0,8.0,0.7619047619047619,0.8333333333333334,0.7142857142857143,1.0,0.8917647058823529
5.0,32.0,2.0,0.1,6.0,0.1,2.0,8.0,0.7619047619047619,0.8333333333333334,0.7142857142857143,1.0,0.8847058823529411
3.0,32.0,2.0,0.1,6.0,0.1,2.0,8.0,0.7619047619047619,0.8333333333333334,0.7142857142857143,1.0,0.8847058823529411
5.0,64.0,4.0,0.3,4.0,0.1,2.0,8.0,0.7619047619047619,0.8333333333333334,0.7142857142857143,1.0,0.8870588235294117
5.0,32.0,2.0,0.1,8.0,0.1,2.0,8.0,0.7619047619047619,0.8333333333333334,0.7142857142857143,1.0,0.8541176470588235
3.0,64.0,4.0,0.3,4.0,0.1,2.0,8.0,0.7619047619047619,0.8333333333333334,0.7142857142857143,1.0,0.8917647058823529
3.0,64.0,4.0,0.2,8.0,0.0,2.0,8.0,0.7619047619047619,0.8333333333333334,0.7142857142857143,1.0,0.8870588235294117
3.0,32.0,4.0,0.3,4.0,0.1,2.0,8.0,0.7619047619047619,0.8333333333333334,0.7142857142857143,1.0,0.8799999999999999
3.0,32.0,4.0,0.3,6.0,0.1,2.0,8.0,0.7619047619047619,0.8333333333333334,0.7142857142857143,1.0,0.8752941176470588
5.0,32.0,4.0,0.2,4.0,0.0,2.0,8.0,0.7619047619047619,0.8333333333333334,0.7142857142857143,1.0,0.8799999999999999
5.0,32.0,2.0,0.1,8.0,0.0,2.0,8.0,0.7619047619047619,0.8333333333333334,0.7142857142857143,1.0,0.8799999999999999
3.0,64.0,2.0,0.2,6.0,0.0,2.0,8.0,0.7619047619047619,0.8333333333333334,0.7142857142857143,1.0,0.8941176470588235
5.0,32.0,2.0,0.2,6.0,0.0,2.0,8.0,0.7619047619047619,0.8333333333333334,0.7142857142857143,1.0,0.8776470588235293
