depth,dim,heads,dropout,ffn_d_hidden,residual_dropout,n_blocks,d_token,accuracy,f1_score,precision,recall,auc_roc
5.0,32.0,2.0,0.2,4.0,0.0,2.0,8.0,0.7413793103448276,0.5714285714285714,0.5882352941176471,0.5555555555555556,0.7791666666666667
3.0,64.0,4.0,0.2,4.0,0.1,2.0,8.0,0.7068965517241379,0.5641025641025641,0.5238095238095238,0.6111111111111112,0.7527777777777778
5.0,32.0,2.0,0.1,4.0,0.1,2.0,8.0,0.7758620689655172,0.5517241379310345,0.7272727272727273,0.4444444444444444,0.7569444444444444
5.0,32.0,2.0,0.3,6.0,0.1,2.0,8.0,0.7758620689655172,0.5517241379310345,0.7272727272727273,0.4444444444444444,0.7888888888888889
3.0,64.0,4.0,0.2,8.0,0.1,2.0,8.0,0.7931034482758621,0.5384615384615384,0.875,0.3888888888888889,0.8291666666666667
3.0,32.0,2.0,0.3,6.0,0.0,2.0,8.0,0.7931034482758621,0.5,1.0,0.3333333333333333,0.7666666666666666
5.0,64.0,2.0,0.3,8.0,0.0,2.0,8.0,0.7586206896551724,0.5,0.7,0.3888888888888889,0.7875
3.0,32.0,4.0,0.3,8.0,0.0,2.0,8.0,0.7586206896551724,0.5,0.7,0.3888888888888889,0.7944444444444444
3.0,64.0,2.0,0.1,8.0,0.1,2.0,8.0,0.7586206896551724,0.5,0.7,0.3888888888888889,0.7361111111111112
5.0,64.0,2.0,0.3,4.0,0.1,2.0,8.0,0.7241379310344828,0.5,0.5714285714285714,0.4444444444444444,0.7708333333333333
3.0,32.0,2.0,0.1,4.0,0.1,2.0,8.0,0.7241379310344828,0.5,0.5714285714285714,0.4444444444444444,0.7555555555555555
3.0,64.0,2.0,0.3,6.0,0.1,2.0,8.0,0.7413793103448276,0.4827586206896552,0.6363636363636364,0.3888888888888889,0.7791666666666667
5.0,32.0,2.0,0.3,8.0,0.0,2.0,8.0,0.7758620689655172,0.48,0.8571428571428571,0.3333333333333333,0.7472222222222222
3.0,64.0,4.0,0.1,4.0,0.0,2.0,8.0,0.7241379310344828,0.4666666666666667,0.5833333333333334,0.3888888888888889,0.7375
3.0,32.0,4.0,0.2,8.0,0.1,2.0,8.0,0.7241379310344828,0.4666666666666667,0.5833333333333334,0.3888888888888889,0.6791666666666667
3.0,64.0,2.0,0.3,8.0,0.0,2.0,8.0,0.7241379310344828,0.4666666666666667,0.5833333333333334,0.3888888888888889,0.7833333333333333
3.0,32.0,2.0,0.2,4.0,0.0,2.0,8.0,0.7586206896551724,0.46153846153846156,0.75,0.3333333333333333,0.7569444444444444
5.0,32.0,4.0,0.2,6.0,0.0,2.0,8.0,0.7586206896551724,0.46153846153846156,0.75,0.3333333333333333,0.8041666666666667
3.0,32.0,4.0,0.1,8.0,0.0,2.0,8.0,0.7586206896551724,0.46153846153846156,0.75,0.3333333333333333,0.7638888888888888
5.0,32.0,2.0,0.2,8.0,0.0,2.0,8.0,0.7586206896551724,0.46153846153846156,0.75,0.3333333333333333,0.6930555555555555
5.0,64.0,2.0,0.2,6.0,0.0,2.0,8.0,0.7586206896551724,0.46153846153846156,0.75,0.3333333333333333,0.7875
3.0,32.0,4.0,0.2,8.0,0.0,2.0,8.0,0.7586206896551724,0.46153846153846156,0.75,0.3333333333333333,0.7805555555555557
5.0,32.0,4.0,0.2,6.0,0.1,2.0,8.0,0.7586206896551724,0.46153846153846156,0.75,0.3333333333333333,0.7611111111111112
