depth,dim,heads,dropout,accuracy,f1_score
3.0,32.0,2.0,0.1,1.0,1.0
5.0,64.0,2.0,0.2,1.0,1.0
5.0,32.0,4.0,0.3,1.0,1.0
3.0,64.0,4.0,0.3,1.0,1.0
3.0,32.0,4.0,0.3,1.0,1.0
5.0,64.0,2.0,0.3,1.0,1.0
3.0,32.0,2.0,0.3,1.0,1.0
5.0,32.0,4.0,0.2,1.0,1.0
3.0,64.0,4.0,0.2,1.0,1.0
3.0,64.0,2.0,0.1,1.0,1.0
5.0,64.0,4.0,0.3,1.0,1.0
5.0,32.0,2.0,0.2,1.0,1.0
3.0,32.0,2.0,0.2,1.0,1.0
5.0,64.0,4.0,0.1,1.0,1.0
5.0,32.0,4.0,0.1,1.0,1.0
3.0,64.0,4.0,0.1,1.0,1.0
3.0,32.0,4.0,0.1,1.0,1.0
5.0,64.0,2.0,0.1,1.0,1.0
5.0,32.0,2.0,0.1,1.0,1.0
3.0,64.0,2.0,0.2,0.9895833333333334,0.9887640449438202
3.0,64.0,2.0,0.3,0.9895833333333334,0.9887640449438202
5.0,32.0,2.0,0.3,0.9895833333333334,0.9885057471264368
3.0,32.0,4.0,0.2,0.9895833333333334,0.9885057471264368
5.0,64.0,4.0,0.2,0.9791666666666666,0.9777777777777777
