depth,dim,heads,dropout,ffn_d_hidden,residual_dropout,n_blocks,d_token,accuracy,f1_score,precision,recall,auc_roc
3.0,32.0,2.0,0.1,4.0,0.0,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.5183823529411764
3.0,64.0,4.0,0.1,8.0,0.1,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.4301470588235294
5.0,64.0,2.0,0.2,6.0,0.0,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.6507352941176471
3.0,32.0,2.0,0.3,6.0,0.0,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.3492647058823529
5.0,32.0,2.0,0.3,6.0,0.0,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.47058823529411764
3.0,32.0,4.0,0.3,6.0,0.0,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.5220588235294117
3.0,64.0,4.0,0.3,6.0,0.0,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.3529411764705882
5.0,64.0,4.0,0.3,6.0,0.0,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.3308823529411765
5.0,64.0,2.0,0.1,8.0,0.0,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.6875
3.0,32.0,4.0,0.1,8.0,0.0,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.5551470588235294
5.0,32.0,4.0,0.1,8.0,0.0,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.5183823529411765
5.0,64.0,4.0,0.1,8.0,0.0,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.2849264705882353
3.0,64.0,2.0,0.2,8.0,0.0,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.30514705882352944
5.0,32.0,2.0,0.2,8.0,0.0,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.375
5.0,64.0,2.0,0.2,8.0,0.0,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.40441176470588236
5.0,32.0,2.0,0.2,6.0,0.1,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.3492647058823529
5.0,64.0,4.0,0.2,8.0,0.0,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.39338235294117646
3.0,32.0,2.0,0.3,8.0,0.0,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.23897058823529413
3.0,32.0,2.0,0.2,6.0,0.1,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.6727941176470589
5.0,64.0,4.0,0.1,6.0,0.1,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.375
5.0,32.0,4.0,0.1,6.0,0.1,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.3492647058823529
5.0,64.0,4.0,0.3,8.0,0.0,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.3161764705882353
3.0,64.0,2.0,0.1,4.0,0.0,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.6176470588235294
5.0,64.0,4.0,0.1,4.0,0.1,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.5992647058823529
3.0,64.0,4.0,0.3,4.0,0.1,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.43014705882352944
5.0,64.0,2.0,0.2,4.0,0.1,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.6654411764705882
3.0,32.0,4.0,0.2,4.0,0.1,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.47058823529411764
3.0,64.0,2.0,0.2,6.0,0.0,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.39338235294117646
5.0,64.0,2.0,0.3,6.0,0.0,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.5698529411764706
5.0,32.0,4.0,0.3,4.0,0.0,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.6764705882352942
3.0,64.0,4.0,0.1,4.0,0.0,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.6911764705882353
3.0,64.0,4.0,0.2,8.0,0.1,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.6801470588235294
3.0,64.0,2.0,0.3,4.0,0.0,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.6727941176470589
5.0,32.0,2.0,0.3,4.0,0.0,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.3308823529411765
5.0,64.0,4.0,0.1,4.0,0.0,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.6360294117647058
3.0,32.0,4.0,0.3,8.0,0.1,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.3088235294117647
5.0,32.0,2.0,0.2,8.0,0.1,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.6102941176470589
3.0,32.0,2.0,0.1,6.0,0.0,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.49999999999999994
3.0,32.0,4.0,0.2,4.0,0.0,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.3272058823529412
5.0,32.0,2.0,0.1,4.0,0.0,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.375
5.0,32.0,4.0,0.1,8.0,0.1,2.0,8.0,0.5151515151515151,0.68,0.5151515151515151,1.0,0.38602941176470584
3.0,32.0,2.0,0.2,4.0,0.0,2.0,8.0,0.5454545454545454,0.34782608695652173,0.6666666666666666,0.23529411764705882,0.5147058823529411
5.0,32.0,4.0,0.3,4.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.4632352941176471
5.0,64.0,4.0,0.3,4.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.3713235294117647
3.0,64.0,2.0,0.3,8.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.5367647058823529
3.0,64.0,2.0,0.2,6.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.2647058823529412
5.0,32.0,2.0,0.3,4.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.5330882352941176
5.0,32.0,2.0,0.3,8.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.28308823529411764
5.0,64.0,2.0,0.3,8.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.29411764705882354
3.0,64.0,4.0,0.1,6.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.5551470588235294
3.0,32.0,4.0,0.1,6.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.45036764705882354
5.0,32.0,4.0,0.3,8.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.5845588235294117
5.0,64.0,2.0,0.3,4.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.6268382352941176
3.0,32.0,4.0,0.3,4.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.33455882352941174
5.0,64.0,2.0,0.1,6.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.25367647058823534
3.0,32.0,2.0,0.3,8.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.37132352941176466
5.0,32.0,2.0,0.1,6.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.3382352941176471
3.0,64.0,2.0,0.1,6.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.6397058823529411
3.0,64.0,4.0,0.3,8.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.6691176470588235
3.0,32.0,2.0,0.1,6.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.36397058823529416
3.0,32.0,4.0,0.1,8.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.6691176470588236
5.0,32.0,4.0,0.2,8.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.5992647058823529
5.0,64.0,2.0,0.2,6.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.338235294117647
3.0,32.0,2.0,0.3,4.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.27941176470588236
5.0,32.0,2.0,0.1,8.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.30514705882352944
3.0,64.0,2.0,0.1,8.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.5
3.0,32.0,2.0,0.1,8.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.6066176470588236
5.0,64.0,4.0,0.1,8.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.5238970588235294
5.0,64.0,4.0,0.3,6.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.2977941176470588
5.0,32.0,4.0,0.3,6.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.4522058823529412
3.0,64.0,4.0,0.3,6.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.4926470588235294
3.0,32.0,4.0,0.3,6.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.3786764705882353
3.0,32.0,2.0,0.2,8.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.3529411764705882
5.0,64.0,2.0,0.3,6.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.3897058823529411
3.0,64.0,2.0,0.2,8.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.375
3.0,32.0,4.0,0.2,6.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.3676470588235294
5.0,32.0,2.0,0.3,6.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.4264705882352941
3.0,64.0,2.0,0.3,6.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.2941176470588235
3.0,32.0,2.0,0.3,6.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.6617647058823529
5.0,64.0,4.0,0.2,6.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.6176470588235294
5.0,64.0,2.0,0.2,8.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.5698529411764706
3.0,32.0,4.0,0.2,8.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.5294117647058824
5.0,32.0,4.0,0.2,6.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.5919117647058822
3.0,64.0,4.0,0.2,6.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.3345588235294118
5.0,64.0,2.0,0.1,8.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.5477941176470589
5.0,64.0,4.0,0.2,8.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.5441176470588235
3.0,64.0,2.0,0.3,4.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.6323529411764706
3.0,32.0,2.0,0.1,4.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.6580882352941176
5.0,64.0,4.0,0.2,4.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.37132352941176466
5.0,32.0,4.0,0.2,4.0,0.1,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.2610294117647059
3.0,64.0,4.0,0.2,6.0,0.0,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.24264705882352944
3.0,32.0,4.0,0.2,6.0,0.0,2.0,8.0,0.48484848484848486,0.0,0.0,0.0,0.5625
