depth,dim,heads,dropout,ffn_d_hidden,residual_dropout,n_blocks,d_token,accuracy,f1_score,precision,recall,auc_roc
3.0,32.0,2.0,0.1,6.0,0.1,2.0,8.0,0.8225806451612904,0.5925925925925926,0.7272727272727273,0.5,0.6970108695652173
5.0,32.0,4.0,0.1,6.0,0.0,2.0,8.0,0.7419354838709677,0.5789473684210527,0.5,0.6875,0.6888586956521741
3.0,32.0,4.0,0.1,8.0,0.1,2.0,8.0,0.7580645161290323,0.5714285714285714,0.5263157894736842,0.625,0.6711956521739131
3.0,64.0,4.0,0.2,8.0,0.1,2.0,8.0,0.8064516129032258,0.5714285714285714,0.6666666666666666,0.5,0.6834239130434784
3.0,64.0,4.0,0.3,8.0,0.1,2.0,8.0,0.7741935483870968,0.5625,0.5625,0.5625,0.6779891304347827
3.0,64.0,2.0,0.1,6.0,0.0,2.0,8.0,0.8225806451612904,0.56,0.7777777777777778,0.4375,0.6820652173913044
5.0,32.0,2.0,0.3,8.0,0.0,2.0,8.0,0.7419354838709677,0.5555555555555556,0.5,0.625,0.6970108695652174
5.0,64.0,2.0,0.1,6.0,0.1,2.0,8.0,0.7419354838709677,0.5555555555555556,0.5,0.625,0.6902173913043479
5.0,64.0,4.0,0.1,6.0,0.0,2.0,8.0,0.7903225806451613,0.5517241379310345,0.6153846153846154,0.5,0.6739130434782609
5.0,32.0,2.0,0.3,6.0,0.0,2.0,8.0,0.7903225806451613,0.5517241379310345,0.6153846153846154,0.5,0.6793478260869565
3.0,32.0,2.0,0.1,8.0,0.0,2.0,8.0,0.7903225806451613,0.5517241379310345,0.6153846153846154,0.5,0.6861413043478262
3.0,32.0,4.0,0.3,6.0,0.1,2.0,8.0,0.7903225806451613,0.5517241379310345,0.6153846153846154,0.5,0.6820652173913044
5.0,64.0,4.0,0.3,4.0,0.0,2.0,8.0,0.7903225806451613,0.5517241379310345,0.6153846153846154,0.5,0.6834239130434783
3.0,64.0,4.0,0.1,4.0,0.1,2.0,8.0,0.7580645161290323,0.5454545454545454,0.5294117647058824,0.5625,0.6942934782608695
5.0,64.0,4.0,0.2,4.0,0.1,2.0,8.0,0.8064516129032258,0.5384615384615384,0.7,0.4375,0.6847826086956522
3.0,32.0,2.0,0.3,8.0,0.0,2.0,8.0,0.8064516129032258,0.5384615384615384,0.7,0.4375,0.6807065217391305
3.0,32.0,2.0,0.3,4.0,0.1,2.0,8.0,0.8064516129032258,0.5384615384615384,0.7,0.4375,0.6834239130434784
5.0,64.0,2.0,0.1,4.0,0.1,2.0,8.0,0.7741935483870968,0.5333333333333333,0.5714285714285714,0.5,0.6793478260869565
5.0,32.0,4.0,0.3,4.0,0.0,2.0,8.0,0.7741935483870968,0.5333333333333333,0.5714285714285714,0.5,0.6779891304347827
5.0,32.0,4.0,0.2,6.0,0.0,2.0,8.0,0.7741935483870968,0.5333333333333333,0.5714285714285714,0.5,0.6752717391304348
5.0,32.0,4.0,0.1,8.0,0.0,2.0,8.0,0.7741935483870968,0.5333333333333333,0.5714285714285714,0.5,0.6847826086956522
3.0,64.0,2.0,0.1,6.0,0.1,2.0,8.0,0.7741935483870968,0.5333333333333333,0.5714285714285714,0.5,0.6834239130434783
3.0,32.0,4.0,0.2,6.0,0.0,2.0,8.0,0.7741935483870968,0.5333333333333333,0.5714285714285714,0.5,0.6684782608695652
3.0,32.0,2.0,0.2,6.0,0.1,2.0,8.0,0.7741935483870968,0.5333333333333333,0.5714285714285714,0.5,0.6752717391304349
3.0,64.0,4.0,0.2,6.0,0.0,2.0,8.0,0.7741935483870968,0.5333333333333333,0.5714285714285714,0.5,0.6657608695652175
