depth,dim,heads,dropout,ffn_d_hidden,residual_dropout,n_blocks,d_token,accuracy,f1_score,precision,recall,auc_roc
3.0,32.0,2.0,0.2,4.0,0.1,2.0,8.0,0.9354838709677419,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.8538461538461538
3.0,32.0,4.0,0.1,8.0,0.1,2.0,8.0,0.9032258064516129,0.9454545454545454,0.896551724137931,1.0,0.823076923076923
5.0,64.0,4.0,0.1,6.0,0.0,2.0,8.0,0.9032258064516129,0.9454545454545454,0.896551724137931,1.0,0.8307692307692307
3.0,32.0,4.0,0.2,8.0,0.1,2.0,8.0,0.9032258064516129,0.9454545454545454,0.896551724137931,1.0,0.7923076923076923
5.0,64.0,2.0,0.2,8.0,0.1,2.0,8.0,0.9032258064516129,0.9454545454545454,0.896551724137931,1.0,0.7461538461538462
3.0,32.0,2.0,0.2,6.0,0.0,2.0,8.0,0.9032258064516129,0.9454545454545454,0.896551724137931,1.0,0.7
3.0,64.0,4.0,0.3,4.0,0.1,2.0,8.0,0.9032258064516129,0.9454545454545454,0.896551724137931,1.0,0.7846153846153847
5.0,64.0,2.0,0.2,6.0,0.0,2.0,8.0,0.9032258064516129,0.9454545454545454,0.896551724137931,1.0,0.7769230769230769
3.0,32.0,4.0,0.2,6.0,0.1,2.0,8.0,0.9032258064516129,0.9454545454545454,0.896551724137931,1.0,0.6692307692307693
5.0,32.0,2.0,0.3,8.0,0.0,2.0,8.0,0.9032258064516129,0.9433962264150944,0.9259259259259259,0.9615384615384616,0.7923076923076923
5.0,64.0,4.0,0.3,4.0,0.0,2.0,8.0,0.9032258064516129,0.9433962264150944,0.9259259259259259,0.9615384615384616,0.8769230769230769
3.0,32.0,2.0,0.1,4.0,0.0,2.0,8.0,0.8709677419354839,0.9285714285714286,0.8666666666666667,1.0,0.7153846153846154
5.0,64.0,2.0,0.1,6.0,0.0,2.0,8.0,0.8709677419354839,0.9285714285714286,0.8666666666666667,1.0,0.7923076923076924
3.0,32.0,4.0,0.1,6.0,0.0,2.0,8.0,0.8709677419354839,0.9285714285714286,0.8666666666666667,1.0,0.7923076923076924
3.0,64.0,4.0,0.3,8.0,0.0,2.0,8.0,0.8709677419354839,0.9285714285714286,0.8666666666666667,1.0,0.8076923076923077
5.0,64.0,4.0,0.3,4.0,0.1,2.0,8.0,0.8709677419354839,0.9285714285714286,0.8666666666666667,1.0,0.7384615384615385
5.0,32.0,2.0,0.2,6.0,0.1,2.0,8.0,0.8709677419354839,0.9285714285714286,0.8666666666666667,1.0,0.7846153846153846
3.0,64.0,2.0,0.1,6.0,0.1,2.0,8.0,0.8709677419354839,0.9285714285714286,0.8666666666666667,1.0,0.7692307692307692
