depth,dim,heads,dropout,accuracy,f1_score
3.0,32.0,2.0,0.1,1.0,1.0
3.0,64.0,4.0,0.3,1.0,1.0
5.0,64.0,2.0,0.3,1.0,1.0
3.0,64.0,2.0,0.3,1.0,1.0
5.0,64.0,4.0,0.2,1.0,1.0
5.0,32.0,4.0,0.3,1.0,1.0
3.0,64.0,4.0,0.2,1.0,1.0
3.0,64.0,2.0,0.1,1.0,1.0
5.0,64.0,2.0,0.2,1.0,1.0
5.0,32.0,2.0,0.2,1.0,1.0
5.0,64.0,4.0,0.1,1.0,1.0
5.0,32.0,4.0,0.1,1.0,1.0
5.0,64.0,2.0,0.1,1.0,1.0
3.0,64.0,2.0,0.2,0.99,0.989247311827957
3.0,32.0,2.0,0.2,0.99,0.989247311827957
3.0,32.0,4.0,0.1,0.99,0.989247311827957
3.0,64.0,4.0,0.1,0.98,0.9787234042553191
3.0,32.0,2.0,0.3,0.98,0.9787234042553191
5.0,32.0,2.0,0.3,0.98,0.9787234042553191
5.0,32.0,2.0,0.1,0.98,0.9787234042553191
3.0,32.0,4.0,0.3,0.98,0.9787234042553191
3.0,32.0,4.0,0.2,0.98,0.9777777777777777
5.0,64.0,4.0,0.3,0.98,0.9777777777777777
5.0,32.0,4.0,0.2,0.84,0.7894736842105263
