depth,dim,heads,dropout,accuracy,f1_score
3.0,32.0,4.0,0.2,1.0,1.0
5.0,64.0,4.0,0.2,1.0,1.0
3.0,64.0,2.0,0.1,0.9166666666666666,0.9333333333333333
5.0,32.0,4.0,0.3,0.9166666666666666,0.9333333333333333
3.0,32.0,4.0,0.1,0.9166666666666666,0.9333333333333333
3.0,64.0,4.0,0.1,0.9166666666666666,0.9333333333333333
5.0,32.0,4.0,0.2,0.9166666666666666,0.9333333333333333
3.0,64.0,4.0,0.2,0.9166666666666666,0.9333333333333333
5.0,32.0,2.0,0.3,0.8333333333333334,0.8888888888888888
3.0,32.0,2.0,0.1,0.8333333333333334,0.8888888888888888
5.0,64.0,2.0,0.1,0.8333333333333334,0.8888888888888888
5.0,32.0,2.0,0.2,0.8333333333333334,0.875
5.0,64.0,2.0,0.2,0.8333333333333334,0.875
5.0,32.0,4.0,0.1,0.8333333333333334,0.875
3.0,32.0,2.0,0.3,0.8333333333333334,0.875
3.0,32.0,4.0,0.3,0.8333333333333334,0.875
3.0,64.0,4.0,0.3,0.8333333333333334,0.875
5.0,64.0,4.0,0.3,0.8333333333333334,0.875
3.0,64.0,2.0,0.3,0.8333333333333334,0.8571428571428571
3.0,64.0,2.0,0.2,0.75,0.8235294117647058
3.0,32.0,2.0,0.2,0.75,0.8235294117647058
5.0,64.0,4.0,0.1,0.75,0.8235294117647058
5.0,64.0,2.0,0.3,0.75,0.8235294117647058
5.0,32.0,2.0,0.1,0.75,0.7692307692307693
