depth,dim,heads,dropout,ffn_d_hidden,residual_dropout,n_blocks,d_token,accuracy,f1_score,precision,recall,auc_roc
3.0,64.0,4.0,0.2,8.0,0.1,2.0,8.0,1.0,1.0,1.0,1.0,1.0
5.0,64.0,2.0,0.2,4.0,0.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0
3.0,64.0,2.0,0.1,6.0,0.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0
3.0,64.0,2.0,0.3,6.0,0.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0
5.0,32.0,2.0,0.1,6.0,0.1,2.0,8.0,1.0,1.0,1.0,1.0,1.0
3.0,64.0,4.0,0.3,6.0,0.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0
3.0,64.0,2.0,0.2,6.0,0.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0
5.0,32.0,4.0,0.2,8.0,0.1,2.0,8.0,1.0,1.0,1.0,1.0,1.0
3.0,64.0,4.0,0.2,4.0,0.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0
3.0,32.0,2.0,0.3,4.0,0.1,2.0,8.0,1.0,1.0,1.0,1.0,1.0
5.0,64.0,4.0,0.2,6.0,0.1,2.0,8.0,1.0,1.0,1.0,1.0,1.0
5.0,32.0,2.0,0.2,4.0,0.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0
5.0,64.0,2.0,0.2,4.0,0.1,2.0,8.0,1.0,1.0,1.0,1.0,1.0
3.0,32.0,2.0,0.2,8.0,0.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0
5.0,32.0,4.0,0.3,8.0,0.1,2.0,8.0,1.0,1.0,1.0,1.0,1.0
5.0,32.0,4.0,0.1,6.0,0.1,2.0,8.0,0.9444444444444444,0.9333333333333333,0.875,1.0,1.0
5.0,64.0,2.0,0.2,6.0,0.1,2.0,8.0,0.9444444444444444,0.9333333333333333,0.875,1.0,1.0
3.0,32.0,2.0,0.2,6.0,0.1,2.0,8.0,0.9444444444444444,0.9333333333333333,0.875,1.0,1.0
3.0,32.0,4.0,0.2,6.0,0.0,2.0,8.0,0.9444444444444444,0.9333333333333333,0.875,1.0,1.0
3.0,64.0,4.0,0.2,6.0,0.0,2.0,8.0,0.9444444444444444,0.9333333333333333,0.875,1.0,1.0
5.0,64.0,4.0,0.3,8.0,0.0,2.0,8.0,0.9444444444444444,0.9333333333333333,0.875,1.0,1.0
5.0,64.0,4.0,0.1,6.0,0.1,2.0,8.0,0.9444444444444444,0.9333333333333333,0.875,1.0,1.0
3.0,64.0,2.0,0.1,4.0,0.1,2.0,8.0,0.9444444444444444,0.9333333333333333,0.875,1.0,1.0
3.0,64.0,4.0,0.1,6.0,0.1,2.0,8.0,0.9444444444444444,0.9333333333333333,0.875,1.0,1.0
5.0,64.0,4.0,0.2,4.0,0.1,2.0,8.0,0.9444444444444444,0.9333333333333333,0.875,1.0,1.0
3.0,32.0,4.0,0.1,6.0,0.1,2.0,8.0,0.9444444444444444,0.9333333333333333,0.875,1.0,1.0
5.0,32.0,2.0,0.3,4.0,0.1,2.0,8.0,0.9444444444444444,0.9333333333333333,0.875,1.0,1.0
5.0,32.0,4.0,0.1,4.0,0.1,2.0,8.0,0.9444444444444444,0.9333333333333333,0.875,1.0,1.0
3.0,64.0,2.0,0.3,4.0,0.1,2.0,8.0,0.9444444444444444,0.9333333333333333,0.875,1.0,1.0
5.0,64.0,4.0,0.1,4.0,0.1,2.0,8.0,0.9444444444444444,0.9333333333333333,0.875,1.0,1.0
3.0,32.0,2.0,0.2,6.0,0.0,2.0,8.0,0.9444444444444444,0.9333333333333333,0.875,1.0,1.0
5.0,32.0,2.0,0.3,8.0,0.0,2.0,8.0,0.9444444444444444,0.9333333333333333,0.875,1.0,1.0
3.0,64.0,2.0,0.2,4.0,0.0,2.0,8.0,0.9444444444444444,0.9333333333333333,0.875,1.0,1.0
5.0,32.0,2.0,0.1,8.0,0.1,2.0,8.0,0.9444444444444444,0.9333333333333333,0.875,1.0,1.0
3.0,64.0,4.0,0.2,6.0,0.1,2.0,8.0,0.9444444444444444,0.9333333333333333,0.875,1.0,1.0
5.0,64.0,2.0,0.3,8.0,0.1,2.0,8.0,0.9444444444444444,0.9333333333333333,0.875,1.0,1.0
3.0,32.0,4.0,0.2,8.0,0.1,2.0,8.0,0.9444444444444444,0.9333333333333333,0.875,1.0,1.0
5.0,64.0,2.0,0.2,8.0,0.1,2.0,8.0,0.9444444444444444,0.9333333333333333,0.875,1.0,1.0
3.0,64.0,2.0,0.3,8.0,0.1,2.0,8.0,0.9444444444444444,0.9333333333333333,0.875,1.0,1.0
5.0,32.0,2.0,0.1,4.0,0.0,2.0,8.0,0.9444444444444444,0.9333333333333333,0.875,1.0,1.0
5.0,64.0,2.0,0.1,4.0,0.0,2.0,8.0,0.9444444444444444,0.9333333333333333,0.875,1.0,1.0
5.0,64.0,4.0,0.3,4.0,0.0,2.0,8.0,0.9444444444444444,0.9333333333333333,0.875,1.0,1.0
3.0,32.0,4.0,0.3,6.0,0.1,2.0,8.0,0.9444444444444444,0.9333333333333333,0.875,1.0,1.0
3.0,32.0,4.0,0.1,6.0,0.0,2.0,8.0,0.9444444444444444,0.9333333333333333,0.875,1.0,1.0
3.0,64.0,4.0,0.3,8.0,0.0,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
5.0,64.0,2.0,0.1,4.0,0.1,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
3.0,64.0,4.0,0.3,8.0,0.1,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
3.0,32.0,4.0,0.3,8.0,0.0,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
5.0,64.0,2.0,0.3,8.0,0.0,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
5.0,32.0,2.0,0.3,8.0,0.1,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
3.0,32.0,2.0,0.2,4.0,0.1,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
3.0,64.0,2.0,0.2,4.0,0.1,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
3.0,64.0,2.0,0.3,8.0,0.0,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
3.0,32.0,4.0,0.2,4.0,0.1,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
3.0,64.0,4.0,0.2,4.0,0.1,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
5.0,32.0,4.0,0.2,4.0,0.1,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
3.0,32.0,2.0,0.3,8.0,0.1,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
5.0,32.0,2.0,0.2,8.0,0.1,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
3.0,32.0,2.0,0.2,8.0,0.1,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
5.0,32.0,4.0,0.1,8.0,0.1,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
3.0,64.0,4.0,0.1,8.0,0.1,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
5.0,32.0,4.0,0.3,6.0,0.1,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
3.0,64.0,4.0,0.3,6.0,0.1,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
5.0,64.0,2.0,0.3,6.0,0.1,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
3.0,32.0,2.0,0.1,4.0,0.1,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
5.0,64.0,4.0,0.3,8.0,0.1,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
5.0,64.0,4.0,0.1,6.0,0.0,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
5.0,32.0,4.0,0.1,8.0,0.0,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
5.0,32.0,2.0,0.3,6.0,0.0,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
5.0,64.0,2.0,0.3,4.0,0.0,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
5.0,32.0,4.0,0.3,4.0,0.0,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
3.0,32.0,4.0,0.3,6.0,0.0,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
5.0,64.0,4.0,0.2,6.0,0.0,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
5.0,32.0,4.0,0.1,6.0,0.0,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
3.0,64.0,2.0,0.3,4.0,0.0,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
3.0,64.0,2.0,0.1,8.0,0.0,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
5.0,64.0,4.0,0.2,4.0,0.0,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
5.0,64.0,2.0,0.1,8.0,0.0,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
3.0,32.0,4.0,0.1,8.0,0.0,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
5.0,32.0,4.0,0.2,6.0,0.0,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
5.0,64.0,2.0,0.2,6.0,0.0,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
3.0,32.0,2.0,0.2,4.0,0.0,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
5.0,64.0,4.0,0.1,4.0,0.0,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
3.0,32.0,2.0,0.1,6.0,0.0,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
5.0,32.0,2.0,0.2,8.0,0.0,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
3.0,64.0,4.0,0.1,6.0,0.0,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
5.0,32.0,4.0,0.1,4.0,0.0,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
3.0,32.0,4.0,0.2,8.0,0.0,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
3.0,64.0,4.0,0.1,4.0,0.0,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
3.0,64.0,4.0,0.2,8.0,0.0,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
3.0,32.0,4.0,0.1,4.0,0.0,2.0,8.0,0.8888888888888888,0.875,0.7777777777777778,1.0,1.0
3.0,64.0,2.0,0.1,6.0,0.1,2.0,8.0,0.8333333333333334,0.8235294117647058,0.7,1.0,1.0
5.0,64.0,4.0,0.3,6.0,0.1,2.0,8.0,0.8333333333333334,0.8235294117647058,0.7,1.0,1.0
3.0,32.0,2.0,0.3,6.0,0.1,2.0,8.0,0.8333333333333334,0.8235294117647058,0.7,1.0,1.0
3.0,32.0,4.0,0.1,8.0,0.1,2.0,8.0,0.8333333333333334,0.8235294117647058,0.7,1.0,1.0
5.0,64.0,2.0,0.3,6.0,0.0,2.0,8.0,0.8333333333333334,0.8235294117647058,0.7,1.0,1.0
5.0,64.0,4.0,0.3,6.0,0.0,2.0,8.0,0.8333333333333334,0.8235294117647058,0.7,1.0,1.0
3.0,32.0,2.0,0.1,6.0,0.1,2.0,8.0,0.8333333333333334,0.8235294117647058,0.7,1.0,1.0
5.0,64.0,4.0,0.3,4.0,0.1,2.0,8.0,0.8333333333333334,0.8235294117647058,0.7,1.0,1.0
3.0,32.0,4.0,0.3,4.0,0.0,2.0,8.0,0.8333333333333334,0.8235294117647058,0.7,1.0,1.0
3.0,64.0,4.0,0.3,4.0,0.1,2.0,8.0,0.8333333333333334,0.8235294117647058,0.7,1.0,1.0
3.0,64.0,2.0,0.2,8.0,0.1,2.0,8.0,0.8333333333333334,0.8235294117647058,0.7,1.0,1.0
5.0,32.0,4.0,0.3,6.0,0.0,2.0,8.0,0.8333333333333334,0.8235294117647058,0.7,1.0,1.0
5.0,32.0,4.0,0.2,4.0,0.0,2.0,8.0,0.8333333333333334,0.8235294117647058,0.7,1.0,1.0
3.0,64.0,4.0,0.1,4.0,0.1,2.0,8.0,0.8333333333333334,0.8235294117647058,0.7,1.0,0.974025974025974
3.0,32.0,4.0,0.1,4.0,0.1,2.0,8.0,0.8333333333333334,0.8235294117647058,0.7,1.0,1.0
5.0,32.0,2.0,0.1,4.0,0.1,2.0,8.0,0.8333333333333334,0.8235294117647058,0.7,1.0,1.0
5.0,64.0,2.0,0.2,8.0,0.0,2.0,8.0,0.8333333333333334,0.8235294117647058,0.7,1.0,1.0
5.0,64.0,4.0,0.2,8.0,0.1,2.0,8.0,0.7777777777777778,0.7777777777777778,0.6363636363636364,1.0,1.0
3.0,32.0,2.0,0.3,8.0,0.0,2.0,8.0,0.7777777777777778,0.7777777777777778,0.6363636363636364,1.0,1.0
3.0,32.0,2.0,0.1,4.0,0.0,2.0,8.0,0.7777777777777778,0.7777777777777778,0.6363636363636364,1.0,1.0
5.0,64.0,4.0,0.2,8.0,0.0,2.0,8.0,0.7777777777777778,0.7777777777777778,0.6363636363636364,1.0,1.0
5.0,64.0,4.0,0.1,8.0,0.1,2.0,8.0,0.7222222222222222,0.7368421052631579,0.5833333333333334,1.0,1.0
5.0,32.0,4.0,0.3,4.0,0.1,2.0,8.0,0.7222222222222222,0.7368421052631579,0.5833333333333334,1.0,1.0
5.0,32.0,4.0,0.2,8.0,0.0,2.0,8.0,0.7222222222222222,0.7368421052631579,0.5833333333333334,1.0,1.0
5.0,32.0,4.0,0.3,8.0,0.0,2.0,8.0,0.7222222222222222,0.7368421052631579,0.5833333333333334,1.0,1.0
3.0,64.0,2.0,0.1,4.0,0.0,2.0,8.0,0.7222222222222222,0.7368421052631579,0.5833333333333334,1.0,1.0
3.0,64.0,2.0,0.2,8.0,0.0,2.0,8.0,0.7222222222222222,0.7368421052631579,0.5833333333333334,1.0,1.0
5.0,32.0,2.0,0.2,4.0,0.1,2.0,8.0,0.7222222222222222,0.7368421052631579,0.5833333333333334,1.0,1.0
5.0,32.0,2.0,0.1,8.0,0.0,2.0,8.0,0.7222222222222222,0.7368421052631579,0.5833333333333334,1.0,1.0
3.0,32.0,2.0,0.3,4.0,0.0,2.0,8.0,0.7222222222222222,0.7368421052631579,0.5833333333333334,1.0,1.0
5.0,32.0,2.0,0.3,4.0,0.0,2.0,8.0,0.7222222222222222,0.7368421052631579,0.5833333333333334,1.0,1.0
3.0,32.0,4.0,0.2,6.0,0.1,2.0,8.0,0.7222222222222222,0.7368421052631579,0.5833333333333334,1.0,1.0
3.0,64.0,2.0,0.2,6.0,0.1,2.0,8.0,0.7222222222222222,0.7368421052631579,0.5833333333333334,1.0,1.0
5.0,32.0,2.0,0.1,6.0,0.0,2.0,8.0,0.7222222222222222,0.7368421052631579,0.5833333333333334,1.0,1.0
