depth,dim,heads,dropout,ffn_d_hidden,residual_dropout,n_blocks,d_token,accuracy,f1_score,precision,recall,auc_roc
3.0,64.0,4.0,0.2,8.0,0.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0
5.0,32.0,4.0,0.2,6.0,0.1,2.0,8.0,0.9090909090909091,0.9230769230769231,0.8571428571428571,1.0,0.9416666666666667
3.0,64.0,2.0,0.3,6.0,0.0,2.0,8.0,0.9090909090909091,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9249999999999999
5.0,32.0,2.0,0.3,6.0,0.1,2.0,8.0,0.8636363636363636,0.8888888888888888,0.8,1.0,0.9
3.0,32.0,4.0,0.3,8.0,0.0,2.0,8.0,0.8636363636363636,0.8695652173913043,0.9090909090909091,0.8333333333333334,0.9583333333333333
5.0,32.0,4.0,0.3,8.0,0.1,2.0,8.0,0.8636363636363636,0.8695652173913043,0.9090909090909091,0.8333333333333334,0.8916666666666667
3.0,32.0,2.0,0.3,4.0,0.1,2.0,8.0,0.8636363636363636,0.8695652173913043,0.9090909090909091,0.8333333333333334,0.9500000000000001
3.0,64.0,2.0,0.2,8.0,0.1,2.0,8.0,0.8636363636363636,0.8695652173913043,0.9090909090909091,0.8333333333333334,0.9166666666666666
3.0,32.0,4.0,0.1,6.0,0.0,2.0,8.0,0.8636363636363636,0.8571428571428571,1.0,0.75,0.9500000000000001
3.0,32.0,4.0,0.1,8.0,0.0,2.0,8.0,0.8181818181818182,0.8571428571428571,0.75,1.0,0.9083333333333333
3.0,64.0,4.0,0.2,6.0,0.1,2.0,8.0,0.8181818181818182,0.8571428571428571,0.75,1.0,0.8833333333333333
3.0,64.0,4.0,0.2,8.0,0.1,2.0,8.0,0.8181818181818182,0.8461538461538461,0.7857142857142857,0.9166666666666666,0.85
5.0,64.0,2.0,0.3,4.0,0.1,2.0,8.0,0.8181818181818182,0.8461538461538461,0.7857142857142857,0.9166666666666666,0.8333333333333334
3.0,64.0,2.0,0.2,6.0,0.1,2.0,8.0,0.8181818181818182,0.8461538461538461,0.7857142857142857,0.9166666666666666,0.8416666666666667
5.0,64.0,2.0,0.1,8.0,0.0,2.0,8.0,0.8181818181818182,0.8461538461538461,0.7857142857142857,0.9166666666666666,0.8833333333333334
3.0,32.0,2.0,0.3,6.0,0.0,2.0,8.0,0.8181818181818182,0.8461538461538461,0.7857142857142857,0.9166666666666666,0.8666666666666667
5.0,32.0,2.0,0.3,6.0,0.0,2.0,8.0,0.8181818181818182,0.8461538461538461,0.7857142857142857,0.9166666666666666,0.8416666666666667
3.0,32.0,2.0,0.2,4.0,0.1,2.0,8.0,0.8181818181818182,0.8461538461538461,0.7857142857142857,0.9166666666666666,0.8666666666666667
5.0,64.0,4.0,0.2,8.0,0.1,2.0,8.0,0.8181818181818182,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8416666666666667
3.0,32.0,4.0,0.3,6.0,0.1,2.0,8.0,0.8181818181818182,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9083333333333333
5.0,64.0,4.0,0.2,6.0,0.1,2.0,8.0,0.8181818181818182,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9249999999999999
3.0,32.0,2.0,0.2,6.0,0.0,2.0,8.0,0.8181818181818182,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.875
5.0,64.0,4.0,0.3,8.0,0.0,2.0,8.0,0.8181818181818182,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8999999999999999
3.0,64.0,4.0,0.1,6.0,0.0,2.0,8.0,0.8181818181818182,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9083333333333332
3.0,64.0,4.0,0.3,6.0,0.0,2.0,8.0,0.7727272727272727,0.8275862068965517,0.7058823529411765,1.0,0.8416666666666666
5.0,64.0,2.0,0.2,8.0,0.0,2.0,8.0,0.7727272727272727,0.8275862068965517,0.7058823529411765,1.0,0.9333333333333333
3.0,64.0,4.0,0.1,4.0,0.0,2.0,8.0,0.7727272727272727,0.8275862068965517,0.7058823529411765,1.0,0.925
3.0,32.0,2.0,0.2,4.0,0.0,2.0,8.0,0.7727272727272727,0.8275862068965517,0.7058823529411765,1.0,0.8833333333333333
5.0,32.0,4.0,0.1,8.0,0.0,2.0,8.0,0.7727272727272727,0.8275862068965517,0.7058823529411765,1.0,0.8833333333333333
5.0,64.0,2.0,0.2,6.0,0.0,2.0,8.0,0.8181818181818182,0.8181818181818182,0.9,0.75,0.925
5.0,32.0,2.0,0.3,4.0,0.1,2.0,8.0,0.7727272727272727,0.8148148148148148,0.7333333333333333,0.9166666666666666,0.9416666666666667
3.0,64.0,2.0,0.1,8.0,0.0,2.0,8.0,0.7727272727272727,0.8148148148148148,0.7333333333333333,0.9166666666666666,0.8583333333333334
5.0,64.0,2.0,0.2,4.0,0.1,2.0,8.0,0.7727272727272727,0.8148148148148148,0.7333333333333333,0.9166666666666666,0.8166666666666667
5.0,32.0,4.0,0.1,4.0,0.0,2.0,8.0,0.7727272727272727,0.8148148148148148,0.7333333333333333,0.9166666666666666,0.825
5.0,64.0,4.0,0.1,4.0,0.1,2.0,8.0,0.7727272727272727,0.8148148148148148,0.7333333333333333,0.9166666666666666,0.8916666666666666
3.0,64.0,2.0,0.3,8.0,0.1,2.0,8.0,0.7727272727272727,0.8148148148148148,0.7333333333333333,0.9166666666666666,0.85
5.0,32.0,2.0,0.1,6.0,0.1,2.0,8.0,0.7727272727272727,0.8148148148148148,0.7333333333333333,0.9166666666666666,0.7666666666666667
5.0,32.0,2.0,0.3,8.0,0.0,2.0,8.0,0.7727272727272727,0.8148148148148148,0.7333333333333333,0.9166666666666666,0.8666666666666667
5.0,64.0,4.0,0.1,8.0,0.1,2.0,8.0,0.7727272727272727,0.8148148148148148,0.7333333333333333,0.9166666666666666,0.8333333333333334
3.0,64.0,4.0,0.3,4.0,0.0,2.0,8.0,0.7727272727272727,0.8148148148148148,0.7333333333333333,0.9166666666666666,0.7916666666666666
5.0,32.0,2.0,0.1,8.0,0.0,2.0,8.0,0.7727272727272727,0.8,0.7692307692307693,0.8333333333333334,0.8166666666666667
5.0,64.0,4.0,0.3,4.0,0.1,2.0,8.0,0.7727272727272727,0.8,0.7692307692307693,0.8333333333333334,0.8666666666666667
3.0,32.0,4.0,0.2,8.0,0.0,2.0,8.0,0.7727272727272727,0.8,0.7692307692307693,0.8333333333333334,0.8583333333333334
5.0,64.0,4.0,0.1,6.0,0.1,2.0,8.0,0.7727272727272727,0.8,0.7692307692307693,0.8333333333333334,0.7833333333333333
5.0,64.0,2.0,0.1,6.0,0.1,2.0,8.0,0.7272727272727273,0.8,0.6666666666666666,1.0,0.9166666666666667
3.0,64.0,4.0,0.1,8.0,0.0,2.0,8.0,0.8181818181818182,0.8,1.0,0.6666666666666666,0.8916666666666666
5.0,32.0,2.0,0.2,6.0,0.1,2.0,8.0,0.7727272727272727,0.8,0.7692307692307693,0.8333333333333334,0.8333333333333334
3.0,32.0,4.0,0.3,6.0,0.0,2.0,8.0,0.7272727272727273,0.8,0.6666666666666666,1.0,0.9166666666666666
5.0,32.0,2.0,0.1,8.0,0.1,2.0,8.0,0.7272727272727273,0.8,0.6666666666666666,1.0,0.85
3.0,64.0,2.0,0.3,4.0,0.0,2.0,8.0,0.7727272727272727,0.8,0.7692307692307693,0.8333333333333334,0.8666666666666667
3.0,32.0,4.0,0.3,4.0,0.0,2.0,8.0,0.7727272727272727,0.8,0.7692307692307693,0.8333333333333334,0.8666666666666667
5.0,64.0,2.0,0.3,4.0,0.0,2.0,8.0,0.7727272727272727,0.8,0.7692307692307693,0.8333333333333334,0.925
3.0,64.0,2.0,0.2,6.0,0.0,2.0,8.0,0.7272727272727273,0.8,0.6666666666666666,1.0,0.8583333333333333
3.0,32.0,2.0,0.2,6.0,0.1,2.0,8.0,0.7727272727272727,0.8,0.7692307692307693,0.8333333333333334,0.8166666666666667
3.0,32.0,4.0,0.3,4.0,0.1,2.0,8.0,0.7272727272727273,0.7857142857142857,0.6875,0.9166666666666666,0.75
5.0,32.0,2.0,0.2,4.0,0.1,2.0,8.0,0.7272727272727273,0.7857142857142857,0.6875,0.9166666666666666,0.7416666666666667
5.0,64.0,4.0,0.1,8.0,0.0,2.0,8.0,0.7272727272727273,0.7857142857142857,0.6875,0.9166666666666666,0.85
3.0,32.0,4.0,0.2,4.0,0.0,2.0,8.0,0.7272727272727273,0.7857142857142857,0.6875,0.9166666666666666,0.8166666666666667
3.0,32.0,4.0,0.2,8.0,0.1,2.0,8.0,0.7727272727272727,0.782608695652174,0.8181818181818182,0.75,0.9
5.0,32.0,2.0,0.1,4.0,0.0,2.0,8.0,0.7727272727272727,0.782608695652174,0.8181818181818182,0.75,0.85
3.0,32.0,4.0,0.2,4.0,0.1,2.0,8.0,0.7727272727272727,0.782608695652174,0.8181818181818182,0.75,0.825
5.0,64.0,2.0,0.3,8.0,0.1,2.0,8.0,0.7727272727272727,0.782608695652174,0.8181818181818182,0.75,0.85
5.0,32.0,2.0,0.3,8.0,0.1,2.0,8.0,0.7727272727272727,0.782608695652174,0.8181818181818182,0.75,0.8333333333333334
3.0,64.0,4.0,0.3,8.0,0.0,2.0,8.0,0.7727272727272727,0.782608695652174,0.8181818181818182,0.75,0.9083333333333332
3.0,32.0,2.0,0.1,4.0,0.1,2.0,8.0,0.7727272727272727,0.782608695652174,0.8181818181818182,0.75,0.8583333333333333
