depth,dim,heads,dropout,accuracy,f1_score
3.0,64.0,2.0,0.2,1.0,1.0
5.0,32.0,4.0,0.3,1.0,1.0
3.0,32.0,4.0,0.3,1.0,1.0
3.0,32.0,4.0,0.1,1.0,1.0
5.0,64.0,4.0,0.1,1.0,1.0
5.0,32.0,4.0,0.1,0.9615384615384616,0.9714285714285714
3.0,32.0,2.0,0.3,0.9615384615384616,0.9714285714285714
5.0,32.0,4.0,0.2,0.9230769230769231,0.9411764705882353
5.0,64.0,2.0,0.3,0.9230769230769231,0.9411764705882353
3.0,64.0,4.0,0.1,0.8846153846153846,0.918918918918919
3.0,64.0,4.0,0.3,0.8846153846153846,0.9090909090909091
3.0,32.0,4.0,0.2,0.8461538461538461,0.8888888888888888
5.0,64.0,2.0,0.2,0.8461538461538461,0.8823529411764706
5.0,64.0,4.0,0.2,0.8461538461538461,0.8823529411764706
3.0,64.0,4.0,0.2,0.8461538461538461,0.875
3.0,32.0,2.0,0.2,0.8461538461538461,0.875
5.0,64.0,2.0,0.1,0.8461538461538461,0.875
5.0,32.0,2.0,0.3,0.8461538461538461,0.875
3.0,64.0,2.0,0.1,0.8076923076923077,0.8571428571428571
5.0,64.0,4.0,0.3,0.8076923076923077,0.8387096774193549
3.0,64.0,2.0,0.3,0.8076923076923077,0.8387096774193549
5.0,32.0,2.0,0.2,0.7692307692307693,0.8
5.0,32.0,2.0,0.1,0.7692307692307693,0.8
3.0,32.0,2.0,0.1,0.6923076923076923,0.7142857142857143
