depth,dim,heads,dropout,accuracy,f1_score
3.0,32.0,4.0,0.2,0.42857142857142855,0.6
5.0,64.0,2.0,0.2,0.42857142857142855,0.6
3.0,64.0,4.0,0.3,0.42857142857142855,0.6
3.0,32.0,4.0,0.3,0.42857142857142855,0.6
5.0,32.0,2.0,0.3,0.42857142857142855,0.6
5.0,32.0,4.0,0.2,0.42857142857142855,0.6
3.0,64.0,4.0,0.2,0.42857142857142855,0.6
3.0,64.0,2.0,0.1,0.42857142857142855,0.6
5.0,64.0,4.0,0.3,0.42857142857142855,0.6
3.0,32.0,2.0,0.2,0.42857142857142855,0.6
3.0,64.0,4.0,0.1,0.42857142857142855,0.6
5.0,64.0,2.0,0.1,0.42857142857142855,0.6
5.0,32.0,2.0,0.2,0.2857142857142857,0.4444444444444444
5.0,64.0,4.0,0.2,0.2857142857142857,0.4444444444444444
3.0,32.0,4.0,0.1,0.2857142857142857,0.4444444444444444
5.0,64.0,2.0,0.3,0.2857142857142857,0.4444444444444444
5.0,32.0,2.0,0.1,0.2857142857142857,0.4444444444444444
3.0,64.0,2.0,0.3,0.14285714285714285,0.25
3.0,64.0,2.0,0.2,0.14285714285714285,0.0
5.0,64.0,4.0,0.1,0.2857142857142857,0.0
5.0,32.0,4.0,0.1,0.42857142857142855,0.0
3.0,32.0,2.0,0.3,0.42857142857142855,0.0
5.0,32.0,4.0,0.3,0.14285714285714285,0.0
3.0,32.0,2.0,0.1,0.2857142857142857,0.0
