depth,dim,heads,dropout,ffn_d_hidden,residual_dropout,n_blocks,d_token,accuracy,f1_score,precision,recall,auc_roc
5.0,64.0,2.0,0.2,4.0,0.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0
3.0,64.0,2.0,0.3,6.0,0.0,2.0,8.0,0.975,0.9803921568627451,1.0,0.9615384615384616,0.9862637362637362
3.0,64.0,2.0,0.3,6.0,0.1,2.0,8.0,0.975,0.9803921568627451,1.0,0.9615384615384616,0.9945054945054945
3.0,32.0,4.0,0.3,8.0,0.1,2.0,8.0,0.975,0.9803921568627451,1.0,0.9615384615384616,0.9835164835164835
5.0,64.0,2.0,0.2,6.0,0.0,2.0,8.0,0.975,0.9803921568627451,1.0,0.9615384615384616,0.989010989010989
3.0,64.0,4.0,0.2,8.0,0.0,2.0,8.0,0.975,0.9803921568627451,1.0,0.9615384615384616,0.989010989010989
5.0,32.0,4.0,0.2,8.0,0.0,2.0,8.0,0.975,0.9803921568627451,1.0,0.9615384615384616,1.0
3.0,32.0,2.0,0.2,6.0,0.0,2.0,8.0,0.975,0.9803921568627451,1.0,0.9615384615384616,0.9945054945054945
5.0,64.0,4.0,0.3,8.0,0.0,2.0,8.0,0.975,0.9803921568627451,1.0,0.9615384615384616,0.9862637362637362
3.0,64.0,4.0,0.3,6.0,0.0,2.0,8.0,0.975,0.9803921568627451,1.0,0.9615384615384616,0.9917582417582418
5.0,64.0,4.0,0.1,8.0,0.1,2.0,8.0,0.975,0.9803921568627451,1.0,0.9615384615384616,0.9945054945054945
3.0,32.0,4.0,0.1,8.0,0.1,2.0,8.0,0.975,0.9803921568627451,1.0,0.9615384615384616,0.9752747252747253
3.0,32.0,2.0,0.2,4.0,0.1,2.0,8.0,0.975,0.9803921568627451,1.0,0.9615384615384616,1.0
3.0,32.0,4.0,0.3,6.0,0.1,2.0,8.0,0.975,0.9803921568627451,1.0,0.9615384615384616,0.9752747252747253
5.0,64.0,2.0,0.3,6.0,0.1,2.0,8.0,0.975,0.9803921568627451,1.0,0.9615384615384616,0.989010989010989
5.0,64.0,4.0,0.3,4.0,0.0,2.0,8.0,0.95,0.9629629629629629,0.9285714285714286,1.0,1.0
3.0,32.0,4.0,0.1,4.0,0.1,2.0,8.0,0.95,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9807692307692308
5.0,64.0,4.0,0.3,8.0,0.1,2.0,8.0,0.95,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9807692307692308
3.0,64.0,2.0,0.3,4.0,0.0,2.0,8.0,0.95,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9835164835164834
3.0,64.0,2.0,0.2,8.0,0.1,2.0,8.0,0.95,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9862637362637362
3.0,32.0,2.0,0.3,8.0,0.1,2.0,8.0,0.95,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9807692307692308
5.0,64.0,4.0,0.1,4.0,0.0,2.0,8.0,0.95,0.96,1.0,0.9230769230769231,0.9835164835164835
3.0,32.0,4.0,0.1,4.0,0.0,2.0,8.0,0.95,0.96,1.0,0.9230769230769231,1.0
3.0,64.0,2.0,0.3,4.0,0.1,2.0,8.0,0.95,0.96,1.0,0.9230769230769231,0.9917582417582418
5.0,32.0,4.0,0.3,6.0,0.0,2.0,8.0,0.95,0.96,1.0,0.9230769230769231,0.9752747252747253
5.0,32.0,2.0,0.2,4.0,0.1,2.0,8.0,0.95,0.96,1.0,0.9230769230769231,0.9945054945054945
3.0,64.0,2.0,0.1,6.0,0.0,2.0,8.0,0.95,0.96,1.0,0.9230769230769231,0.9807692307692308
3.0,32.0,2.0,0.1,8.0,0.0,2.0,8.0,0.95,0.96,1.0,0.9230769230769231,0.989010989010989
5.0,64.0,4.0,0.1,4.0,0.1,2.0,8.0,0.95,0.96,1.0,0.9230769230769231,0.9945054945054945
5.0,64.0,4.0,0.1,8.0,0.0,2.0,8.0,0.95,0.96,1.0,0.9230769230769231,0.9945054945054945
5.0,32.0,2.0,0.3,8.0,0.0,2.0,8.0,0.95,0.96,1.0,0.9230769230769231,0.967032967032967
5.0,64.0,4.0,0.2,8.0,0.1,2.0,8.0,0.95,0.96,1.0,0.9230769230769231,0.9972527472527473
3.0,32.0,2.0,0.3,6.0,0.0,2.0,8.0,0.925,0.9433962264150944,0.9259259259259259,0.9615384615384616,0.9807692307692308
3.0,32.0,2.0,0.2,8.0,0.0,2.0,8.0,0.925,0.9433962264150944,0.9259259259259259,0.9615384615384616,0.9807692307692308
3.0,64.0,2.0,0.1,6.0,0.1,2.0,8.0,0.925,0.9433962264150944,0.9259259259259259,0.9615384615384616,0.989010989010989
5.0,64.0,4.0,0.2,6.0,0.1,2.0,8.0,0.925,0.9433962264150944,0.9259259259259259,0.9615384615384616,0.9862637362637362
3.0,32.0,4.0,0.3,4.0,0.0,2.0,8.0,0.925,0.9433962264150944,0.9259259259259259,0.9615384615384616,0.9945054945054945
5.0,64.0,2.0,0.2,8.0,0.1,2.0,8.0,0.925,0.9411764705882353,0.96,0.9230769230769231,0.9807692307692307
3.0,32.0,2.0,0.1,6.0,0.1,2.0,8.0,0.925,0.9411764705882353,0.96,0.9230769230769231,0.9697802197802198
3.0,64.0,4.0,0.1,4.0,0.1,2.0,8.0,0.925,0.9411764705882353,0.96,0.9230769230769231,0.989010989010989
3.0,32.0,2.0,0.1,8.0,0.1,2.0,8.0,0.925,0.9411764705882353,0.96,0.9230769230769231,0.9835164835164834
5.0,32.0,2.0,0.3,4.0,0.1,2.0,8.0,0.925,0.9411764705882353,0.96,0.9230769230769231,0.9725274725274726
3.0,32.0,2.0,0.1,4.0,0.0,2.0,8.0,0.925,0.9411764705882353,0.96,0.9230769230769231,0.989010989010989
3.0,64.0,2.0,0.2,6.0,0.0,2.0,8.0,0.925,0.9387755102040817,1.0,0.8846153846153846,1.0
5.0,64.0,2.0,0.2,4.0,0.1,2.0,8.0,0.925,0.9387755102040817,1.0,0.8846153846153846,0.9917582417582418
5.0,64.0,2.0,0.1,4.0,0.1,2.0,8.0,0.925,0.9387755102040817,1.0,0.8846153846153846,0.9917582417582418
3.0,64.0,2.0,0.1,4.0,0.1,2.0,8.0,0.925,0.9387755102040817,1.0,0.8846153846153846,0.9807692307692306
5.0,64.0,4.0,0.3,4.0,0.1,2.0,8.0,0.925,0.9387755102040817,1.0,0.8846153846153846,0.9807692307692308
5.0,32.0,2.0,0.1,6.0,0.1,2.0,8.0,0.925,0.9387755102040817,1.0,0.8846153846153846,0.9835164835164835
3.0,64.0,4.0,0.1,8.0,0.0,2.0,8.0,0.925,0.9387755102040817,1.0,0.8846153846153846,0.9835164835164835
3.0,32.0,4.0,0.3,8.0,0.0,2.0,8.0,0.925,0.9387755102040817,1.0,0.8846153846153846,0.9862637362637362
5.0,64.0,2.0,0.2,6.0,0.1,2.0,8.0,0.925,0.9387755102040817,1.0,0.8846153846153846,0.9835164835164834
3.0,32.0,2.0,0.3,6.0,0.1,2.0,8.0,0.925,0.9387755102040817,1.0,0.8846153846153846,0.9945054945054945
5.0,32.0,4.0,0.2,4.0,0.0,2.0,8.0,0.9,0.9259259259259259,0.8928571428571429,0.9615384615384616,0.9725274725274725
5.0,32.0,2.0,0.1,6.0,0.0,2.0,8.0,0.9,0.9259259259259259,0.8928571428571429,0.9615384615384616,0.9642857142857142
5.0,32.0,4.0,0.3,4.0,0.0,2.0,8.0,0.9,0.9259259259259259,0.8928571428571429,0.9615384615384616,0.9725274725274725
5.0,32.0,2.0,0.3,4.0,0.0,2.0,8.0,0.9,0.9259259259259259,0.8928571428571429,0.9615384615384616,0.989010989010989
3.0,64.0,2.0,0.2,6.0,0.1,2.0,8.0,0.9,0.9259259259259259,0.8928571428571429,0.9615384615384616,0.9835164835164835
5.0,32.0,2.0,0.3,6.0,0.1,2.0,8.0,0.9,0.9259259259259259,0.8928571428571429,0.9615384615384616,0.9835164835164835
3.0,64.0,2.0,0.2,4.0,0.1,2.0,8.0,0.9,0.9259259259259259,0.8928571428571429,0.9615384615384616,0.9807692307692308
5.0,64.0,2.0,0.3,8.0,0.1,2.0,8.0,0.9,0.9259259259259259,0.8928571428571429,0.9615384615384616,0.9807692307692308
3.0,64.0,4.0,0.3,6.0,0.1,2.0,8.0,0.9,0.9259259259259259,0.8928571428571429,0.9615384615384616,0.9862637362637362
5.0,32.0,4.0,0.2,6.0,0.0,2.0,8.0,0.9,0.9259259259259259,0.8928571428571429,0.9615384615384616,0.9807692307692308
3.0,32.0,4.0,0.2,4.0,0.0,2.0,8.0,0.9,0.9259259259259259,0.8928571428571429,0.9615384615384616,0.9587912087912088
3.0,64.0,2.0,0.2,4.0,0.0,2.0,8.0,0.9,0.9259259259259259,0.8928571428571429,0.9615384615384616,0.9807692307692308
5.0,64.0,2.0,0.1,6.0,0.0,2.0,8.0,0.9,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9725274725274725
3.0,32.0,2.0,0.2,6.0,0.1,2.0,8.0,0.9,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9587912087912088
5.0,32.0,4.0,0.3,4.0,0.1,2.0,8.0,0.9,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9752747252747251
3.0,32.0,2.0,0.2,8.0,0.1,2.0,8.0,0.9,0.9166666666666666,1.0,0.8461538461538461,0.9835164835164835
5.0,32.0,4.0,0.3,8.0,0.1,2.0,8.0,0.9,0.9166666666666666,1.0,0.8461538461538461,0.9862637362637362
5.0,32.0,4.0,0.2,4.0,0.1,2.0,8.0,0.9,0.9166666666666666,1.0,0.8461538461538461,0.989010989010989
5.0,32.0,2.0,0.2,8.0,0.1,2.0,8.0,0.9,0.9166666666666666,1.0,0.8461538461538461,0.9835164835164835
3.0,64.0,4.0,0.3,8.0,0.1,2.0,8.0,0.9,0.9166666666666666,1.0,0.8461538461538461,0.9862637362637362
5.0,32.0,4.0,0.2,6.0,0.1,2.0,8.0,0.9,0.9166666666666666,1.0,0.8461538461538461,0.9835164835164835
3.0,32.0,2.0,0.1,6.0,0.0,2.0,8.0,0.9,0.9166666666666666,1.0,0.8461538461538461,0.9780219780219781
5.0,32.0,4.0,0.1,8.0,0.1,2.0,8.0,0.875,0.9122807017543859,0.8387096774193549,1.0,0.989010989010989
3.0,64.0,4.0,0.3,4.0,0.0,2.0,8.0,0.875,0.9122807017543859,0.8387096774193549,1.0,0.9835164835164834
3.0,32.0,4.0,0.2,8.0,0.0,2.0,8.0,0.875,0.9122807017543859,0.8387096774193549,1.0,0.9917582417582418
3.0,64.0,4.0,0.2,8.0,0.1,2.0,8.0,0.875,0.9090909090909091,0.8620689655172413,0.9615384615384616,0.9780219780219781
5.0,32.0,4.0,0.2,8.0,0.1,2.0,8.0,0.875,0.9090909090909091,0.8620689655172413,0.9615384615384616,0.9505494505494505
3.0,64.0,4.0,0.2,4.0,0.0,2.0,8.0,0.875,0.9090909090909091,0.8620689655172413,0.9615384615384616,0.9725274725274725
3.0,64.0,4.0,0.3,4.0,0.1,2.0,8.0,0.875,0.9090909090909091,0.8620689655172413,0.9615384615384616,0.9835164835164835
3.0,32.0,2.0,0.1,4.0,0.1,2.0,8.0,0.875,0.9090909090909091,0.8620689655172413,0.9615384615384616,0.9807692307692308
5.0,64.0,2.0,0.2,8.0,0.0,2.0,8.0,0.875,0.9090909090909091,0.8620689655172413,0.9615384615384616,0.9752747252747253
3.0,64.0,4.0,0.2,6.0,0.0,2.0,8.0,0.875,0.9090909090909091,0.8620689655172413,0.9615384615384616,0.9807692307692307
5.0,32.0,2.0,0.2,6.0,0.1,2.0,8.0,0.875,0.9056603773584906,0.8888888888888888,0.9230769230769231,0.9752747252747253
5.0,64.0,4.0,0.1,6.0,0.1,2.0,8.0,0.875,0.8979591836734694,0.9565217391304348,0.8461538461538461,0.9807692307692307
5.0,32.0,4.0,0.1,8.0,0.0,2.0,8.0,0.85,0.896551724137931,0.8125,1.0,0.9752747252747253
5.0,64.0,4.0,0.1,6.0,0.0,2.0,8.0,0.875,0.8936170212765957,1.0,0.8076923076923077,0.9752747252747253
5.0,32.0,4.0,0.1,4.0,0.0,2.0,8.0,0.875,0.8936170212765957,1.0,0.8076923076923077,1.0
3.0,64.0,2.0,0.1,4.0,0.0,2.0,8.0,0.875,0.8936170212765957,1.0,0.8076923076923077,1.0
3.0,64.0,4.0,0.1,8.0,0.1,2.0,8.0,0.875,0.8936170212765957,1.0,0.8076923076923077,0.9807692307692308
5.0,32.0,2.0,0.2,4.0,0.0,2.0,8.0,0.875,0.8936170212765957,1.0,0.8076923076923077,0.9862637362637362
5.0,64.0,4.0,0.2,4.0,0.1,2.0,8.0,0.875,0.8936170212765957,1.0,0.8076923076923077,0.9972527472527473
5.0,32.0,2.0,0.1,4.0,0.1,2.0,8.0,0.85,0.8928571428571429,0.8333333333333334,0.9615384615384616,0.9807692307692308
3.0,32.0,2.0,0.3,4.0,0.1,2.0,8.0,0.85,0.8928571428571429,0.8333333333333334,0.9615384615384616,0.9807692307692308
5.0,64.0,4.0,0.2,8.0,0.0,2.0,8.0,0.85,0.8928571428571429,0.8333333333333334,0.9615384615384616,0.9752747252747253
5.0,32.0,2.0,0.2,6.0,0.0,2.0,8.0,0.85,0.8928571428571429,0.8333333333333334,0.9615384615384616,0.9780219780219781
5.0,32.0,2.0,0.3,8.0,0.1,2.0,8.0,0.85,0.8928571428571429,0.8333333333333334,0.9615384615384616,0.9752747252747254
3.0,64.0,2.0,0.1,8.0,0.0,2.0,8.0,0.85,0.8928571428571429,0.8333333333333334,0.9615384615384616,0.9835164835164835
3.0,32.0,4.0,0.2,6.0,0.1,2.0,8.0,0.825,0.8813559322033898,0.7878787878787878,1.0,0.9862637362637363
5.0,32.0,4.0,0.1,4.0,0.1,2.0,8.0,0.825,0.8813559322033898,0.7878787878787878,1.0,0.9807692307692308
3.0,32.0,4.0,0.1,6.0,0.1,2.0,8.0,0.825,0.8771929824561403,0.8064516129032258,0.9615384615384616,0.9807692307692308
5.0,64.0,2.0,0.1,8.0,0.0,2.0,8.0,0.825,0.8771929824561403,0.8064516129032258,0.9615384615384616,0.9780219780219781
3.0,32.0,4.0,0.3,6.0,0.0,2.0,8.0,0.825,0.8771929824561403,0.8064516129032258,0.9615384615384616,0.9807692307692308
3.0,64.0,4.0,0.1,6.0,0.0,2.0,8.0,0.825,0.8771929824561403,0.8064516129032258,0.9615384615384616,0.9423076923076923
5.0,32.0,4.0,0.3,6.0,0.1,2.0,8.0,0.825,0.8771929824561403,0.8064516129032258,0.9615384615384616,0.9807692307692308
3.0,32.0,2.0,0.3,4.0,0.0,2.0,8.0,0.825,0.8771929824561403,0.8064516129032258,0.9615384615384616,0.9752747252747253
5.0,64.0,2.0,0.3,8.0,0.0,2.0,8.0,0.825,0.8727272727272727,0.8275862068965517,0.9230769230769231,0.9340659340659341
5.0,64.0,2.0,0.3,4.0,0.0,2.0,8.0,0.85,0.8695652173913043,1.0,0.7692307692307693,0.9945054945054945
3.0,64.0,4.0,0.1,4.0,0.0,2.0,8.0,0.85,0.8695652173913043,1.0,0.7692307692307693,0.967032967032967
5.0,32.0,2.0,0.2,8.0,0.0,2.0,8.0,0.85,0.8695652173913043,1.0,0.7692307692307693,0.989010989010989
3.0,64.0,2.0,0.3,8.0,0.1,2.0,8.0,0.85,0.8695652173913043,1.0,0.7692307692307693,0.9917582417582418
3.0,32.0,2.0,0.2,4.0,0.0,2.0,8.0,0.8,0.8666666666666667,0.7647058823529411,1.0,0.9752747252747253
5.0,64.0,2.0,0.3,6.0,0.0,2.0,8.0,0.8,0.8666666666666667,0.7647058823529411,1.0,0.9862637362637362
