depth,dim,heads,dropout,ffn_d_hidden,residual_dropout,n_blocks,d_token,accuracy,f1_score,precision,recall,auc_roc
5.0,64.0,2.0,0.2,4.0,0.0,2.0,8.0,0.96,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9806763285024154
5.0,64.0,2.0,0.2,4.0,0.1,2.0,8.0,0.96,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9774557165861514
5.0,32.0,2.0,0.1,6.0,0.0,2.0,8.0,0.96,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9790660225442833
5.0,64.0,2.0,0.3,6.0,0.0,2.0,8.0,0.96,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9790660225442833
3.0,32.0,2.0,0.2,6.0,0.1,2.0,8.0,0.96,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9822866344605475
3.0,32.0,2.0,0.2,4.0,0.1,2.0,8.0,0.96,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9758454106280194
5.0,64.0,4.0,0.1,8.0,0.1,2.0,8.0,0.94,0.9454545454545454,0.9285714285714286,0.9629629629629629,0.9790660225442833
5.0,64.0,2.0,0.1,6.0,0.0,2.0,8.0,0.94,0.9454545454545454,0.9285714285714286,0.9629629629629629,0.9774557165861513
5.0,64.0,2.0,0.2,8.0,0.0,2.0,8.0,0.94,0.9454545454545454,0.9285714285714286,0.9629629629629629,0.9790660225442834
5.0,64.0,2.0,0.3,4.0,0.1,2.0,8.0,0.94,0.9454545454545454,0.9285714285714286,0.9629629629629629,0.9758454106280192
3.0,64.0,2.0,0.1,4.0,0.0,2.0,8.0,0.94,0.9454545454545454,0.9285714285714286,0.9629629629629629,0.9758454106280193
5.0,64.0,4.0,0.3,8.0,0.0,2.0,8.0,0.94,0.9454545454545454,0.9285714285714286,0.9629629629629629,0.9758454106280193
3.0,32.0,4.0,0.1,6.0,0.0,2.0,8.0,0.94,0.9454545454545454,0.9285714285714286,0.9629629629629629,0.9774557165861513
3.0,32.0,4.0,0.2,8.0,0.1,2.0,8.0,0.94,0.9454545454545454,0.9285714285714286,0.9629629629629629,0.9774557165861514
5.0,64.0,2.0,0.2,6.0,0.1,2.0,8.0,0.94,0.9454545454545454,0.9285714285714286,0.9629629629629629,0.9790660225442833
3.0,64.0,2.0,0.1,8.0,0.0,2.0,8.0,0.94,0.9454545454545454,0.9285714285714286,0.9629629629629629,0.9742351046698872
5.0,32.0,4.0,0.2,6.0,0.0,2.0,8.0,0.94,0.9454545454545454,0.9285714285714286,0.9629629629629629,0.9790660225442833
