depth,dim,heads,dropout,accuracy,f1_score
5.0,32.0,4.0,0.1,0.7857142857142857,0.7692307692307693
5.0,32.0,2.0,0.2,0.7380952380952381,0.7659574468085106
3.0,64.0,4.0,0.2,0.8095238095238095,0.7647058823529411
5.0,32.0,4.0,0.2,0.7857142857142857,0.7567567567567568
5.0,64.0,2.0,0.1,0.6904761904761905,0.6829268292682927
3.0,64.0,2.0,0.2,0.5476190476190477,0.6666666666666666
5.0,32.0,2.0,0.3,0.6666666666666666,0.6666666666666666
5.0,64.0,4.0,0.2,0.5238095238095238,0.6551724137931034
3.0,64.0,4.0,0.3,0.6428571428571429,0.6511627906976745
5.0,32.0,4.0,0.3,0.7142857142857143,0.6470588235294118
3.0,64.0,2.0,0.3,0.5952380952380952,0.6382978723404256
3.0,32.0,4.0,0.3,0.5952380952380952,0.6382978723404256
3.0,32.0,4.0,0.1,0.5238095238095238,0.6296296296296297
3.0,32.0,4.0,0.2,0.5952380952380952,0.6222222222222222
3.0,64.0,4.0,0.1,0.47619047619047616,0.6071428571428571
5.0,64.0,2.0,0.3,0.7142857142857143,0.6
3.0,32.0,2.0,0.1,0.6904761904761905,0.5806451612903226
5.0,64.0,2.0,0.2,0.5,0.5714285714285714
5.0,64.0,4.0,0.3,0.6666666666666666,0.5625
3.0,32.0,2.0,0.2,0.5952380952380952,0.5405405405405406
5.0,64.0,4.0,0.1,0.5952380952380952,0.5405405405405406
3.0,32.0,2.0,0.3,0.5476190476190477,0.0
3.0,64.0,2.0,0.1,0.5476190476190477,0.0
5.0,32.0,2.0,0.1,0.5476190476190477,0.0
