depth,dim,heads,dropout,ffn_d_hidden,residual_dropout,n_blocks,d_token,accuracy,f1_score,precision,recall,auc_roc
3.0,32.0,2.0,0.1,6.0,0.1,2.0,8.0,0.7285714285714285,0.8347826086956521,0.7164179104477612,1.0,0.8058712121212122
5.0,32.0,2.0,0.1,8.0,0.1,2.0,8.0,0.7428571428571429,0.8333333333333334,0.75,0.9375,0.8153409090909091
5.0,64.0,2.0,0.1,4.0,0.0,2.0,8.0,0.7142857142857143,0.8275862068965517,0.7058823529411765,1.0,0.790719696969697
5.0,32.0,2.0,0.3,4.0,0.0,2.0,8.0,0.7142857142857143,0.8275862068965517,0.7058823529411765,1.0,0.7462121212121212
5.0,32.0,4.0,0.2,6.0,0.0,2.0,8.0,0.7142857142857143,0.8275862068965517,0.7058823529411765,1.0,0.7585227272727274
3.0,64.0,4.0,0.1,6.0,0.1,2.0,8.0,0.7285714285714285,0.8256880733944955,0.7377049180327869,0.9375,0.7623106060606061
3.0,32.0,2.0,0.1,6.0,0.0,2.0,8.0,0.7142857142857143,0.8245614035087719,0.7121212121212122,0.9791666666666666,0.7291666666666667
3.0,32.0,4.0,0.1,4.0,0.0,2.0,8.0,0.7142857142857143,0.8245614035087719,0.7121212121212122,0.9791666666666666,0.7869318181818182
3.0,32.0,2.0,0.1,8.0,0.0,2.0,8.0,0.7142857142857143,0.8245614035087719,0.7121212121212122,0.9791666666666666,0.7528409090909092
5.0,64.0,4.0,0.1,6.0,0.1,2.0,8.0,0.7142857142857143,0.8214285714285714,0.71875,0.9583333333333334,0.7679924242424242
5.0,32.0,2.0,0.3,6.0,0.1,2.0,8.0,0.7142857142857143,0.8214285714285714,0.71875,0.9583333333333334,0.7945075757575759
3.0,64.0,2.0,0.1,8.0,0.0,2.0,8.0,0.7571428571428571,0.8210526315789474,0.8297872340425532,0.8125,0.8200757575757576
3.0,32.0,2.0,0.3,6.0,0.1,2.0,8.0,0.7,0.8173913043478261,0.7014925373134329,0.9791666666666666,0.7926136363636362
5.0,64.0,4.0,0.2,6.0,0.1,2.0,8.0,0.7142857142857143,0.8148148148148148,0.7333333333333333,0.9166666666666666,0.787878787878788
