hidden_dim,lr,epochs,batch_size,dropout,accuracy,f1_score
128.0,0.001,20.0,32.0,0.3,1.0,1.0
128.0,0.0005,20.0,32.0,0.3,0.9,0.898989898989899
128.0,0.0005,10.0,32.0,0.2,0.9,0.898989898989899
256.0,0.0005,20.0,32.0,0.3,0.9,0.898989898989899
256.0,0.001,20.0,64.0,0.2,0.9,0.898989898989899
128.0,0.0005,20.0,64.0,0.2,0.9,0.898989898989899
128.0,0.001,20.0,64.0,0.2,0.9,0.898989898989899
128.0,0.001,10.0,64.0,0.3,0.9,0.898989898989899
128.0,0.0005,10.0,64.0,0.2,0.9,0.898989898989899
256.0,0.0005,10.0,32.0,0.3,0.9,0.898989898989899
128.0,0.001,20.0,64.0,0.3,0.9,0.898989898989899
128.0,0.0005,20.0,64.0,0.3,0.9,0.898989898989899
128.0,0.0005,20.0,32.0,0.2,0.9,0.898989898989899
128.0,0.001,20.0,32.0,0.2,0.9,0.898989898989899
256.0,0.001,20.0,64.0,0.3,0.9,0.898989898989899
256.0,0.001,10.0,32.0,0.2,0.9,0.898989898989899
256.0,0.001,20.0,32.0,0.3,0.9,0.898989898989899
256.0,0.001,10.0,32.0,0.3,0.8,0.8
128.0,0.001,10.0,32.0,0.2,0.8,0.7916666666666667
256.0,0.0005,10.0,64.0,0.3,0.8,0.7916666666666667
128.0,0.0005,10.0,64.0,0.3,0.8,0.7916666666666667
128.0,0.001,10.0,32.0,0.3,0.8,0.7916666666666667
128.0,0.0005,10.0,32.0,0.3,0.8,0.7916666666666667
256.0,0.0005,20.0,64.0,0.2,0.8,0.7916666666666667
256.0,0.001,10.0,64.0,0.2,0.8,0.7916666666666667
256.0,0.0005,20.0,32.0,0.2,0.8,0.7916666666666667
256.0,0.001,20.0,32.0,0.2,0.8,0.7916666666666667
256.0,0.0005,20.0,64.0,0.3,0.8,0.7916666666666667
256.0,0.0005,10.0,32.0,0.2,0.7,0.696969696969697
256.0,0.0005,10.0,64.0,0.2,0.7,0.6703296703296703
256.0,0.001,10.0,64.0,0.3,0.7,0.6703296703296703
128.0,0.001,10.0,64.0,0.2,0.7,0.6703296703296703
