hidden_dim,lr,epochs,batch_size,dropout,num_heads,num_layers,accuracy,f1_score,auc_roc
128.0,0.001,20.0,32.0,0.2,8.0,2.0,0.8,0.819047619047619,0.875
128.0,0.0005,20.0,32.0,0.3,4.0,2.0,0.8,0.819047619047619,0.875
128.0,0.0005,20.0,32.0,0.2,4.0,6.0,0.8,0.8,0.734375
128.0,0.001,10.0,64.0,0.3,4.0,6.0,0.8,0.7725490196078432,0.640625
256.0,0.0005,10.0,32.0,0.2,8.0,4.0,0.8,0.7725490196078432,0.6640625
128.0,0.0005,20.0,64.0,0.2,8.0,6.0,0.8,0.7725490196078432,0.6640625
128.0,0.0005,10.0,64.0,0.2,8.0,4.0,0.75,0.7359307359307359,0.6328125
128.0,0.0005,10.0,32.0,0.3,8.0,2.0,0.75,0.7359307359307359,0.609375
128.0,0.001,20.0,64.0,0.3,8.0,6.0,0.75,0.7359307359307359,0.5625
128.0,0.0005,20.0,32.0,0.3,4.0,4.0,0.75,0.7359307359307359,0.6328125
256.0,0.0005,20.0,32.0,0.3,4.0,4.0,0.75,0.7359307359307359,0.6328125
128.0,0.001,20.0,64.0,0.2,4.0,2.0,0.75,0.7359307359307359,0.6328125
128.0,0.0005,10.0,64.0,0.3,4.0,2.0,0.7,0.7,0.578125
128.0,0.001,10.0,32.0,0.2,8.0,2.0,0.7,0.7,0.578125
128.0,0.001,10.0,32.0,0.3,4.0,4.0,0.7,0.7,0.5546875
128.0,0.0005,10.0,32.0,0.3,8.0,4.0,0.7,0.7,0.5546875
128.0,0.0005,10.0,64.0,0.2,4.0,2.0,0.7,0.7,0.578125
128.0,0.0005,20.0,64.0,0.3,4.0,4.0,0.7,0.7,0.578125
256.0,0.001,10.0,64.0,0.3,4.0,4.0,0.7,0.7,0.5546875
128.0,0.0005,20.0,64.0,0.3,4.0,6.0,0.7,0.7,0.578125
256.0,0.0005,20.0,32.0,0.2,4.0,4.0,0.65,0.6796238244514107,0.609375
128.0,0.0005,20.0,64.0,0.2,4.0,6.0,0.65,0.6796238244514107,0.609375
256.0,0.0005,10.0,32.0,0.3,8.0,6.0,0.65,0.6796238244514107,0.609375
128.0,0.001,10.0,32.0,0.2,8.0,6.0,0.65,0.6637992831541218,0.5
128.0,0.001,20.0,64.0,0.2,8.0,6.0,0.65,0.6637992831541218,0.5
128.0,0.0005,20.0,32.0,0.3,8.0,4.0,0.65,0.6637992831541218,0.5234375
128.0,0.001,20.0,32.0,0.3,8.0,4.0,0.65,0.6637992831541218,0.5234375
128.0,0.0005,10.0,32.0,0.3,8.0,6.0,0.65,0.6637992831541218,0.5234375
128.0,0.0005,20.0,64.0,0.2,8.0,4.0,0.65,0.6637992831541218,0.5234375
128.0,0.001,20.0,64.0,0.2,8.0,4.0,0.65,0.6637992831541218,0.5234375
256.0,0.0005,10.0,64.0,0.2,8.0,4.0,0.65,0.6637992831541218,0.5
256.0,0.001,10.0,64.0,0.2,8.0,4.0,0.65,0.6637992831541218,0.5
128.0,0.001,10.0,64.0,0.2,8.0,4.0,0.65,0.6637992831541218,0.5
128.0,0.001,20.0,32.0,0.3,8.0,6.0,0.65,0.6637992831541218,0.5234375
256.0,0.001,10.0,32.0,0.2,8.0,4.0,0.65,0.6637992831541218,0.5
128.0,0.0005,10.0,32.0,0.2,8.0,4.0,0.65,0.6637992831541218,0.5234375
128.0,0.0005,10.0,32.0,0.2,4.0,2.0,0.65,0.6637992831541218,0.5234375
128.0,0.0005,20.0,32.0,0.3,8.0,6.0,0.65,0.6637992831541218,0.5234375
256.0,0.0005,10.0,64.0,0.3,4.0,4.0,0.65,0.6637992831541218,0.5234375
128.0,0.001,10.0,64.0,0.3,8.0,6.0,0.65,0.6637992831541218,0.5234375
128.0,0.0005,10.0,64.0,0.3,4.0,4.0,0.65,0.6637992831541218,0.5234375
128.0,0.001,10.0,64.0,0.3,4.0,4.0,0.65,0.6637992831541218,0.5234375
128.0,0.0005,10.0,64.0,0.3,8.0,6.0,0.65,0.6637992831541218,0.5234375
256.0,0.001,10.0,64.0,0.3,8.0,6.0,0.65,0.6637992831541218,0.5234375
256.0,0.0005,10.0,64.0,0.3,8.0,6.0,0.65,0.6637992831541218,0.5234375
256.0,0.0005,10.0,32.0,0.3,4.0,4.0,0.65,0.6637992831541218,0.5234375
128.0,0.0005,10.0,32.0,0.3,4.0,4.0,0.65,0.6637992831541218,0.5234375
256.0,0.0005,20.0,32.0,0.3,8.0,4.0,0.65,0.6637992831541218,0.5
128.0,0.0005,10.0,64.0,0.3,8.0,4.0,0.65,0.6637992831541218,0.5234375
256.0,0.0005,20.0,64.0,0.3,4.0,6.0,0.65,0.6637992831541218,0.5
256.0,0.0005,10.0,64.0,0.3,8.0,4.0,0.65,0.6637992831541218,0.5
128.0,0.0005,10.0,32.0,0.2,8.0,6.0,0.65,0.6637992831541218,0.5234375
256.0,0.0005,10.0,32.0,0.2,8.0,6.0,0.65,0.6637992831541218,0.5234375
256.0,0.0005,10.0,64.0,0.3,4.0,6.0,0.65,0.6637992831541218,0.5234375
256.0,0.001,10.0,64.0,0.3,4.0,6.0,0.65,0.6637992831541218,0.5
128.0,0.0005,10.0,64.0,0.3,4.0,6.0,0.65,0.6637992831541218,0.5
128.0,0.001,20.0,32.0,0.2,8.0,6.0,0.65,0.6637992831541218,0.5234375
128.0,0.0005,20.0,32.0,0.3,4.0,6.0,0.65,0.6637992831541218,0.5234375
256.0,0.0005,10.0,32.0,0.3,4.0,6.0,0.65,0.6637992831541218,0.5234375
128.0,0.0005,20.0,32.0,0.2,8.0,6.0,0.65,0.6637992831541218,0.5
128.0,0.0005,10.0,32.0,0.3,4.0,6.0,0.65,0.6637992831541218,0.5234375
128.0,0.001,10.0,32.0,0.3,4.0,6.0,0.65,0.6637992831541218,0.5234375
256.0,0.0005,20.0,64.0,0.2,4.0,6.0,0.65,0.6637992831541218,0.5
